COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,162103762,161102752,,2988,3002,162103762,ALBA,,,,SCOALA PRIMARA GHIRBOM,SCOALA PRIMARA GHIRBOM,GHIRBOM,,
,162104478,161103111,,3039,3164,162104478,ALBA,,,,GRADINITA CU PROGRAM NORMAL GIRDE,GRADINITA CU PROGRAM NORMAL GIRDE,GÂRDE,,
,162105303,161102259,,4482,4516,162105303,ALBA,,,86,SCOALA PRIMARA RECIU,SCOALA PRIMARA RECIU,RECIU,PRINCIPALA,
,162102146,161102508,,1017,1026,162102146,ALBA,,,27,GRADINITA CU PROGRAM PRELUNGIT NR. 2 ALBA IULIA,GRADINITA CU PROGRAM PRELUNGIT NR 2 ALBA IULIA,ALBA IULIA,TRAIAN,
,162101828,161103423,,1874,1918,162101828,ALBA,,,,GRADINITA CU PROGRAM NORMAL RAHAU,GRADINITA CU PROGRAM NORMAL RAHAU,RĂHĂU,PRINCIPALA,
,162104813,161102693,,4927,4936,162104813,ALBA,,,32,GRADINITA CU PROGRAM NORMAL IGHIU,GRADINITA CU PROGRAM NORMAL IGHIU,IGHIU,ŞCOLII,
5504718,161102716,,3040398,1017,1026,161102716,ALBA,,,2,"""LICEUL DE ARTE """"REGINA MARIA"""" ALBA IULIA""",LICEUL DE ARTE REGINA MARIA ALBA IULIA,ALBA IULIA,CĂLĂRAŞI,
,162100153,161103301,,3841,3850,162100153,ALBA,,,,GRADINITA CU PROGRAM NORMAL CERU BACAINTI,GRADINITA CU PROGRAM NORMAL CERU BACAINTI,CERU-BĂCĂINŢI,PRINCIPALĂ,
12817424,161102829,,304561,2309,2318,161102829,ALBA,,,,SCOALA GIMNAZIALA ALMASU MARE,SCOALA GIMNAZIALA ALMASU MARE,ALMAŞU MARE,PRINCIPALA,
12839686,161103441,,307082,7044,7053,161103441,ALBA,,,337,"""SCOALA GIMNAZIALA """"DAVID PRODAN"""" SALISTEA""",SCOALA GIMNAZIALA DAVID PRODAN SALISTEA,SĂLIŞTEA,DAVID PRODAN,
12857593,161103192,,306349,5826,5835,161103192,ALBA,,,38 B,SCOALA GIMNAZIALA MOGOS,SCOALA GIMNAZIALA MOGOS,MOGOŞ,PRINCIPALA,
,162104261,161102779,,5336,5461,162104261,ALBA,,,0,SCOALA GIMNAZIALA MUSCA,SCOALA GIMNAZIALA MUSCA,MUŞCA,CENTRU,
,162105339,161103097,,7767,7776,162105339,ALBA,,,97,GRADINITA CU PROGRAM NORMAL STREMT,GRADINITA CU PROGRAM NORMAL STREMT,STREMŢ,PRINCIPALĂ,
,162103952,161102996,,6271,6299,162103952,ALBA,,,,SCOALA PRIMARA COSTESTI,SCOALA PRIMARA COSTESTI,COSTEŞTI,,
,162101145,161100126,,1213,1222,162101145,ALBA,,,20,GRADINITA CU PROGRAM NORMAL NR. 7 AIUD,GRADINITA CU PROGRAM NORMAL NR 7 AIUD,AIUD,GHEORGHE LAZAR,
,162101362,161103432,,8425,8498,162101362,ALBA,,,,SCOALA PRIMARA DEALU GOIESTI,SCOALA PRIMARA DEALU GOIESTI,DEALU GOIEŞTI,PRINCIPALA,
,162101493,161102883,,4767,4865,162101493,ALBA,,,569,SCOALA PRIMARA PATRUSESTI,SCOALA PRIMARA PATRUSESTI,PĂTRUŞEŞTI,,
4613776,161102458,,792031,1348,1357,161102458,ALBA,,,,"""LICEUL TEHNOLOGIC """"TIMOTEI CIPARIU"""" BLAJ""",LICEUL TEHNOLOGIC TIMOTEI CIPARIU BLAJ,BLAJ,,
,162100361,161103287,,1696,1767,162100361,ALBA,,,,SCOALA PRIMARA MUGESTI,SCOALA PRIMARA MUGESTI,MUGEŞTI,PRINCIPALA,
4681800,161103278,,958099,1017,1026,161103278,ALBA,,,11,"""COLEGIUL ECONOMIC """"DIONISIE POP MARTIAN"""" ALBA IULIA""",COLEGIUL ECONOMIC DIONISIE POP MARTIAN ALBA IULIA,ALBA IULIA,OCTAVIAN GOGA,
,162104451,161103111,,3039,3066,162104451,ALBA,,,,GRADINITA CU PROGRAM NORMAL BALESTI,GRADINITA CU PROGRAM NORMAL BALESTI,BĂLEŞTI,PRINCIPALĂ,
,162102128,161102562,,1017,1053,162102128,ALBA,,,53,GRĂDINIŢA CU PROGRAM NORMAL OARDA DE SUS,GRADINITA CU PROGRAM NORMAL OARDA DE SUS,OARDA,VICTORIEI,
,162105479,161103459,,3958,3967,162105479,ALBA,,,,GRADINITA CU PROGRAM NORMAL CETATEA DE BALTA,GRADINITA CU PROGRAM NORMAL CETATEA DE BALTA,CETATEA DE BALTĂ,,
,182101856,161102933,,1017,1026,182101856,ALBA,,,,CLUBUL SPORTIV SCOLAR ALBA IULIA,CLUBUL SPORTIV SCOLAR ALBA IULIA,ALBA IULIA,,
,162104876,161102693,,4927,4972,162104876,ALBA,,,263,SCOALA GIMNAZIALA TELNA,SCOALA GIMNAZIALA TELNA,ŢELNA,ŢELNA,
,162101801,161103174,,1874,1883,162101801,ALBA,,,1,GRADINITA CU PROGRAM NORMAL NR. 4 SEBES,GRADINITA CU PROGRAM NORMAL NR 4 SEBES,SEBEŞ,I.L. CARAGIALE,
,162100171,161102363,,1696,1703,162100171,ALBA,,,,GRADINITA CU PROGRAM NORMAL NR.5 CUGIR,GRADINITA CU PROGRAM NORMAL NR 5 CUGIR,CUGIR,PRINCIPALA,
12877760,161102734,,307903,8354,8363,161102734,ALBA,,,102,"""SCOALA GIMNAZIALA """"ION BIANU"""" VALEA LUNGA""",SCOALA GIMNAZIALA ION BIANU VALEA LUNGA,VALEA LUNGĂ,VICTORIEI,
7745852,161102847,,100324,1017,1026,161102847,ALBA,,,11A,"""SEMINARUL TEOLOGIC ORTODOX """"SFANTUL SIMION STEFAN"""" ALBA IULIA""",SEMINARUL TEOLOGIC ORTODOX SFANTUL SIMION STEFAN ALBA IULIA,ALBA IULIA,VASILE GOLDIŞ,
,162101778,161102639,,1455,1678,162101778,ALBA,,,,GRADINITA CU PROGRAM NORMAL VIRSI,GRADINITA CU PROGRAM NORMAL VIRSI,VÂRŞI,,
32345563,161103468,,301533,1213,1222,161103468,ALBA,,,,"""GRADINITA CU PROGRAM PRELUNGIT """"PRIMII PASI"""" AIUD""",GRADINITA CU PROGRAM PRELUNGIT PRIMII PASI AIUD,AIUD,SERGENT HAŢEGAN,
12864507,161102598,,306947,6761,6770,161102598,ALBA,,,188,"""SCOALA GIMNAZIALA """"SIMION BALINT"""" ROSIA MONTANA""",SCOALA GIMNAZIALA SIMION BALINT ROSIA MONTANA,ROŞIA MONTANĂ,PRINCIPALA,
,162104207,161100067,,4366,4446,162104207,ALBA,,,11,SCOALA PRIMARA OIEJDEA,SCOALA PRIMARA OIEJDEA,OIEJDEA,PRINCIPALA,
,162105642,161100108,,1017,1026,162105642,ALBA,,,41E,CRESA AMPOI,CRESA AMPOI,ALBA IULIA,LIVEZII,
,162105312,161103242,,4981,4990,162105312,ALBA,,,6,GRADINITA CU PROGRAM NORMAL INTREGALDE,GRADINITA CU PROGRAM NORMAL INTREGALDE,ÎNTREGALDE,PRINCIPALĂ,
,162101163,161100126,,1213,1222,162101163,ALBA,,,17,"""SCOALA GIMNAZIALA """"LIVIU REBREANU"""" AIUD""",SCOALA GIMNAZIALA LIVIU REBREANU AIUD,AIUD,GHEORGHE LAZĂR,
,162104998,161102648,,8014,8078,162104998,ALBA,,,34,SCOALA PRIMARA MARTINIE,SCOALA PRIMARA MARTINIE,MĂRTINIE,PRINCIPALA,
,162101344,161103432,,8425,8773,162101344,ALBA,,,,SCOALA PRIMARA VALEA MORII,SCOALA PRIMARA VALEA MORII,VALEA MORII,PRINCIPALA,
