COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
29047079,261100364,,317611,11423,11441,261100364,ARAD,,,,"""SCOALA GIMNAZIALA """"SIMONYI IMRE"""" SATU NOU""",SCOALA GIMNAZIALA SIMONYI IMRE SATU NOU,SATU NOU,,
,262100233,261100622,,9459,9468,262100233,ARAD,,,,"""GRADINITA PP """"PADURENI"""" CHISINEU CRIS""",GRADINITA PP PADURENI CHISINEU CRIS,CHIŞINEU-CRIŞ,,
29015905,261104332,,318316,11539,11548,261104332,ARAD,,,711,SCOALA GIMNAZIALA PAULIS,SCOALA GIMNAZIALA PAULIS,PĂULIŞ,,
,262102895,261100423,322264,12091,12108,262102895,ARAD,,,37,GRADINITA PP NR 2 SINTANA,GRADINITA PP NR 2 SINTANA,SÂNTANA,01.dec,
,262102099,261100839,,12876,12894,262102099,ARAD,,,,GRADINITA PN UTVINIS,GRADINITA PN UTVINIS,ANDREI ŞAGUNA,,
,262103851,261100821,,9262,9271,262103851,ARAD,,,,GRADINITA PN NR 8 ARAD,GRADINITA PN NR 8 ARAD,ARAD,,
,262103322,261104445,,9832,9850,262103322,ARAD,,,,GRADINITA PN BIRZESTI,GRADINITA PN BIRZESTI,BÂRZEŞTI,,
,262101546,261101017,,12849,12867,262101546,ARAD,,,,SCOALA PRIMARA IERMATA-NEAGRA,SCOALA PRIMARA IERMATA NEAGRA,IERMATA NEAGRĂ,,
,262104671,261100771,,9574,9583,262104671,ARAD,,,,GRADINITA PN NR 2 LIPOVA,GRADINITA PN NR 2 LIPOVA,LIPOVA,,
29033740,261100821,,1000485,9262,9271,261100821,ARAD,,,f.n.,"""GRADINITA PP """"PALATUL FERMECAT"""" ARAD""",GRADINITA PP PALATUL FERMECAT ARAD,ARAD,poetului,
,262102538,261101148,,11584,11593,262102538,ARAD,,,,SCOALA PRIMARA NR 1 PECICA,SCOALA PRIMARA NR 1 PECICA,PECICA,,
,262104246,261100581,317843,9459,9477,262104246,ARAD,,,,SCOALA GIMNAZIALA NADAB,SCOALA GIMNAZIALA NADAB,NADAB,,
,262102443,261104472,,11058,11165,262102443,ARAD,,,,GRADINITA PN TARMURE,GRADINITA PN TARMURE,ŢĂRMURE,,
,262103661,261100563,319425,10453,10499,262103661,ARAD,,,177,SCOALA PRIMARA MILOVA,SCOALA PRIMARA MILOVA,MILOVA,,
,262101754,261104395,,12812,12821,262101754,ARAD,,,,GRADINITA PN ZARAND,GRADINITA PN ZARAND,ZĂRAND,,
29033030,261100649,,320503,12402,12411,261100649,ARAD,,,116,"""SCOALA PRIMARA """"SEVER BOCU"""" SISTAROVAT""",SCOALA PRIMARA SEVER BOCU SISTAROVAT,ŞIŞTAROVĂŢ,Principala,
,262102954,261101302,,10006,10015,262102954,ARAD,,,,GRADINITA PN BIRCHIS,GRADINITA PN BIRCHIS,BIRCHIŞ,,
,262104807,261101035,,9654,9663,262104807,ARAD,,,,GRADINITA PN PANCOTA,GRADINITA PN PANCOTA,PÂNCOTA,,
,262102321,261100495,319231,10104,10168,262102321,ARAD,,,123,SCOALA PRIMARA LALASINT,SCOALA PRIMARA LALASINT,LALAŞINŢ,,
,262101989,261100301,,11940,11977,262101989,ARAD,,,,SCOALA PRIMARA SATU MARE,SCOALA PRIMARA SATU MARE,SATU MARE,,
29026335,261101347,,317867,12912,9510,261101347,ARAD,,,,"""SCOALA GIMNAZIALA """"PATER GODO MIHALY"""" DOROBANTI""",SCOALA GIMNAZIALA PATER GODO MIHALY DOROBANTI,DOROBANŢI,,
,262103055,261104377,319671,10943,10961,262103055,ARAD,,,94,SCOALA PRIMARA BONTESTI,SCOALA PRIMARA BONTESTI,BONŢEŞTI,,
29029838,261101053,,318586,12340,12359,261101053,ARAD,,,1083,SCOALA GIMNAZIALA SIMAND,SCOALA GIMNAZIALA SIMAND,ŞIMAND,Principala,
,262103584,261100952,,10701,10738,262103584,ARAD,,,84,SCOALA PRIMARA CROCNA,SCOALA PRIMARA CROCNA,CROCNA,,
29034699,261100346,,318158,10827,10836,261100346,ARAD,,,397,"""SCOALA GIMNAZIALA """"AUREL SEBESAN"""" FELNAC""",SCOALA GIMNAZIALA AUREL SEBESAN FELNAC,FELNAC,,
849614,261100129,,849614,9538,9547,261100129,ARAD,,,,"""LICEUL TEHNOLOGIC """"SAVA BRANCOVICI"""" INEU""",LICEUL TEHNOLOGIC SAVA BRANCOVICI INEU,INEU,TRAIAN NR.2,
,262101564,261101017,,12849,12867,262101564,ARAD,,,,GRADINITA PN IERMATA NEAGRA,GRADINITA PN IERMATA NEAGRA,IERMATA NEAGRĂ,,
,262101695,261100771,317506,9574,9583,262101695,ARAD,,,,GRADINITA PP LIPOVA,GRADINITA PP LIPOVA,LIPOVA,,
,262103711,261100563,,10453,10499,262103711,ARAD,,,,GRADINITA PN MILOVA,GRADINITA PN MILOVA,MILOVA,,
,262103878,261100884,,10195,10202,262103878,ARAD,,,,GRADINITA PN SCPL BOCSIG,GRADINITA PN SCPL BOCSIG,BOCSIG,PRINCIPALA NR 898,
15331223,251100169,,1000459,9690,9707,251100169,ARAD,,,,CLUBUL COPIILOR SEBIS,CLUBUL COPIILOR SEBIS,SEBIŞ,,
29099272,261100803,,318304,11502,11511,261100803,ARAD,,,,SCOALA GIMNAZIALA OLARI,SCOALA GIMNAZIALA OLARI,OLARI,,
,262102511,261101148,,11584,11628,262102511,ARAD,,,,GRADINITA PN TURNU,GRADINITA PN TURNU,TURNU,,
,262104264,261100803,320046,11502,11520,262104264,ARAD,,,,SCOALA PRIMARA SINTEA MICA,SCOALA PRIMARA SINTEA MICA,SINTEA MICĂ,,
,262103643,261100563,,10453,10471,262103643,ARAD,,,,GRADINITA PN BELOTINT,GRADINITA PN BELOTINT,BELOTINŢ,,
29058272,261100667,,317142,11584,11593,261100667,ARAD,,,176,SCOALA GIMNAZIALA NR 2 PECICA,SCOALA GIMNAZIALA NR 2 PECICA,PECICA,2,
,262101736,261100685,,9798,9805,262101736,ARAD,,,,GRADINITA PN APATEU,GRADINITA PN APATEU,APATEU,,
,262104861,261104522,,10239,10266,262104861,ARAD,,,112,GRADINITA PN IACOBINI,GRADINITA PN IACOBINI,IACOBINI,Principala,
3520024,261101329,,1136571,9262,9271,261101329,ARAD,,,6,"""COLEGIUL NATIONAL """"ELENA GHIBA BIRTA"""" ARAD""",COLEGIUL NATIONAL ELENA GHIBA BIRTA ARAD,ARAD,DRAGALINA,
,262103073,261104377,,10943,10961,262103073,ARAD,,,,GRADINITA PN BONTESTI,GRADINITA PN BONTESTI,BONŢEŞTI,,
29039998,261100495,,317984,10104,10113,261100495,ARAD,,,,SCOALA GIMNAZIALA BIRZAVA,SCOALA GIMNAZIALA BIRZAVA,BÂRZAVA,,
,262102701,261104436,968977,12778,12787,262102701,ARAD,,,,GRADINITA PN ZABRANI,GRADINITA PN ZABRANI,ZĂBRANI,,
,262101501,261100821,,9262,9271,262101501,ARAD,,,,GRADINITA PN NR 9 ARAD,GRADINITA PN NR 9 ARAD,ARAD,,
29065776,261101121,,317752,9280,9299,261101121,ARAD,,,,SCOALA GIMNAZIALA FINTINELE,SCOALA GIMNAZIALA FINTINELE,FÂNTÂNELE,,
3520261,261104377,,317180,10943,10952,261104377,ARAD,,,11,"""LICEUL """"IOAN BUTEANU"""" GURAHONT""",LICEUL IOAN BUTEANU GURAHONT,GURAHONŢ,IOAN BUTEANU,
,262102859,261104558,,12689,12698,262102859,ARAD,,,,GRADINITA PN VIRFURILE,GRADINITA PN VIRFURILE,VÂRFURILE,,
,262103815,261101053,322422,12340,12359,262103815,ARAD,,,,GRADINITA PN NR 2 SIMAND,GRADINITA PN NR 2 SIMAND,ŞIMAND,,
,262101885,261100192,,9887,9921,262101885,ARAD,,,,GRADINITA PN TELA,GRADINITA PN TELA,ŢELA,,
,262104635,261104436,,12778,12787,262104635,ARAD,,,,GRADINITA PN CHESINT,GRADINITA PN CHESINT,ZĂBRANI,,
,262102289,261100278,319334,10293,10319,262102289,ARAD,,,12,SCOALA PRIMARA BERINDIA,SCOALA PRIMARA BERINDIA,BERINDIA,,
29046472,261100866,,318160,12938,10863,261100866,ARAD,,,121,SCOALA GIMNAZIALA ZADARENI,SCOALA GIMNAZIALA ZADARENI,ZĂDĂRENI,,
,262103625,261100979,,12288,12297,262103625,ARAD,,,,GRADINITA PN SILINDIA,GRADINITA PN SILINDIA,ŞILINDIA,,
29021710,261100685,,317893,9798,9805,261100685,ARAD,,,,"""SCOALA GIMNAZIALA """"GHEORGHE POPOVICI"""" APATEU""",SCOALA GIMNAZIALA GHEORGHE POPOVICI APATEU,APATEU,,
,262104843,261100708,,12368,12386,262104843,ARAD,,,,GRADINITA PN GALSA,GRADINITA PN GALSA,GALŞA,,
29045914,261101302,,317958,10006,10015,261101302,ARAD,,,,"""SCOALA GIMNAZIALA """"ALEXANDRU MOCIONI"""" BIRCHIS""",SCOALA GIMNAZIALA ALEXANDRU MOCIONI BIRCHIS,BIRCHIŞ,,
,262103019,261100364,,11423,11441,262103019,ARAD,,,,GRADINITA PN SATU NOU,GRADINITA PN SATU NOU,SATU NOU,,
1531177,251104381,,969074,9459,9468,251104381,ARAD,,,,CLUBUL COPIILOR CHISINEU CRIS,CLUBUL COPIILOR CHISINEU CRIS,CHIŞINEU-CRIŞ,,
29039467,261100301,,318392,11940,11959,261100301,ARAD,,,,SCOALA GIMNAZIALA SECUSIGIU,SCOALA GIMNAZIALA SECUSIGIU,SECUSIGIU,,
