COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,362105214,361104294,,16427,16436,362105214,ARGEŞ,,,,ŞCOALA PRIMARĂ FUREŞTI,SCOALA PRIMARA FURESTI,DOBREŞTI,,,
,362101911,361103483,,20055,16677,362101911,ARGEŞ,,,1,ȘCOALA PRIMARĂ BÂRZEȘTI,SCOALA PRIMARA BARZESTI,BÂRZEŞTI,PRINCIPALĂ,,
,362100792,361103533,,13276,13294,362100792,ARGEŞ,,,1,ȘCOALA PRIMARĂ ION STĂNCIULESCU GEAMĂNA,SCOALA PRIMARA ION STANCIULESCU GEAMANA,GEAMĂNA,PRINCIPALĂ,,
,362100426,361103334,,15830,15894,362100426,ARGEŞ,,,82,ȘCOALA GIMNAZIALĂ STĂNEȘTI,SCOALA GIMNAZIALA STANESTI,STĂNEŞTI,RADU CEL MARE,,
,362103212,361104285,,16506,16542,362103212,ARGEŞ,,,,ŞCOALA PRIMARĂ PRISLOPU MARE,SCOALA PRIMARA PRISLOPU MARE,PRISLOPU MARE,PITEŞTI+RÎMNICU VÎLCEA,,
,362106486,361104059,,15108,15153,362106486,ARGEŞ,,,0,GPN GLODU,GPN GLODU,GLODU,SAT GLODU,,
,362102039,361104439,,13524,13542,362102039,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL BILCEŞTI,GRADINITA CU PROGRAM NORMAL BILCESTI,BILCEŞTI,,,
,362101219,361104222,,15064,15091,362101219,ARGEŞ,,,1,GRĂDINIȚA CU PROGRAM NORMAL ACAD.PROF. ION ANGELESCU STRÂMBENI,GRADINITA CU PROGRAM NORMAL ACAD PROF ION ANGELESCU STRAMBENI,STRÂMBENI,PRINCIPALĂ,,
,362106269,361103334,,15830,15894,362106269,ARGEŞ,,,XX,GRADINITA CU PROGRAM NORMAL STANESTI,GRADINITA CU PROGRAM NORMAL STANESTI,STĂNEŞTI,GG,,
,362105684,361103596,,18778,18787,362105684,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM PRELUNGIT STÂLPENI,GRADINITA CU PROGRAM PRELUNGIT STALPENI,STÂLPENI,,,
4122086,361104656,,334040,17049,17058,361104656,ARGEŞ,,,128,"""ȘCOALA GIMANZIALĂ """"PETRE TUDOSE"""" MĂLURENI""",SCOALA GIMANZIALA PETRE TUDOSE MALURENI,MĂLURENI,PRINCIPALĂ,,
,362105874,361103845,,15741,15796,362105874,ARGEŞ,,,,ŞCOALA GIMNAZIALĂ PROF.DR. VASILE VASILESCU,SCOALA GIMNAZIALA PROF DR VASILE VASILESCU,CORBENI,,,
24024783,361206475,,,17496,17539,361206475,ARGEŞ,,,665,Grădiniţa ALTINA,GRADINITA ALTINA,DEALU VIILOR,SAT SMEURA,,
4122043,361104882,,332795,15313,15322,361104882,ARGEŞ,,,179,"""ȘCOALA GIMNAZIALĂ """"NICOLAE VELEA"""" CEPARI""",SCOALA GIMNAZIALA NICOLAE VELEA CEPARI,CEPARII PĂMÂNTENI,PRINCIPALĂ,,
,362103022,361104665,,17209,17245,362103022,ARGEŞ,,,,ŞCOALA GIMNAZIALĂ PURCĂRENI,SCOALA GIMNAZIALA PURCARENI,PURCĂRENI,DRUM,,
,362102957,361104674,,17254,17325,362102957,ARGEŞ,,,,ŞCOALA PRIMARĂ VĂCAREA,SCOALA PRIMARA VACAREA,VĂCAREA,COMUNAL,,
,362102776,361104543,,17726,17762,362102776,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL MOZACU,GRADINITA CU PROGRAM NORMAL MOZACU,MOZACU,,,
4122302,361103307,,300622,13169,13178,361103307,ARGEŞ,,,44,"""COLEGIUL TEHNIC """"ARMAND CĂLINESCU"""" PITEȘTI""",COLEGIUL TEHNIC ARMAND CALINESCU PITESTI,PITEŞTI,I.C. BRĂTIANU,,
29437365,361104466,,1138536,13668,13677,361104466,ARGEŞ,,,18,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"FANTEZIA"""" COSTEȘTI""",GRADINITA CU PROGRAM PRELUNGIT FANTEZIA COSTESTI,COSTEŞTI,STRANDULUI,,
4971987,361104796,,332247,14584,14593,361104796,ARGEŞ,,,1,ȘCOALA GIMNAZIALĂ RADU CEL MARE BOGAȚI,SCOALA GIMNAZIALA RADU CEL MARE BOGATI,BOGAŢI,PRINCIPALĂ,,
,362105336,361104846,,13819,13864,362105336,ARGEŞ,,,,GRĂDINIŢA CU PROGRAM NORMAL DOBROTU,GRADINITA CU PROGRAM NORMAL DOBROTU,DOBROTU,,,
,362100444,361100254,,15652,15698,362100444,ARGEŞ,,,151,ȘCOALA PRIMARĂ CRUCIȘOARA,SCOALA PRIMARA CRUCISOARA,CRUCIŞOARA,PRINCIPALĂ,,
2444736,361203766,,33100643,13169,13178,361203766,ARGEŞ,,,,"""ŞCOALA SANITARĂ POSTLICEALĂ """"CAROL DAVILA"""" PITEŞTI""",SCOALA SANITARA POSTLICEALA CAROL DAVILA PITESTI,PITEŞTI,,,
