COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,462101109,461108283,,24837,24855,462101109,BACĂU,,,,SCOALA PRIMARA BARCANA,SCOALA PRIMARA BARCANA,BARCANA,,
,462106738,461108134,,26338,20732,462106738,BACĂU,,,1,SCOALA GIMNAZIALA RACAUTI,SCOALA GIMNAZIALA RACAUTI,RĂCĂUŢI,PRINCIPALA,
23141440,461108003,,351916,26029,26038,461108003,BACĂU,,,,SCOALA GIMNAZIALA URECHESTI,SCOALA GIMNAZIALA URECHESTI,URECHEŞTI,,
23104574,461104962,,346038,22576,22585,461104962,BACĂU,,,,SCOALA GIMNAZIALA FILIPESTI,SCOALA GIMNAZIALA FILIPESTI,FILIPEŞTI,,
,462100456,461108075,,20563,20572,462100456,BACĂU,,,,GRADINITA CU PROGRAM PRELUNGIT NR 8 ONESTI,GRADINITA CU PROGRAM PRELUNGIT NR 8 ONESTI,ONEŞTI,CAUCIUCULUI NR 1,
,462102295,461105054,,22380,22415,462102295,BACĂU,,,,GRADINITA CU PROGRAM NORMAL CUCUIETI,GRADINITA CU PROGRAM NORMAL CUCUIETI,CUCUIEŢI,,
,462102743,461108378,,22898,22914,462102743,BACĂU,,,,GRADINITA CU PROGRAM NORMAL BRATILA,GRADINITA CU PROGRAM NORMAL BRATILA,BRĂTILA,,
,462100673,461105045,,24187,24196,462100673,BACĂU,,,,GRADINITA CU PROGRAM NORMAL NR 2 PINCESTI,GRADINITA CU PROGRAM NORMAL NR 2 PINCESTI,PÂNCEŞTI,,
,462102128,461107703,,25148,25219,462102128,BACĂU,,,,SCOALA GIMNAZIALA NR 1 VERSESTI,SCOALA GIMNAZIALA NR 1 VERSESTI,VERŞEŞTI,,
29165430,461107594,,344365,21506,21551,461107594,BACĂU,,,,"""SCOALA GIMNAZIALA """"ION ROTARU"""" VALEA LUI ION""",SCOALA GIMNAZIALA ION ROTARU VALEA LUI ION,VALEA LUI ION,,
29166002,461104582,,350936,26353,25451,461104582,BACĂU,,,,SCOALA GIMNAZIALA TISA-SILVESTRI,SCOALA GIMNAZIALA TISA SILVESTRI,TISA-SILVESTRI,,
