COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,552105916,571101402,500622,26699,26706,552105916,BIHOR,,,7A,CLUBUL COPIILOR ȘI ELEVILOR ALEȘD,CLUBUL COPIILOR SI ELEVILOR ALESD,ALEŞD,Cart. Soimu,,
,562102217,561108327,364286,31654,31707,562102217,BIHOR,,,75,ȘCOALA PRIMARĂ NR.1 POIANA,SCOALA PRIMARA NR 1 POIANA,POIANA,,,
,562107335,561101261,1193749,31716,31770,562107335,BIHOR,,,165,GRĂDINIŢA CU PROGRAM NORMAL NR. 4 UILEACU DE CRIŞ,GRADINITA CU PROGRAM NORMAL NR 4 UILEACU DE CRIS,UILEACU DE CRIŞ,PRINCIPALA,,
21426280,561101478,,359243,26840,26859,561101478,BIHOR,,,4,GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 1 ȘTEI,GRADINITA CU PROGRAM PRELUNGIT NR 1 STEI,ŞTEI,str. Tineretului,,
,562103299,561101297,359047,31128,31137,562103299,BIHOR,,,,GRĂDINIȚA CU PROGRAM NORMAL NR. 1 SÎRBI,GRADINITA CU PROGRAM NORMAL NR 1 SIRBI,SÂRBI,sat Sîrbi,,
10078511,561108431,,500919,26564,26573,561108431,BIHOR,,,5,"""LICEUL GRECO-CATOLIC """"IULIU MANIU"""" ORADEA""",LICEUL GRECO CATOLIC IULIU MANIU ORADEA,ORADEA,str. Iuliu Maniu,,
19070384,561108381,,363347,30470,30489,561108381,BIHOR,,,81,ȘCOALA GIMNAZIALĂ NR.1 POMEZEU,SCOALA GIMNAZIALA NR 1 POMEZEU,POMEZEU,,,
,562106067,561100111,360840,27506,27515,562106067,BIHOR,,,69,ŞCOALA PRIMARĂ NR.1 BOIANU MARE,SCOALA PRIMARA NR 1 BOIANU MARE,BOIANU MARE,Principala,,
12560842,561108657,,365254,26564,26573,561108657,BIHOR,,,28,"""ȘCOALA GIMNAZIALĂ """"SZACSVAY IMRE"""" ORADEA""",SCOALA GIMNAZIALA SZACSVAY IMRE ORADEA,ORADEA,str. Mihai Eminescu,,
,562102963,561101799,364444,31921,31949,562102963,BIHOR,,,331,ŞCOALA PRIMARĂ NR.1 FORĂU,SCOALA PRIMARA NR 1 FORAU,FORĂU,,,
,562104513,561101103,5362185,29038,29056,562104513,BIHOR,,,175,ȘCOALA GIMNAZIALĂ NR.2 DERNIȘOARA,SCOALA GIMNAZIALA NR 2 DERNISOARA,DERNIŞOARA,,,
