COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,662101974,661100878,374700,33435,33462,662101974,BISTRIŢA-NĂSĂUD,,,210,ȘCOALA PRIMARĂ CHIRALEȘ,SCOALA PRIMARA CHIRALES,CHIRALEŞ,Principală,
,662102957,661103601,371722,32483,32492,662102957,BISTRIŢA-NĂSĂUD,,,6,"""GRĂDINIȚA CU PROGRAM NORMAL """"1 IUNIE"""" BECLEAN""",GRADINITA CU PROGRAM NORMAL 1 IUNIE BECLEAN,BECLEAN,Șieului,
,662101757,661101504,373433,34770,34789,662101757,BISTRIŢA-NĂSĂUD,,,192,GRĂDINIȚA CU PROGRAM NORMAL ȘIEU-ODORHEI,GRADINITA CU PROGRAM NORMAL SIEU ODORHEI,ŞIEU-ODORHEI,Principală,
28180556,661101558,,374889,33729,33738,661101558,BISTRIŢA-NĂSĂUD,,,217,"""ȘCOALA GIMNAZIALĂ """"DARIU POP"""" MĂGURA ILVEI""",SCOALA GIMNAZIALA DARIU POP MAGURA ILVEI,MĂGURA ILVEI,Principală,
29885369,661100973,,371485,32394,32401,661100973,BISTRIŢA-NĂSĂUD,,,23,GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2 BISTRIȚA,GRADINITA CU PROGRAM PRELUNGIT NR 2 BISTRITA,BISTRIŢA,Rodnei,
,662103533,661101228,375742,34850,34878,662103533,BISTRIŢA-NĂSĂUD,,,42,ȘCOALA PRIMARĂ LUNCA,SCOALA PRIMARA LUNCA,LUNCA,Principală,
,662102229,661100842,374920,179720,33756,662102229,BISTRIŢA-NĂSĂUD,,,,GRĂDINIȚA CU PROGRAM NORMAL TUNEL POIANA ILVEI,GRADINITA CU PROGRAM NORMAL TUNEL POIANA ILVEI,POIANA ILVEI,Tunel,
,662103284,661100937,375780,34690,34716,662103284,BISTRIŢA-NĂSĂUD,,,72,ȘCOALA GIMNAZIALĂ ARCALIA,SCOALA GIMNAZIALA ARCALIA,ARCALIA,Principală,
,662100168,661101359,374853,33603,33612,662100168,BISTRIŢA-NĂSĂUD,,,27,ȘCOALA PRIMARĂ NR.2 LUNCA ILVEI,SCOALA PRIMARA NR 2 LUNCA ILVEI,LUNCA ILVEI,Grănicerilor,
28219133,661101038,,371564,32599,32606,661101038,BISTRIŢA-NĂSĂUD,,,1,GRĂDINIȚA CU PROGRAM PRELUNGIT SÎNGEORZ BĂI,GRADINITA CU PROGRAM PRELUNGIT SINGEORZ BAI,SÂNGEORZ-BĂI,Teilor,
,662102039,661101255,373483,34903,34912,662102039,BISTRIŢA-NĂSĂUD,,,31,GRĂDINIȚA CU PROGRAM NORMAL ȘINTEREAG,GRADINITA CU PROGRAM NORMAL SINTEREAG,ŞINTEREAG,Principală,
,662103076,661101472,376253,35090,35143,662103076,BISTRIŢA-NĂSĂUD,,,485B,SCOALA PRIMARĂ NR.2 TUREAC,SCOALA PRIMARA NR 2 TUREAC,TUREAC,Principală,
,662101911,661100738,374023,32768,32795,662101911,BISTRIŢA-NĂSĂUD,,,212A,ȘCOALA PRIMARĂ ȚAGU,SCOALA PRIMARA TAGU,ŢAGU,Principală,
,662102939,661101011,372269,33202,33211,662102939,BISTRIŢA-NĂSĂUD,,,268,GRĂDINIȚA CU PROGRAM NORMAL DUMITRA,GRADINITA CU PROGRAM NORMAL DUMITRA,DUMITRA,Principală,
,662100209,661100955,375704,34645,34663,662100209,BISTRIŢA-NĂSĂUD,,,115,ȘCOALA GIMNAZIALĂ ARDAN,SCOALA GIMNAZIALA ARDAN,ARDAN,Principală,
28197159,661100991,,374956,33658,33667,661100991,BISTRIŢA-NĂSĂUD,,,91,ȘCOALA GIMNAZIALĂ MATEI,SCOALA GIMNAZIALA MATEI,MATEI,Principală,
,662103515,661101463,373720,35054,35063,662103515,BISTRIŢA-NĂSĂUD,,,296,GRĂDINIȚA CU PROGRAM NORMAL NR.2 TELCIU,GRADINITA CU PROGRAM NORMAL NR 2 TELCIU,TELCIU,Principală,
,662102202,661101418,374164,32955,32982,662102202,BISTRIŢA-NĂSĂUD,,,227,ȘCOALA PRIMARĂ DUMBRĂVENI,SCOALA PRIMARA DUMBRAVENI,DUMBRĂVENI,Principală,
31699333,661201565,,62071302,32394,32401,661201565,BISTRIŢA-NĂSĂUD,,,8,"""ȘCOALA POSTLICEALA """"HENRI COANDĂ"""" BISTRIȚA""",SCOALA POSTLICEALA HENRI COANDA BISTRITA,BISTRIŢA,Alba Iulia,
29158280,661100765,,374463,33248,33266,661100765,BISTRIŢA-NĂSĂUD,,,174,"""ȘCOALA GIMNAZIALĂ """"GAVRIL ISTRATE"""" NEPOS""",SCOALA GIMNAZIALA GAVRIL ISTRATE NEPOS,NEPOS,Principală,
