COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,762101864,761104433,,35759,35811,762101864,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 ORASENI-DEAL,GRADINITA CU PROGRAM NORMAL NR 1 ORASENI DEAL,ORĂŞENI-DEAL,ORASENI-DEAL,,
24797924,761104668,,389418,37672,37681,761104668,BOTOŞANI,,,,SCOALA GIMNAZIALA NR.1 HILISEU-HORIA,SCOALA GIMNAZIALA NR 1 HILISEU HORIA,HILIŞEU-HORIA,HILISEU-HORIA,,
25110165,761104487,,389195,37459,37468,761104487,BOTOŞANI,,,,SCOALA GIMNAZIALA NR.1 GORBANESTI,SCOALA GIMNAZIALA NR 1 GORBANESTI,GORBĂNEŞTI,GORBANESTI,,
,762102259,761105131,,35731,35740,762102259,BOTOŞANI,,,26,GRADINITA CU PROGRAM NORMAL NR 1 BOTOSANI,GRADINITA CU PROGRAM NORMAL NR 1 BOTOSANI,BOTOŞANI,ION PILLAT,,
,762101787,761104288,556,37912,37949,762101787,BOTOŞANI,,,,"""GRADINITA CU PROGRAM NORMAL """"VOINICEII"""" ZLATUNOAIA""",GRADINITA CU PROGRAM NORMAL VOINICEII ZLATUNOAIA,ZLĂTUNOAIA,ZLATUNOAIA,,
,762101258,761105271,38900412,37280,37299,762101258,BOTOŞANI,,,112,SCOALA GIMNAZIALA ’’MIHAIL STURDZA’’ FLAMINZI,SCOALA GIMNAZIALA MIHAIL STURDZA FLAMINZI,FLAMÂNZI,1907,,
,762104098,761104415,,35946,35955,762104098,BOTOŞANI,,,1,GRADINITA CU PROGRAM NORMAL NR. 2 DARABANI,GRADINITA CU PROGRAM NORMAL NR 2 DARABANI,DARABANI,UNIRII,,
,762101412,761104935,,36453,36471,762101412,BOTOŞANI,,,,SCOALA PRIMARA NR. 1 BOHOGHINA,SCOALA PRIMARA NR 1 BOHOGHINA,BOHOGHINA,BOHOGHINA,,
29084760,761104831,,1326683,36006,36015,761104831,BOTOŞANI,,,2,"""SCOALA GIMNAZIALA """"MIHAIL KOGALNICEANU"""" DOROHOI""",SCOALA GIMNAZIALA MIHAIL KOGALNICEANU DOROHOI,DOROHOI,DUMBRAVA,,
25990493,761104347,,388191,36426,36435,761104347,BOTOŞANI,,,,"""SCOALA GIMNAZIALA """"DIMITRIE POMPEIU"""" BROSCAUTI""",SCOALA GIMNAZIALA DIMITRIE POMPEIU BROSCAUTI,BROSCĂUŢI,BROSCAUTI,,
,752101072,771105014,,35946,35955,752101072,BOTOŞANI,,,3,CLUBUL COPIILOR DARABANI,CLUBUL COPIILOR DARABANI,DARABANI,LUCIAN VALEA,,
,762102449,761100153,,38633,38660,762102449,BOTOŞANI,,,,SCOALA PRIMARA NR. 3 REDIU RADAUTI-PRUT,SCOALA PRIMARA NR 3 REDIU RADAUTI PRUT,REDIU,,,
,762104139,761104858,,36202,36275,762104139,BOTOŞANI,,,,SCOALA PRIMARA NR.1 TIMUS,SCOALA PRIMARA NR 1 TIMUS,TIMUŞ,TIMUS,,
,762100334,761104772,,38063,38152,762100334,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 2 STINCESTI,GRADINITA CU PROGRAM NORMAL NR 2 STINCESTI,STÂNCEŞTI,STINCESTI,,
3372211,761100031,,845620,35731,35740,761100031,BOTOŞANI,,,34,"""COLEGIUL ECONOMIC """"OCTAV ONICESCU"""" BOTOSANI""",COLEGIUL ECONOMIC OCTAV ONICESCU BOTOSANI,BOTOŞANI,BUCOVINA,,
,762102865,761104822,,37547,37583,762102865,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 3 GIRBENI,GRADINITA CU PROGRAM NORMAL NR 3 GIRBENI,GÂRBENI,GARBENI,,
,762101882,761104804,,36907,36934,762101882,BOTOŞANI,,,,SCOALA PRIMARA NR. 3 SCHIT-ORASENI,SCOALA PRIMARA NR 3 SCHIT ORASENI,SCHIT-ORĂŞENI,SCHIT-ORASENI,,
26503391,761104641,,390625,38848,38857,761104641,BOTOŞANI,,,,SCOALA GIMNAZIALA NR. 1 ROMANESTI,SCOALA GIMNAZIALA NR 1 ROMANESTI,ROMÂNEŞTI,,,
,762100931,761105312,,39872,39881,762100931,BOTOŞANI,,,,"""SCOALA GIMNAZIALA """"AL. I. CUZA"""" VORONA""",SCOALA GIMNAZIALA AL I CUZA VORONA,VORONA,,,
,762102788,761105262,,36300,36355,762102788,BOTOŞANI,,,,SCOALA GIMNAZIALA NR 2 DRAXINI,SCOALA GIMNAZIALA NR 2 DRAXINI,DRAXINI,DRAXINI,,
,762100682,761104555,,37324,37333,762100682,BOTOŞANI,,,,SCOALA GIMNAZIALA NR 2 FRUMUSICA,SCOALA GIMNAZIALA NR 2 FRUMUSICA,FRUMUŞICA,FRUMUSICA,,
