COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,962102817,961102437,406254,42968,42977,962102817,BRĂILA,,,90,GRĂDINIŢA CU PROGRAM NORMAL CIOCILE,GRADINITA CU PROGRAM NORMAL CIOCILE,CIOCILE,PRINCIPALA,
,962100711,961100114,,44435,44453,962100711,BRĂILA,,,288,GRĂDINIŢA CU PROGRAM NORMAL MIHAI BRAVU,GRADINITA CU PROGRAM NORMAL MIHAI BRAVU,MIHAI BRAVU,PRUNULUI,
,962100245,961102229,407076,44113,44122,962100245,BRĂILA,,,36,GRĂDINIŢA CU PROGRAM NORMAL SURDILA GĂISEANCA,GRADINITA CU PROGRAM NORMAL SURDILA GAISEANCA,SURDILA-GĂISEANCA,BRAILEI,
,962100869,961101671,406216,42913,42922,962100869,BRĂILA,,,12,GRĂDINIŢA CU PROGRAM NORMAL BORDEI VERDE,GRADINITA CU PROGRAM NORMAL BORDEI VERDE,BORDEI VERDE,Scolii,
,962102713,961102609,,43563,43607,962102713,BRĂILA,,,38,"""ŞCOALA GIMNAZIALĂ """"TIMOTEI PETRIDE"""" LATINU""",SCOALA GIMNAZIALA TIMOTEI PETRIDE LATINU,LATINU,,
,962101436,961102473,988874,42682,42691,962101436,BRĂILA,,,5A,GRĂDINIŢA CU PROGRAM PRELUNGIT NR.44 BRĂILA,GRADINITA CU PROGRAM PRELUNGIT NR 44 BRAILA,BRĂILA,ULMULUI,
,962101386,961101635,1149372,42682,42691,962101386,BRĂILA,,,31,GRĂDINIŢA CU PROGRAM PRELUNGIT NR.55 BRĂILA,GRADINITA CU PROGRAM PRELUNGIT NR 55 BRAILA,BRĂILA,NEGOIULUI,
17871521,961102265,,3352674,42682,42691,961102265,BRĂILA,,,238,"""ŞCOALA POSTLICEALĂ SANITARĂ """"DR.LUCA"""" BRĂILA""",SCOALA POSTLICEALA SANITARA DR LUCA BRAILA,BRĂILA,INDEPENDENŢEI,
,962100385,961102369,1321695,44177,44195,962100385,BRĂILA,,,9,GRĂDINIŢA CU PROGRAM NORMAL ALBINA,GRADINITA CU PROGRAM NORMAL ALBINA,ALBINA,M.Sadoveanu,
405327,961101689,,405327,43698,43705,961101689,BRĂILA,,,96,ŞCOALA GIMNAZIALĂ RACOVIŢA,SCOALA GIMNAZIALA RACOVITA,RACOVIŢĂ,CALEA CUSTURA,
4675760,961100105,,802410,43331,43340,961100105,BRĂILA,,,13,"""LICEUL TEHNOLOGIC """"NICOLAE ONCESCU"""" IANCA""",LICEUL TEHNOLOGIC NICOLAE ONCESCU IANCA,IANCA,CALEA BRĂILEI,
,962100842,961101671,406230,42913,42959,962100842,BRĂILA,,,8,GRĂDINIŢA CU PROGRAM NORMAL LIŞCOTEANCA,GRADINITA CU PROGRAM NORMAL LISCOTEANCA,LIŞCOTEANCA,Scolii,
,962102731,961102609,,43563,43581,962102731,BRĂILA,,,19,GRĂDINIŢA CU PROGRAM NORMAL CORBU NOU,GRADINITA CU PROGRAM NORMAL CORBU NOU,CORBU NOU,,
17352478,961102247,,1166631,42682,42691,961102247,BRĂILA,,,9,"""ŞCOALA GIMNAZIALĂ """"DIMITRIE CANTEMIR"""" BRĂILA""",SCOALA GIMNAZIALA DIMITRIE CANTEMIR BRAILA,BRĂILA,OBORULUI,
,962101083,961100186,,44391,44426,962101083,BRĂILA,,,30,GRĂDINIŢA CU PROGRAM NORMAL PIETROIU,GRADINITA CU PROGRAM NORMAL PIETROIU,PIETROIU,817202,
5217532,961101983,,831887,42682,42691,961101983,BRĂILA,,,27,"""LICEUL TEHNOLOGIC """"GH.K.CONSTANTINESCU"""" BRĂILA""",LICEUL TEHNOLOGIC GH K CONSTANTINESCU BRAILA,BRĂILA,RM.SARAT,
16173067,961102188,,405896,44328,44337,961102188,BRĂILA,,,16,ŞCOALA GIMNAZIALĂ ULMU,SCOALA GIMNAZIALA ULMU,ULMU,01.dec.18,
17761146,961102505,,405353,43732,43741,961102505,BRĂILA,,,27,ŞCOALA GIMNAZIALĂ RÎMNICELU,SCOALA GIMNAZIALA RIMNICELU,RÎMNICELU,BRĂILEI,
14867020,961202331,,601,42682,42691,961202331,BRĂILA,,,30,"""GRĂDINIŢA CU PROGRAM NORMAL """"FREE CHILDREN"""" BRĂILA""",GRADINITA CU PROGRAM NORMAL FREE CHILDREN BRAILA,BRĂILA,TINERETULUI,
,962100824,961102238,407375,44532,44541,962100824,BRĂILA,,,69,GRĂDINIŢA CU PROGRAM NORMAL ZĂVOAIA,GRADINITA CU PROGRAM NORMAL ZAVOAIA,ZĂVOAIA,Primăverii,
,962102758,961102609,,43563,43590,962102758,BRĂILA,,,18,ŞCOALA PRIMARĂ CORBU VECHI,SCOALA PRIMARA CORBU VECHI,CORBU VECHI,,
