COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
26702718,861101944,,1144293,40198,40205,861101944,BRAŞOV,,,,Grădinița cu Program Prelungit 'Junior' Nr. 26 Brașov,GRADINITA CU PROGRAM PRELUNGIT JUNIOR NR 26 BRASOV,BRAŞOV,,
24245202,861101496,,394528,41088,41097,861101496,BRAŞOV,,,,Grădinița cu Program Normal Nr. 1 Hărman,GRADINITA CU PROGRAM NORMAL NR 1 HARMAN,HĂRMAN,STEFAN CEL MARE 294,
4523193,861100545,,1180883,40465,40474,861100545,BRAŞOV,,,2,Colegiul Tehnic 'Alexandru Bărbat' Victoria,COLEGIUL TEHNIC ALEXANDRU BARBAT VICTORIA,VICTORIA,SALCAMILOR,
4646927,861101234,,396526,41177,41202,861101234,BRAŞOV,,,9,Școala Gimnazială Cuciulata,SCOALA GIMNAZIALA CUCIULATA,CUCIULATA,PRINCIPALA,
4384338,861100726,,397623,40278,40287,861100726,BRAŞOV,,,1,Colegiul Național 'Radu Negru' Făgăraș,COLEGIUL NATIONAL RADU NEGRU FAGARAS,FĂGĂRAŞ,SCOLII,
,862104169,861101926,,41471,41499,862104169,BRAŞOV,,,,Grădinița cu Program Normal Cheia,GRADINITA CU PROGRAM NORMAL CHEIA,CHEIA,,
,862103679,861100459,,41346,41355,862103679,BRAŞOV,,,,Grădinița cu Program Normal Lisa,GRADINITA CU PROGRAM NORMAL LISA,LISA,,
,862102782,861101071,,40704,40759,862102782,BRAŞOV,,,60,Grădinița cu Program Normal Viscri,GRADINITA CU PROGRAM NORMAL VISCRI,VISCRI,PRINCIPALA,
,862102253,861100043,,41738,41747,862102253,BRAŞOV,,,,Grădinița cu Program Normal Recea,GRADINITA CU PROGRAM NORMAL RECEA,RECEA,,
35287190,891104813,,7797301,40198,40205,891104813,BRAŞOV,,,125,Centrul Județean de Excelență Brașov,CENTRUL JUDETEAN DE EXCELENTA BRASOV,BRAŞOV,13.dec,
,862103073,861100848,,40544,40562,862103073,BRAŞOV,,,258,Școala Primară Boholț,SCOALA PRIMARA BOHOLT,BOHOLŢ,,
,862103313,861100631,,40492,40508,862103313,BRAŞOV,,,,Grădinița cu Program Normal Nr. 5 Zărnești,GRADINITA CU PROGRAM NORMAL NR 5 ZARNESTI,ZĂRNEŞTI,,
4443485,861101926,,396746,41471,41480,861101926,BRAŞOV,,,514,Școala Gimnazială Moieciu de Jos,SCOALA GIMNAZIALA MOIECIU DE JOS,MOIECIU DE JOS,PINCIPALA,
29379043,861102036,,397570,40198,40205,861102036,BRAŞOV,,,7,Colegiul Național 'Unirea' Brașov,COLEGIUL NATIONAL UNIREA BRASOV,BRAŞOV,BULEVARDUL EROILOR,
