COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,1062103214,1061104165,,48325,48414,1062103214,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL SAT MUSCEL ORAŞ PĂTÂRLAGELE,GRADINITA CU PROGRAM NORMAL SAT MUSCEL ORAS PATARLAGELE,MUŞCEL,,
,1062103381,1061104206,,48227,48236,1062103381,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL COMUNA PĂNĂTĂU,GRADINITA CU PROGRAM NORMAL COMUNA PANATAU,PĂNĂTĂU,,
,1062102421,1061104572,,45003,45094,1062102421,BUZĂU,,,,ŞCOALA PRIMARĂ SAT VALEA PĂRULUI COMUNA BECENI,SCOALA PRIMARA SAT VALEA PARULUI COMUNA BECENI,VALEA PĂRULUI,,
,1062102032,1061104839,,50415,50424,1062102032,BUZĂU,,,,GRĂDINIŢA CU PROGRAM NORMAL SAT FUNDENI COMUNA ZĂRNEŞTI,GRADINITA CU PROGRAM NORMAL SAT FUNDENI COMUNA ZARNESTI,FUNDENI,,
,1062101212,1061104337,,47373,47408,1062101212,BUZĂU,,,,ȘCOALA GIMNAZIALĂ SAT POTOCENI COMUNA MĂRĂCINENI,SCOALA GIMNAZIALA SAT POTOCENI COMUNA MARACINENI,POTOCENI,,
4233904,1061104301,,413037,44818,44827,1061104301,BUZĂU,,,56,CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MUNICIPIUL BUZĂU,CENTRUL SCOLAR DE EDUCATIE INCLUZIVA MUNICIPIUL BUZAU,BUZĂU,HORTICOLEI,
4234063,1061104658,,413049,44818,44827,1061104658,BUZĂU,,,,LICEUL SPECIAL PENTRU DEFICIENTI DE VEDERE MUNICIPIUL BUZAU,LICEUL SPECIAL PENTRU DEFICIENTI DE VEDERE MUNICIPIUL BUZAU,BUZĂU,"""HORTICOLEI"," 54"""
,1062100161,1061104717,,48744,48753,1062100161,BUZĂU,,,,GRADINIŢA CU PRORAM NORMAL NR.1 ORAŞ POGOANELE,GRADINITA CU PRORAM NORMAL NR 1 ORAS POGOANELE,POGOANELE,,
29084506,1061106226,,413996,46867,46876,1061106226,BUZĂU,,,,ȘCOALA GIMNAZIALĂ COMUNA GLODEANU SĂRAT,SCOALA GIMNAZIALA COMUNA GLODEANU SARAT,GLODEANU SĂRAT,,
,1062103024,1061106226,,46867,46885,1062103024,BUZĂU,,,,GRĂDINIȚA CU PROGRAM NORMAL SAT CĂLDĂRUȘANCA COMUNA GLODEANU SĂRAT,GRADINITA CU PROGRAM NORMAL SAT CALDARUSANCA COMUNA GLODEANU SARAT,CĂLDĂRUŞEANCA,,
