COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,1162104679,1161103642,423551,53372,53407,1162104679,CARAŞ-SEVERIN,,,,ŞCOALA PRIMARĂ IAZ,SCOALA PRIMARA IAZ,IAZ,,
,1162102537,1161103728,421125,51118,51136,1162102537,CARAŞ-SEVERIN,,,05.iul,GRĂDINIŢA CU PROGRAM NORMAL CICLOVA MONTANĂ,GRADINITA CU PROGRAM NORMAL CICLOVA MONTANA,CICLOVA MONTANĂ,LILIACULUI,
,1162100553,1161103339,,54109,54154,1162100553,CARAŞ-SEVERIN,,,,ŞCOALA GIMNAZIALĂ ZLATIŢA,SCOALA GIMNAZIALA ZLATITA,ZLATIŢA,,
28950582,1161103737,,425286,53755,53764,1161103737,CARAŞ-SEVERIN,,,144,ŞCOALA GIMNAZIALĂ SACU,SCOALA GIMNAZIALA SACU,SACU,PRINCIPALĂ,
29151265,1161104105,,420559,50923,50932,1161104105,CARAŞ-SEVERIN,,,17 A,"""GRĂDINIŢA """"FLOARE DE COLŢ"""" BĂILE HERCULANE""",GRADINITA FLOARE DE COLT BAILE HERCULANE,BĂILE HERCULANE,CASTANILOR,
,1162101206,1161104358,422002,53069,53087,1162101206,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL PÎRVOVA,GRADINITA CU PROGRAM NORMAL PIRVOVA,PÂRVOVA,,
28967053,1161103592,,425169,53425,53443,1161103592,CARAŞ-SEVERIN,,,222,ŞCOALA GIMNAZIALĂ CORNUŢEL,SCOALA GIMNAZIALA CORNUTEL,CORNUŢEL,PRINCIPALĂ,
28961026,1161103841,,424610,51804,51804,1161103841,CARAŞ-SEVERIN,,,98B,LICEUL TEORETIC BILINGV ROMÂNO-CROAT CARAŞOVA,LICEUL TEORETIC BILINGV ROMANO CROAT CARASOVA,CARAŞOVA,NU ARE,
28966813,1161104218,,425078,53210,53210,1161104218,CARAŞ-SEVERIN,,,218,ŞCOALA GIMNAZIALĂ „TRANDAFIR TĂMAŞ“ MARGA,SCOALA GIMNAZIALA TRANDAFIR TAMAS“ MARGA,MARGA,PRINCIPALĂ,
,1162101667,1161103298,,52696,52696,1162101667,CARAŞ-SEVERIN,,,NU ARE,GRĂDINIŢA CU PROGRAM NORMAL DOGNECEA,GRADINITA CU PROGRAM NORMAL DOGNECEA,DOGNECEA,PRINCIPALĂ,
,1162100476,1161103859,,52160,52339,1162100476,CARAŞ-SEVERIN,,,NU ARE,ŞCOALA PRIMARĂ INELEŢ,SCOALA PRIMARA INELET,INELEŢ,NU ARE,
,1162102329,1161100069,422260,53513,53531,1162102329,CARAŞ-SEVERIN,,,233,GRĂDINIŢA CU PROGRAM NORMAL BELOBREŞCA,GRADINITA CU PROGRAM NORMAL BELOBRESCA,BELOBREŞCA,NU ARE,
,1162104503,1161100137,424854,52758,52776,1162104503,CARAŞ-SEVERIN,,,,ŞCOALA PRIMARĂ SOCENI,SCOALA PRIMARA SOCENI,SOCENI,,
,1162101988,1161104132,,52785,52829,1162101988,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL REMETEA-POGĂNICI,GRADINITA CU PROGRAM NORMAL REMETEA POGANICI,REMETEA-POGĂNICI,,
,1162103054,1161104272,422765,50790,50807,1162103054,CARAŞ-SEVERIN,,,,ŞCOALA PRIMARĂ MOCIUR,SCOALA PRIMARA MOCIUR,REŞIŢA,,
29006362,1161103696,,424921,52936,52936,1161103696,CARAŞ-SEVERIN,,,92,ŞCOALA GIMNAZIALĂ „GHEORGHE FRĂŢILĂ“ GLIMBOCA,SCOALA GIMNAZIALA GHEORGHE FRATILA“ GLIMBOCA,GLIMBOCA,PRINCIPALA,
,1162104584,1161103737,422478,53755,53782,1162104584,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL TINCOVA,GRADINITA CU PROGRAM NORMAL TINCOVA,TINCOVA,,
,1162101563,1161104159,421541,51877,51939,1162101563,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL ZĂGUJENI,GRADINITA CU PROGRAM NORMAL ZAGUJENI,ZĂGUJENI,,
3228799,1161104313,,1100314,50790,50807,1161104313,CARAŞ-SEVERIN,,,39,COLEGIUL TEHNIC REŞIŢA,COLEGIUL TEHNIC RESITA,REŞIŢA,BD. AL. I. CUZA,
,1162100612,1161104019,422454,53728,53746,1162100612,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL RUSCHIŢA,GRADINITA CU PROGRAM NORMAL RUSCHITA,RUŞCHIŢA,,
,1162101694,1161103592,422208,53425,53452,1162101694,CARAŞ-SEVERIN,,,108,GRĂDINIŢA CU PROGRAM NORMAL DELINEŞTI,GRADINITA CU PROGRAM NORMAL DELINESTI,DELINEŞTI,PRINCIPALĂ,
,1162100802,1161104236,421436,51546,51564,1162100802,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL VÂRCIOROVA,GRADINITA CU PROGRAM NORMAL VARCIOROVA,VÂRCIOROVA,,
,1162102519,1161103728,,51118,51127,1162102519,CARAŞ-SEVERIN,,,78,GRĂDINIŢA CU PROGRAM NORMAL NR.2 ORAVIȚA,GRADINITA CU PROGRAM NORMAL NR 2 ORAVITA,ORAVIŢA,EFTIMIE MURGU,
,1162100571,1161103972,425016,53103,53121,1162100571,CARAŞ-SEVERIN,,,196,ŞCOALA PRIMARĂ MOCERIŞ,SCOALA PRIMARA MOCERIS,MOCERIŞ,NU ARE,
3228608,1161104123,,425626,51573,51573,1161104123,CARAŞ-SEVERIN,,,826,LICEUL TEORETIC „EFTIMIE MURGU“ BOZOVICI,LICEUL TEORETIC EFTIMIE MURGU“ BOZOVICI,BOZOVICI,NU ARE,
,1162101224,1161103303,,52115,52133,1162101224,CARAŞ-SEVERIN,,,44,GRĂDINIŢA CU PROGRAM NORMAL „PRICHINDELUL“ CRUŞOVĂŢ,GRADINITA CU PROGRAM NORMAL PRICHINDELUL“ CRUSOVAT,CRUŞOVĂŢ,PRINCIPALĂ,
,1162101735,1161103529,,54412,54430,1162101735,CARAŞ-SEVERIN,,,51,ŞCOALA GIMNAZIALĂ BORLOVA,SCOALA GIMNAZIALA BORLOVA,BORLOVA,NU ARE,
28955652,1161103868,,424957,53023,53032,1161103868,CARAŞ-SEVERIN,,,92 A,ŞCOALA GIMNAZIALĂ IABLANIŢA,SCOALA GIMNAZIALA IABLANITA,IABLANIŢA,PRINCIPALĂ,
,1162102831,1161104195,,50889,50898,1162102831,CARAŞ-SEVERIN,,,2,GRĂDINIŢA CU PROGRAM NORMAL NR.1 CELNIC,GRADINITA CU PROGRAM NORMAL NR 1 CELNIC,ANINA,CHEILE GÎRLIŞTEI,
3228578,1161103312,,991132,51010,51029,1161103312,CARAŞ-SEVERIN,,,1,GRĂDINIŢA CU PROGRAM PRELUNGIT NR.4 CARANSEBEŞ,GRADINITA CU PROGRAM PRELUNGIT NR 4 CARANSEBES,CARANSEBEŞ,ALEEA GRĂDINIŢEI,
,1162103072,1161103773,,50969,50978,1162103072,CARAŞ-SEVERIN,,,90,GRĂDINIŢA CU PROGRAM NORMAL NR.1 BOCŞA,GRADINITA CU PROGRAM NORMAL NR 1 BOCSA,BOCŞA,REPUBLICII,
28966449,1161103678,,991156,51056,51065,1161103678,CARAŞ-SEVERIN,,,2,GRĂDINIŢA CU PROGRAM PRELUNGIT „SF. STELIAN“ MOLDOVA NOUĂ,GRADINITA CU PROGRAM PRELUNGIT SF STELIAN“ MOLDOVA NOUA,MOLDOVA NOUĂ,FRANCESCO GRISELINI,
,1162102709,1161103393,1230743,51207,51216,1162102709,CARAŞ-SEVERIN,,,41,GRĂDINIŢA CU PROGRAM NORMAL NR.4 OŢELU ROŞU,GRADINITA CU PROGRAM NORMAL NR 4 OTELU ROSU,OŢELU ROŞU,CLOŞCA,
,1162101509,1161104159,423214,51877,51911,1162101509,CARAŞ-SEVERIN,,,,GRĂDINIŢA CU PROGRAM NORMAL PEŞTERE,GRADINITA CU PROGRAM NORMAL PESTERE,PEŞTERE,,
29007619,1161103416,,425042,53167,53167,1161103416,CARAŞ-SEVERIN,,,,ŞCOALA GIMNAZIALĂ LUPAC,SCOALA GIMNAZIALA LUPAC,LUPAC,,
