COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
5593758,1261102825,,121181071,54975,54984,1261102825,CLUJ,,,3,"""COLEGIUL TEHNIC """"NAPOCA"""" CLUJ-NAPOCA""",COLEGIUL TEHNIC NAPOCA CLUJ NAPOCA,CLUJ-NAPOCA,Taberei,
18004692,1261100036,,120439603,58311,58320,1261100036,CLUJ,,,124,"""ȘCOALA GIMNAZIALĂ LUNA"," COM. LUNA""",SCOALA GIMNAZIALA LUNA COM LUNA,LUNA,
31478537,1261202167,,124530326,54975,54984,1261202167,CLUJ,,,3,"""ȘCOALA GIMNAZIALĂ """"CHRISTIANA"""" CLUJ-NAPOCA""",SCOALA GIMNAZIALA CHRISTIANA CLUJ NAPOCA,CLUJ-NAPOCA,Moldoveanu,
18001394,1261103663,,120438934,56522,56531,1261103663,CLUJ,,,44,"""ȘCOALA GIMNAZIALĂ CĂMĂRAȘU"," COM. CĂMĂRAȘU""",SCOALA GIMNAZIALA CAMARASU COM CAMARASU,CĂMĂRAŞU,
,1262104266,1261103084,,54975,54984,1262104266,CLUJ,,,02.apr,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"AȘCHIUȚĂ"""" - STRUCTURA 3 CLUJ-NAPOCA""",GRADINITA CU PROGRAM PRELUNGIT ASCHIUTA  STRUCTURA 3 CLUJ NAPOCA,CLUJ-NAPOCA,Pascaly Nicolae,
18440403,1241102652,,12000012,54975,54984,1241102652,CLUJ,,,4,CENTRUL JUDEȚEAN DE RESURSE ȘI DE ASISTENȚĂ EDUCAȚIONALĂ CLUJ,CENTRUL JUDETEAN DE RESURSE SI DE ASISTENTA EDUCATIONALA CLUJ,CLUJ-NAPOCA,Ştefan cel Mare,
,1262101141,1261103161,120443135,59693,59728,1262101141,CLUJ,,,,"""ȘCOALA PRIMARĂ TRITENI COLONIA"," COM. TRITENII DE JOS""",SCOALA PRIMARA TRITENI COLONIA COM TRITENII DE JOS,COLONIA,
4722463,1261100253,,120443501,54975,54984,1261100253,CLUJ,,,1,"""ȘCOALA GIMNAZIALĂ """"LIVIU REBREANU"""" CLUJ-NAPOCA""",SCOALA GIMNAZIALA LIVIU REBREANU CLUJ NAPOCA,CLUJ-NAPOCA,Moldoveanu,
17993243,1261104628,,120443484,54975,54984,1261104628,CLUJ,,,16,"""ȘCOALA GIMNAZIALĂ """"IULIU HAȚIEGANU"""" CLUJ-NAPOCA""",SCOALA GIMNAZIALA IULIU HATIEGANU CLUJ NAPOCA,CLUJ-NAPOCA,Alexandrescu Grigore,
,1262101367,1261102689,120441709,60169,57190,1262101367,CLUJ,,,365,"""ȘCOALA PRIMARĂ BOGOMIR"," COM. NEGRENI""",SCOALA PRIMARA BOGOMIR COM NEGRENI,NEGRENI,
18001327,1261102454,,120440183,59657,59666,1261102454,CLUJ,,,309,"""ȘCOALA GIMNAZIALĂ SUATU"," COM. SUATU""",SCOALA GIMNAZIALA SUATU COM SUATU,SUATU,
17996630,1261103853,,120438960,56568,56577,1261103853,CLUJ,,,124,"""ȘCOALA GIMNAZIALĂ CĂPUȘU MARE"," COM. CĂPUȘU MARE""",SCOALA GIMNAZIALA CAPUSU MARE COM CAPUSU MARE,CĂPUŞU MARE,
4847521,1261103274,,120438099,54975,54984,1261103274,CLUJ,,,128-130,"""COLEGIUL TEHNIC """"ANGHEL SALIGNY"""" CLUJ-NAPOCA""",COLEGIUL TEHNIC ANGHEL SALIGNY CLUJ NAPOCA,CLUJ-NAPOCA,21.dec.89,
,1262104465,1261104587,,55384,55393,1262104465,CLUJ,,,20,"""GRĂDINIȚA CU PROGRAM NORMAL """"ARICI POGONICI"""" - STRUCTURA 2 GHERLA""",GRADINITA CU PROGRAM NORMAL ARICI POGONICI  STRUCTURA 2 GHERLA,GHERLA,Mihai Viteazu,
17958203,1261100194,,121145431,55384,55393,1261100194,CLUJ,,,14,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"VESELIEI"""" GHERLA""",GRADINITA CU PROGRAM PRELUNGIT VESELIEI GHERLA,GHERLA,Brazilor,
17971490,1261102739,,120447272,54975,54984,1261102739,CLUJ,,,02.apr,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"LICURICI"""" CLUJ-NAPOCA""",GRADINITA CU PROGRAM PRELUNGIT LICURICI CLUJ NAPOCA,CLUJ-NAPOCA,Arinilor,
18004684,1261102843,,120438489,55357,55366,1261102843,CLUJ,,,57,"""ȘCOALA GIMNAZIALĂ """"MIHAI VITEAZUL"""" CÂMPIA TURZII""",SCOALA GIMNAZIALA MIHAI VITEAZUL CAMPIA TURZII,CÂMPIA TURZII,George Barițiu,
,1262101299,1261103618,120439938,59041,59069,1262101299,CLUJ,,,254,"""ȘCOALA PRIMARĂ BOLOGA"," COM. POIENI""",SCOALA PRIMARA BOLOGA COM POIENI,BOLOGA,PRINCIPALA
18001416,1261103464,,120440406,60099,60106,1261103464,CLUJ,,,56,"""ȘCOALA GIMNAZIALĂ """"ALEXANDRU BOHAȚIEL"""" VULTURENI"," COM. VULTURENI""",SCOALA GIMNAZIALA ALEXANDRU BOHATIEL VULTURENI COM VULTURENI,VULTURENI,
27243214,1261202104,,,57706,57715,1261202104,CLUJ,,,192H,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"PRIETENII LUI MICKEY"""" FLOREȘTI"," COM. FLOREȘTI""",GRADINITA CU PROGRAM PRELUNGIT PRIETENII LUI MICKEY FLORESTI COM FLORESTI,FLOREŞTI,Florilor
,1262104203,1261103577,120443549,54975,54984,1262104203,CLUJ,,,3,"""ȘCOALA PRIMARĂ """"HOREA"""" CLUJ-NAPOCA - STRUCTURA 1""",SCOALA PRIMARA HOREA CLUJ NAPOCA  STRUCTURA 1,CLUJ-NAPOCA,11.oct,
