COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
29345172,1361101673,,130451950,63286,60749,1361101673,CONSTANŢA,,,1,ŞCOALA GIMNAZIALĂ ’MIHAI EMINESCU’ COSTINEŞTI,SCOALA GIMNAZIALA MIHAI EMINESCU COSTINESTI,COSTINEŞTI,GĂRII,
28019348,1361101854,,130453233,62137,62146,1361101854,CONSTANŢA,,,137,ŞCOALA GIMNAZIALĂ ’NICHITA STĂNESCU’ MERENI,SCOALA GIMNAZIALA NICHITA STANESCU MERENI,MERENI,LIBERTĂŢII,
28053129,1361100672,,130452409,61210,61229,1361100672,CONSTANŢA,,,43,ŞCOALA GIMNAZIALĂ NR. 1 CHIRNOGENI,SCOALA GIMNAZIALA NR 1 CHIRNOGENI,CHIRNOGENI,ŞOS. NEGRU VODĂ,
,1362104079,1361101171,,60945,60963,1362104079,CONSTANŢA,,,,ŞCOALA PRIMARĂ NR. 2 ARSA,SCOALA PRIMARA NR 2 ARSA,ARSA,,
,1362103847,1361100107,,61737,61773,1362103847,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL LESPEZI,GRADINITA CU PROGRAM NORMAL LESPEZI,LESPEZI,,
29466840,1361100898,,130453831,63189,62967,1361100898,CONSTANŢA,,,18,ŞCOALA GIMNAZIALĂ ’ION GHICA’ TORTOMAN,SCOALA GIMNAZIALA ION GHICA TORTOMAN,TORTOMAN,01.dec,
,1362104441,1361100785,,62397,62404,1362104441,CONSTANŢA,,,22,GRĂDINIŢA CU PROGRAM NORMAL NEGRU VODĂ,GRADINITA CU PROGRAM NORMAL NEGRU VODA,NEGRU VODĂ,ZORELELOR,
,1362101836,1361101587,130451912,60598,60614,1362101836,CONSTANŢA,,,22,ŞCOALA GIMNAZIALĂ ’TITU MAIORESCU’ DULCEŞTI,SCOALA GIMNAZIALA TITU MAIORESCU DULCESTI,DULCEŞTI,BARBU ŞTEFĂNESCU DELAVRANCEA,
,1362103096,1361105207,,61871,61906,1362103096,CONSTANŢA,,,,ŞCOALA PRIMARĂ NR. 1 FÂNTÂNA MARE,SCOALA PRIMARA NR 1 FANTANA MARE,FÂNTÂNA MARE,,
,1362103544,1361100586,,61372,61381,1362103544,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL COGEALAC,GRADINITA CU PROGRAM NORMAL COGEALAC,COGEALAC,,
,1362102154,1361100568,,62903,62930,1362102154,CONSTANŢA,,,229,GRĂDINIŢA CU PROGRAM NORMAL SEIMENII MICI,GRADINITA CU PROGRAM NORMAL SEIMENII MICI,SEIMENII MICI,ŞCOLII,
29482323,1361100247,,130377946,60507,60516,1361100247,CONSTANŢA,,,2,GRĂDINIŢA CU PROGRAM NORMAL ’PEŞTIŞORUL DE AUR’ NĂVODARI,GRADINITA CU PROGRAM NORMAL PESTISORUL DE AUR NAVODARI,NĂVODARI,CABANEI,
,1362101492,1361102412,,60687,60696,1362101492,CONSTANŢA,,,187A,GRĂDINIŢA CU PROGRAM NORMAL ’ZIG-ZAG’ OVIDIU,GRADINITA CU PROGRAM NORMAL ZIG ZAG OVIDIU,OVIDIU,NAŢIONALĂ,
,1362103404,1361100776,,62609,62654,1362103404,CONSTANŢA,,,,ŞCOALA PRIMARĂ NR. 4 RUNCU,SCOALA PRIMARA NR 4 RUNCU,RUNCU,PRINCIPALĂ,
28052573,1361100428,,130453867,62985,62994,1361100428,CONSTANŢA,,,76,ŞCOALA GIMNAZIALĂ NR. 1 TÂRGUŞOR,SCOALA GIMNAZIALA NR 1 TARGUSOR,TÂRGUŞOR,CONSTANŢEI,
29447598,1361104961,,130451728,60419,60428,1361104961,CONSTANŢA,,,13,ŞCOALA GIMNAZIALĂ NR. 29 ’MIHAI VITEAZU’ CONSTANŢA,SCOALA GIMNAZIALA NR 29 MIHAI VITEAZU CONSTANTA,CONSTANŢA,CISMELEI,
28052565,1361100939,,130453740,62823,62832,1361100939,CONSTANŢA,,,2,ŞCOALA GIMNAZIALĂ ’NICOLAE MARALOI’ SARAIU,SCOALA GIMNAZIALA NICOLAE MARALOI SARAIU,SARAIU,NICOLAE MARALOI,
,1362102715,1361101058,,62253,62271,1362102715,CONSTANŢA,,,,GRĂDINIŢA CU PROGRAM NORMAL SINOIE,GRADINITA CU PROGRAM NORMAL SINOIE,SINOIE,,
,1362102923,1361101673,,63286,60749,1362102923,CONSTANŢA,,,1,GRĂDINIŢA CU PROGRAM NORMAL ’PINOCHIO’ COSTINEŞTI,GRADINITA CU PROGRAM NORMAL PINOCHIO COSTINESTI,COSTINEŞTI,GĂRII,
,1362102389,1361105288,,62707,62725,1362102389,CONSTANŢA,,,27,ŞCOALA PRIMARĂ NR. 2 IVRINEZU MARE,SCOALA PRIMARA NR 2 IVRINEZU MARE,IVRINEZU MARE,ŞCOLII,
,1362105528,1361105451,,63125,63134,1362105528,CONSTANŢA,,,2,GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 3 VALU LUI TRAIAN,GRADINITA CU PROGRAM PRELUNGIT NR 3 VALU LUI TRAIAN,VALU LUI TRAIAN,SOCULUI,
29097409,1361101307,,130452588,61452,61461,1361101307,CONSTANŢA,,,20,ŞCOALA GIMNAZIALĂ NR. 1 COMANA,SCOALA GIMNAZIALA NR 1 COMANA,COMANA,PRIMĂVERII,
