COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,1462101251,1461100295,459641,64265,64292,1462101251,COVASNA,,,86,Grădinița cu Program Normal Mărcuș,GRADINITA CU PROGRAM NORMAL MARCUS,MĂRCUŞ,Principală,
,1462103321,1461100526,458831,64318,64327,1462103321,COVASNA,,,725,Grădinița cu Program Prelungit Ghelința,GRADINITA CU PROGRAM PRELUNGIT GHELINTA,GHELINŢA,Principală,
13646713,1461100223,,460420,63394,63401,1461100223,COVASNA,,,1,"""Școala Gimnazială """"Gödri Ferenc"""" Sfântu Gheorghe""",SCOALA GIMNAZIALA GÖDRI FERENC SFANTU GHEORGHE,SFÂNTU  GHEORGHE,Elevilor,
,1462101414,1461100268,460224,64942,64951,1462101414,COVASNA,,,138,Grădinița cu Program Normal Araci,GRADINITA CU PROGRAM NORMAL ARACI,ARACI,Principlaă,
,1462101061,1461100327,458984,63447,63483,1462101061,COVASNA,,,345,Grădinița cu Program Normal Căpeni,GRADINITA CU PROGRAM NORMAL CAPENI,CĂPENI,Principală,
,1462102442,1461100743,460585,63740,63768,1462102442,COVASNA,,,360,"""Școala Primară """"Jakabos Ödön"""" Lunga""",SCOALA PRIMARA JAKABOS ÖDÖN LUNGA,LUNGA,Principală,
16037804,1461100485,,458738,63394,63401,1461100485,COVASNA,,,1,"""Grădinița cu Program Prelungit """"Csipike"""" Sfântu Gheorghe""",GRADINITA CU PROGRAM PRELUNGIT CSIPIKE SFANTU GHEORGHE,SFÂNTU  GHEORGHE,Kriza János,
,1462101884,1461100096,461527,64639,64693,1462101884,COVASNA,,,46,"""Școala Primară """"Fodor János"""" Măgheruș""",SCOALA PRIMARA FODOR JANOS MAGHERUS,MĂGHERUŞ,Principală,
,1462100933,1461100458,461113,64238,64256,1462100933,COVASNA,,,141,Școala Gimnazială Băcel,SCOALA GIMNAZIALA BACEL,BĂCEL,Principală,
13653095,1461100621,,460963,64096,64103,1461100621,COVASNA,,,521,"""Școala Gimnazială """"Comenius"""" Brețcu""",SCOALA GIMNAZIALA COMENIUS BRETCU,BREŢCU,Școlii,
,1462102365,1461100752,461876,65048,65084,1462102365,COVASNA,,,32,"""Școala Gimnazială """"Thury Gergely"""" Tamasfalău""",SCOALA GIMNAZIALA THURY GERGELY TAMASFALAU,TAMAŞFALĂU,Principală,
16399502,1461100205,,461424,65147,64586,1461100205,COVASNA,,,229,"""Școala Gimnazială """"Darkó Jenő"""" Dalnic""",SCOALA GIMNAZIALA DARKÓ JENŐ DALNIC,DALNIC,Principală,
,1462101432,1461100268,460236,64942,64960,1462101432,COVASNA,,,148,Grădinița cu Program Normal Ariușd,GRADINITA CU PROGRAM NORMAL ARIUSD,ARIUŞD,Principală,
,1462101726,1461100173,989000,63688,63704,1462101726,COVASNA,,,1227,Grădinița cu Program Normal Crasna,GRADINITA CU PROGRAM NORMAL CRASNA,CRASNA,Principală,
,1462101373,1461100277,461022,64130,64185,1462101373,COVASNA,,,128,"""Școala Primară """"Barabás Miklós"""" Mărcușa""",SCOALA PRIMARA BARABAS MIKLÓS MARCUSA,MĂRCUŞA,Principală,
,1462100915,1461100458,459627,64238,64256,1462100915,COVASNA,,,120,Grădinița cu Program Normal Băcel,GRADINITA CU PROGRAM NORMAL BACEL,BĂCEL,,
,1462101744,1461100173,459237,63688,63697,1462101744,COVASNA,,,123,Grădinița cu Program Normal Nr. 1 Sita Buzăului,GRADINITA CU PROGRAM NORMAL NR 1 SITA BUZAULUI,SITA BUZĂULUI,Principală,
,1462101102,1461100327,458972,63447,63474,1462101102,COVASNA,,,115,Grădinița cu Program Normal Bodoș,GRADINITA CU PROGRAM NORMAL BODOS,BODOŞ,Principală,
