COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,1562102228,1561105706,,102286,102339,1562102228,DÂMBOVIŢA,,,147,GRĂDINIȚA CU PROGRAM PRELUNGIT SAMURCAȘI CREVEDIA,GRADINITA CU PROGRAM PRELUNGIT SAMURCASI CREVEDIA,SAMURCAŞI,CALEA SAMURCASI,
29145891,1561100208,,470229,69170,69189,1561100208,DÂMBOVIŢA,,,118,ȘCOALA GIMNAZIALĂ VALEA MARE,SCOALA GIMNAZIALA VALEA MARE,VALEA MARE,PRINCIPALĂ,
,1562103283,1561101349,,68468,68477,1562103283,DÂMBOVIŢA,,,57,GRĂDINIȚA CU PROGRAM NORMAL POTLOGI,GRADINITA CU PROGRAM NORMAL POTLOGI,POTLOGI,C. BRINCOVEANU,
29045957,1561201501,,3042413,65342,65351,1561201501,DÂMBOVIŢA,,,32,ȘCOALA POSTLICEALĂ SANITARĂ ”CAROL DAVILA” TÂRGOVIȘTE,SCOALA POSTLICEALA SANITARA CAROL DAVILA TARGOVISTE,TÂRGOVIŞTE,JUSTITIEI,
29150340,1561101037,,468692,179711,67283,1561101037,DÂMBOVIŢA,,,720,ȘCOALA GIMNAZIALĂ ”STAN ȘTEFAN” VLĂDENI,SCOALA GIMNAZIALA STAN STEFAN VLADENI,VLĂDENI,PRINCIPALĂ,
,1562104085,1561100963,,69063,69125,1562104085,DÂMBOVIŢA,,,1,GRĂDINIȚA CU PROGRAM NORMAL ȘTUBEIE VALEA LUNGĂ,GRADINITA CU PROGRAM NORMAL STUBEIE VALEA LUNGA,ŞTUBEIE TISA,PRINCIPALĂ,
4344341,1581100878,,1218197,65342,65351,1581100878,DÂMBOVIŢA,,,5,CLUBUL SPORTIV ȘCOLAR TÂRGOVIȘTE,CLUBUL SPORTIV SCOLAR TARGOVISTE,TÂRGOVIŞTE,"""Spirescu"," maior"""
11063136,1561101783,,3001160,65342,65351,1561101783,DÂMBOVIŢA,,,28,SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN GURĂ DE AUR” TÂRGOVIȘTE,SEMINARUL TEOLOGIC ORTODOX SF IOAN GURA DE AUR TARGOVISTE,TÂRGOVIŞTE,Unirii,
,1562104266,1561105742,,65841,65850,1562104266,DÂMBOVIŢA,,,2A,GRĂDINIȚA CU PROGRAM NORMAL NR.2 MORENI,GRADINITA CU PROGRAM NORMAL NR 2 MORENI,MORENI,ALEXANDRU ION CUZA,
,1562105023,1561105801,,67014,67112,1562105023,DÂMBOVIŢA,,,196,ȘCOALA PRIMARĂ UNGURENI CORNEȘTI,SCOALA PRIMARA UNGURENI CORNESTI,UNGURENI,PRINCIPALĂ,
,1562102038,1561100271,,68627,68663,1562102038,DÂMBOVIŢA,,,1,GRĂDINIȚA CU PROGRAM NORMAL GHERGANI RĂCARI,GRADINITA CU PROGRAM NORMAL GHERGANI RACARI,GHERGANI,ION GHICA,
4584166,1561101548,,1181447,66081,66090,1561101548,DÂMBOVIŢA,,,49,LICEUL TEORETIC ”IANCU C VISSARION” TITU,LICEUL TEORETIC IANCU C VISSARION TITU,TITU,I. C. VISSARION,
,1562103075,1561100226,,67407,67425,1562103075,DÂMBOVIŢA,,,11,ȘCOALA GIMNAZIALĂ DECINDENI DRAGOMIREȘTI,SCOALA GIMNAZIALA DECINDENI DRAGOMIRESTI,DECINDENI,SCOLII,
