COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,1662102968,1661104364,,69900,69919,1662102968,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NR. 35 CRAIOVA,GRADINITA CU PROGRAM NORMAL NR 35 CRAIOVA,CRAIOVA,,
14998025,1661105383,,481371,74322,74331,1661105383,DOLJ,,,,SCOALA GIMNAZIALA TEASC,SCOALA GIMNAZIALA TEASC,TEASC,,
,1662100188,1661101854,,74411,74475,1662100188,DOLJ,,,,SCOALA PRIMARA TARTAL,SCOALA PRIMARA TARTAL,ŢĂRŢĂL,,
,1662101596,1661104346,,72506,72515,1662101596,DOLJ,,,,GRADINITA CU PROGRAM NORMAL GIUBEGA,GRADINITA CU PROGRAM NORMAL GIUBEGA,GIUBEGA,,
17187273,1661106122,,481761,70316,70325,1661106122,DOLJ,,,,"""SCOALA GIMNAZIALA """"AMZA PELLEA"""" BAILESTI""",SCOALA GIMNAZIALA AMZA PELLEA BAILESTI,BĂILEŞTI,,
,1662101049,1661101913,,73736,73763,1662101049,DOLJ,,,,SCOALA GIMNAZIALA TUNARII VECHI,SCOALA GIMNAZIALA TUNARII VECHI,TUNARII VECHI,,
15123974,1661104414,,480353,72926,72935,1661104414,DOLJ,,,,"""SCOALA GIMNAZIALA """"NICA BARBU LOCUSTEANU"""" LEU""",SCOALA GIMNAZIALA NICA BARBU LOCUSTEANU LEU,LEU,CRAIOVEI,
,1662103354,1661105894,,74028,74046,1662103354,DOLJ,,,,GRADINITA CU PROGRAM NORMAL MARZA,GRADINITA CU PROGRAM NORMAL MARZA,MÂRZA,,
,1662101601,1661104391,,73503,73530,1662101601,DOLJ,,,,SCOALA PRIMARA CALUGAREI,SCOALA PRIMARA CALUGAREI,CĂLUGĂREI,,
,1662100957,1661105234,,71956,71983,1662100957,DOLJ,,,,SCOALA GIMNAZIALA BRANISTE-DANETI,SCOALA GIMNAZIALA BRANISTE DANETI,BRANIŞTE,,
,1662103978,1661104423,,71572,71590,1662103978,DOLJ,,,,SCOALA GIMNAZIALA PUTURI,SCOALA GIMNAZIALA PUTURI,PUŢURI,,
17201343,1661104622,,481888,70502,70511,1661104622,DOLJ,,,35A,SCOALA GIMNAZIALA SEGARCEA,SCOALA GIMNAZIALA SEGARCEA,SEGARCEA,UNIRII,
,1662104233,1661104613,,74242,74279,1662104233,DOLJ,,,,GRADINITA CU PROGRAM NORMAL BELOT,GRADINITA CU PROGRAM NORMAL BELOT,BELOŢ,,
15057617,1661104961,,479380,71518,71527,1661104961,DOLJ,,,1,SCOALA GIMNAZIALA CARAULA,SCOALA GIMNAZIALA CARAULA,CARAULA,Craiovei,
,1662102285,1661105876,,71634,71643,1662102285,DOLJ,,,,GRADINITA CU PROGRAM NORMAL CELARU,GRADINITA CU PROGRAM NORMAL CELARU,CELARU,,
17800890,1661206183,,9999778,74859,71901,1661206183,DOLJ,,,13,"""GRADINITA CU PROGRAM PRELUNGIT """"RAYKIDS"""" CARCEA""",GRADINITA CU PROGRAM PRELUNGIT RAYKIDS CARCEA,CÂRCEA,Sublocotenent Ilie Preda,
15115572,1661105614,,479782,72034,72043,1661105614,DOLJ,,,,SCOALA GIMNAZIALA DESA,SCOALA GIMNAZIALA DESA,DESA,,
14625930,1661105971,,479691,71910,71929,1661105971,DOLJ,,,,SCOALA GIMNAZIALA COTOFENII DIN DOS,SCOALA GIMNAZIALA COTOFENII DIN DOS,COŢOFENII DIN DOS,,
14998033,1661102023,,481187,74073,74082,1661102023,DOLJ,,,,SCOALA GIMNAZIALA SCAESTI,SCOALA GIMNAZIALA SCAESTI,SCĂEŞTI,,
,1662102398,1661105329,,70673,70717,1662102398,DOLJ,,,,GRADINITA CU PROGRAM NORMAL ZVORSCA,GRADINITA CU PROGRAM NORMAL ZVORSCA,ZVORSCA,,
31781106,1661205182,,9832016,69900,69919,1661205182,DOLJ,,,2,"""SCOALA POSTLICEALA TEOLOGICO-SANITARA """"SFANTUL IOSIF"""" CRAIOVA""",SCOALA POSTLICEALA TEOLOGICO SANITARA SFANTUL IOSIF CRAIOVA,CRAIOVA,UNIRII,
,1662100898,1661104658,,72463,72481,1662100898,DOLJ,,,,GRADINITA CU PROGRAM NORMAL NEDEIA,GRADINITA CU PROGRAM NORMAL NEDEIA,NEDEIA,,
,1652103697,1671104645,,70879,70888,1652103697,DOLJ,,,,CLUBUL COPIILOR BECHET,CLUBUL COPIILOR BECHET,BECHET,,
