COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,1762103651,1761101097,,75114,75132,1762103651,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT MOVILENI," COMUNA SENDRENI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT MOVILENI COMUNA SENDRENI,MOVILENI,
29112061,1761100802,,492655,75098,75105,1761100802,GALAŢI,,,12,"""GRADINITA CU PROGRAM NORMAL """"IOAN NENITESCU"""""," LOCALITATEA GALATI""",GRADINITA CU PROGRAM NORMAL IOAN NENITESCU LOCALITATEA GALATI,GALAŢI,ION NENITESCU,
21637961,1761101296,,496924,76996,77000,1761101296,GALAŢI,,,,"""SCOALA GIMNAZIALA """"DIMITRIE LUCHIAN"""""," COMUNA PISCU""",SCOALA GIMNAZIALA DIMITRIE LUCHIAN COMUNA PISCU,PISCU,,
,1762103642,1761101097,,75114,75141,1762103642,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT SERBESTII VECHI," COMUNA SENDRENI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT SERBESTII VECHI COMUNA SENDRENI,ŞERBEŞTII VECHI,
,1762102356,1761101545,,75613,75640,1762102356,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT CIURESTII NOI," COMUNA BALASESTI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT CIURESTII NOI COMUNA BALASESTI,CIUREŞTII NOI,
3814674,1781101383,,499249,75203,75212,1781101383,GALAŢI,,,,CLUBUL SPORTIV SCOLAR TECUCI,CLUBUL SPORTIV SCOLAR TECUCI,TECUCI,,,
,1762102926,1761101138,,76692,76709,1762102926,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.2"," COMUNA MATCA""",GRADINITA CU PROGRAM NORMAL NR 2 COMUNA MATCA,MATCA,,
16505034,1761104394,,496041,76157,76166,1761104394,GALAŢI,,,,"""SCOALA GIMNAZIALA """"PROF.EMIL PANAITESCU"""""," COMUNA CUDALBI""",SCOALA GIMNAZIALA PROF EMIL PANAITESCU COMUNA CUDALBI,CUDALBI,,
2910914,1761204772,,,75098,75105,1761204772,GALAŢI,,,30,"""GRADINITA CU PROGRAM PRELUNGIT """"ALEXUTA"""" GALATI""",GRADINITA CU PROGRAM PRELUNGIT ALEXUTA GALATI,GALAŢI,UNIRII,,
,1762100381,1761104575,,76175,76237,1762100381,GALAŢI,,,,"""GRADINITA CU PROGRAM NORMAL NR.1", SAT NICOPOLE," COMUNA DRAGUSENI""",GRADINITA CU PROGRAM NORMAL NR 1 SAT NICOPOLE COMUNA DRAGUSENI,NICOPOLE,
