COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
5026770,5261101375,,1323980,100521,100530,5261101375,GIURGIU,,,,COLEGIUL TEHNIC ’VICEAMIRAL IOAN BALANESCU’,COLEGIUL TEHNIC VICEAMIRAL IOAN BALANESCU,GIURGIU,STR.UZINEI NR.30,
,5262101624,5261101253,,100781,100825,5262101624,GIURGIU,,,1,GRADINITA CU PROGRAM NORMAL NR.3 VARLAAM,GRADINITA CU PROGRAM NORMAL NR 3 VARLAAM,VARLAAM,STR.PRINCIPALA,
4797040,5261101113,,569472,103639,103648,5261101113,GIURGIU,,,,"""LICEUL """"UDRISTE NASTUREL"""" HOTARELE""",LICEUL UDRISTE NASTUREL HOTARELE,HOTARELE,,
4352590,5261100763,,1226065,100521,100530,5261100763,GIURGIU,,,,LICEUL TEHNOLOGIC GIURGIU,LICEUL TEHNOLOGIC GIURGIU,GIURGIU,23 AUGUST NR.57,
,5262101805,5261101407,,104519,180082,5262101805,GIURGIU,,,NR.1,GRĂDINIȚA CU PROGRAM NORMAL NR.3 COMASCA,GRADINITA CU PROGRAM NORMAL NR 3 COMASCA,COMASCA,STR.PRINCIPALĂ,
,5262100279,5261100017,,101378,101430,5262100279,GIURGIU,,,,SCOALA GIMNAZIALA NR.2 VADU LAT,SCOALA GIMNAZIALA NR 2 VADU LAT,VADU LAT,,
,5262100252,5261101488,,101001,101010,5262100252,GIURGIU,,,,SCOALA PRIMARA NR.2 MELETIE,SCOALA PRIMARA NR 2 MELETIE,BĂNEASA,,
,5262101909,5261101289,,105623,105632,5262101909,GIURGIU,,,NR.1,SCOALA PRIMARA NR.3 ULMI,SCOALA PRIMARA NR 3 ULMI,ULMI,STR.PRINCIPALA,
,5262101651,5261101556,,101662,101699,5262101651,GIURGIU,,,NR.1,GRĂDINIȚA CU PROGRAM NORMAL NR.4 CRUCEA,GRADINITA CU PROGRAM NORMAL NR 4 CRUCEA,CRUCEA DE PIATRĂ,STR.PRINCIPALA,
23635517,5241102149,,9,100521,100530,5241102149,GIURGIU,,,8,CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA GIURGIU,CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA GIURGIU,GIURGIU,NICOLAE DROC-BARCIAN,
19115443,5261100718,,562890,101519,101528,5261100718,GIURGIU,,,,"""SCOALA GIMNAZIALA """"NICHIFOR CRAINIC"""" BULBUCATA""",SCOALA GIMNAZIALA NICHIFOR CRAINIC BULBUCATA,BULBUCATA,,
5123616,5261100035,,565581,104225,104234,5261100035,GIURGIU,,,,ȘCOALA GIMNAZIALĂ NR.1 MÂRȘA,SCOALA GIMNAZIALA NR 1 MARSA,MÂRŞA,,
