COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
9841260,1871104606,,510641,77812,77821,1871104606,GORJ,,,28,PALATUL COPIILOR TG-JIU,PALATUL COPIILOR TG JIU,TÂRGU JIU,STR SIRETULUI,
,1862104058,1861105787,,78828,78837,1862104058,GORJ,,,,GRADINITA CU PROGRAM NORMAL BARBATESTI,GRADINITA CU PROGRAM NORMAL BARBATESTI,BĂRBĂTEŞTI,,
,1852101941,1871104606,,78141,78150,1852101941,GORJ,,,1,CLUBUL COPIILOR SI ELEVILOR MOTRU,CLUBUL COPIILOR SI ELEVILOR MOTRU,MOTRU,str Minerului,
,1862101304,1861106119,,79308,79317,1862101304,GORJ,,,,GRADINITA CU PROGRAM PRELUNGIT BUMBESTI-JIU,GRADINITA CU PROGRAM PRELUNGIT BUMBESTI JIU,BUMBEŞTI-JIU,,
,1862104239,1861105439,,80846,80864,1862104239,GORJ,,,,"""GRADINITA CU PROGRAM NORMAL BRADET"," MATASARI""",GRADINITA CU PROGRAM NORMAL BRADET MATASARI,BRĂDET,
,1862100746,1861106173,,80908,80971,1862100746,GORJ,,,,"""GRADINITA CU PROGRAM NORMAL LARGA"," MUSETESTI""",GRADINITA CU PROGRAM NORMAL LARGA MUSETESTI,STĂNCEŞTI LARGA,
,1862101774,1861105516,,80980,81077,1862101774,GORJ,,,,GRADINITA CU PROGRAM NORMAL NR.2 NEGOMIR (URSOAIA),GRADINITA CU PROGRAM NORMAL NR 2 NEGOMIR (URSOAIA),URSOAIA,,
,1862103957,1861104619,,81861,81932,1862103957,GORJ,,,,"""GRADINITA CU PROGRAM NORMAL COPACIOASA"," SCOARTA""",GRADINITA CU PROGRAM NORMAL COPACIOASA SCOARTA,COPĂCIOASA,
29261268,1861105448,,509317,81380,81399,1861105448,GORJ,,,,SCOALA GIMNAZIALA NR.1 POLOVRAGI,SCOALA GIMNAZIALA NR 1 POLOVRAGI,POLOVRAGI,,
,1862102576,1861105882,,79834,79914,1862102576,GORJ,,,,"""SCOALA GIMNAZIALA DUMBRAVENI"," CRASNA""",SCOALA GIMNAZIALA DUMBRAVENI CRASNA,DUMBRĂVENI,
