COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,1962101569,1961104857,,83320,83339,1962101569,HARGHITA,,,135,ȘCOALA PRIMARĂ SUBPĂDURE,SCOALA PRIMARA SUBPADURE,MIERCUREA CIUC,HARGHITEI,
,1962102873,1961104088,,86487,85216,1962102873,HARGHITA,,,220,"""GRĂDINIȚA """"RIGÓFÜTTY"""" PORUMBENII MARI""",GRADINITA RIGÓFÜTTY PORUMBENII MARI,PORUMBENII MARI,BISERICII,
,1962105044,1961104319,,84264,84291,1962105044,HARGHITA,,,96,GRĂDINIȚA NR 4 SÂNCRAI,GRADINITA NR 4 SANCRAI,SÂNCRAI,SÂNCRAI,
4368081,1961100066,,520842,85243,85252,1961100066,HARGHITA,,,223,"""ȘCOALA GIMNAZIALĂ """"KELEMEN IMRE"""" OCLAND""",SCOALA GIMNAZIALA KELEMEN IMRE OCLAND,OCLAND,PRINCIPALĂ,
4245658,1961104667,,5029166,83320,83339,1961104667,HARGHITA,,,18,"""LICEUL DE ARTE """"NAGY ISTVÁN"""" MIERCUREA CIUC""",LICEUL DE ARTE NAGY ISTVAN MIERCUREA CIUC,MIERCUREA CIUC,PIAȚA LIBERTĂŢII,
,1962102579,1961100134,,85582,85617,1962102579,HARGHITA,,,265,"""ȘCOALA GIMNAZIALĂ """"PÉCSI SIMON"""" ELISENI""",SCOALA GIMNAZIALA PÉCSI SIMON ELISENI,ELISENI,PRINCIPALĂ,
,1962102005,1961104405,,84754,84807,1962102005,HARGHITA,,,964,ȘCOALA PRIMARĂ GÂRBEA,SCOALA PRIMARA GARBEA,VALEA GÂRBEA,GÂRBEA,
,1962103404,1961104744,516138,83561,83570,1962103404,HARGHITA,,,81,"""GRĂDINIȚA """"PITYPANG"""" GHEORGHENI""",GRADINITA PITYPANG GHEORGHENI,GHEORGHENI,KOSSUTH LAJOS,
,1962100577,1961104382,,83785,83801,1962100577,HARGHITA,,,51,ȘCOALA GIMNAZIALĂ CRIȘENI,SCOALA GIMNAZIALA CRISENI,CRIŞENI,PRINCIPALĂ,
,1962105053,1961104893,9999950,85840,85859,1962105053,HARGHITA,,,563,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"KATICABOGÁR"""" SÂNSIMION""",GRADINITA CU PROGRAM PRELUNGIT KATICABOGAR SANSIMION,SÂNSIMION,PRINCIPALĂ,
,1962101994,1961104405,,84754,84772,1962101994,HARGHITA,,,23,ȘCOALA PRIMARĂ COMIAT,SCOALA PRIMARA COMIAT,COMIAT,COMIAT,
4246068,1921100019,,9999901,83320,83339,1921100019,HARGHITA,,,5,INSPECTORATUL ȘCOLAR JUDEȚEAN HARGHITA,INSPECTORATUL SCOLAR JUDETEAN HARGHITA,MIERCUREA CIUC,PIAȚA LIBERTĂȚII,
,1962101646,1961104857,,83320,83357,1962101646,HARGHITA,,,127,ȘCOALA PRIMARĂ HARGHITA-BĂI,SCOALA PRIMARA HARGHITA BAI,HARGHITA-BĂI,HARGHITA-BĂI,
,1962103684,1961104007,1006520,83320,83339,1962103684,HARGHITA,,,62,"""GRĂDINIŢA """"TULIPÁN"""" MIERCUREA CIUC""",GRADINITA TULIPAN MIERCUREA CIUC,MIERCUREA CIUC,LELICENI,
,1962103069,1961100116,,85760,85779,1962103069,HARGHITA,,,901,ȘCOALA PRIMARĂ CSERALJA SÂNDOMINIC,SCOALA PRIMARA CSERALJA SANDOMINIC,SÂNDOMINIC,CSERALJA,
,1962101212,1961104925,,83375,83384,1962101212,HARGHITA,,,10,GRĂDINIȚA PĂULENI-CIUC,GRADINITA PAULENI CIUC,PĂULENI-CIUC,PRINCIPALĂ,
