COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,2062101761,2061103139,,87059,87068,2062101761,HUNEDOARA,,,1,ŞCOALA GIMNAZIALĂ NR. 1 LUPENI,SCOALA GIMNAZIALA NR 1 LUPENI,LUPENI,Tudor Vladimirescu,
28996253,2061100787,,529070,90262,90271,2061100787,HUNEDOARA,,,,ȘCOALA PRIMARĂ MĂRTINEȘTI,SCOALA PRIMARA MARTINESTI,MĂRTINEŞTI,,
,2062102034,2061100552,,89080,89115,2062102034,HUNEDOARA,,,,ŞCOALA PRIMARĂ GLODGHILEŞTI,SCOALA PRIMARA GLODGHILESTI,GLODGHILEŞTI,,
,2062102102,2061103112,,87638,87647,2062102102,HUNEDOARA,,,8,GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 2 ORĂŞTIE,GRADINITA CU PROGRAM PRELUNGIT NR 2 ORASTIE,ORĂŞTIE,MUREŞUL,
,2062102174,2061103279,,90342,90379,2062102174,HUNEDOARA,,,,GRĂDINIȚA CU PROGRAM NORMAL COSTEȘTI,GRADINITA CU PROGRAM NORMAL COSTESTI,COSTEŞTI,,
,2062102934,2061100864,,87424,87512,2062102934,HUNEDOARA,,,,ŞCOALA PRIMARĂ SÂNCRAI,SCOALA PRIMARA SANCRAI,SÂNCRAI,,
,2062100204,2061100751,,87291,87353,2062100204,HUNEDOARA,,,115,GRĂDINIŢA CU PROGRAM NORMAL VALEA BRADULUI,GRADINITA CU PROGRAM NORMAL VALEA BRADULUI,VALEA BRADULUI,,
29012925,2061101015,,527292,88092,88109,2061101015,HUNEDOARA,,,150,ȘCOALA GIMNAZIALĂ BĂIȚA,SCOALA GIMNAZIALA BAITA,BĂIŢA,Principală,
4374733,2061100769,,113089,86687,86696,2061100769,HUNEDOARA,,,116,"""COLEGIUL TEHNIC """"TRANSILVANIA"""" DEVA""",COLEGIUL TEHNIC TRANSILVANIA DEVA,DEVA,22.dec,
4374270,2061100507,,527230,88047,88056,2061100507,HUNEDOARA,,,239,ȘCOALA GIMNAZIALĂ BĂCIA,SCOALA GIMNAZIALA BACIA,BĂCIA,PRINCIPALĂ,
,2062101707,2061100977,,91795,91820,2062101707,HUNEDOARA,,,,ȘCOALA PRIMARĂ BIRTIN,SCOALA PRIMARA BIRTIN,BIRTIN,,
12941499,2071100408,,530940,86687,86696,2071100408,HUNEDOARA,,,17,PALATUL COPIILOR DEVA,PALATUL COPIILOR DEVA,DEVA,Mihai Eminescu,
4521680,2061101119,,986395,86687,86696,2061101119,HUNEDOARA,,,6,GRĂDINIȚA CU PROGRAM PRELUNGIT NR 7 DEVA,GRADINITA CU PROGRAM PRELUNGIT NR 7 DEVA,DEVA,Aleea Patriei,
29033898,2061103207,,527084,87843,87852,2061103207,HUNEDOARA,,,42,ȘCOALA PRIMARĂ BALȘA,SCOALA PRIMARA BALSA,BALŞA,Principala,
,2062103044,2061100855,,87362,87406,2062103044,HUNEDOARA,,,,ŞCOALA PRIMARĂ ZDRAPŢI,SCOALA PRIMARA ZDRAPTI,ZDRAPŢI,,
