COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
33558748,2161101167,,210561951,100852,100861,2161101167,IALOMIŢA,,,3,"""ŞCOALA GIMNAZIALĂ """"ALEXANDRU ALDEA VOIEVOD"""" ALEXENI""",SCOALA GIMNAZIALA ALEXANDRU ALDEA VOIEVOD ALEXENI,ALEXENI,ȘCOLII,
,2162100338,2161101348,,179702,93762,2162100338,IALOMIŢA,,,445A,GRĂDINIŢA CU PROGRAM NORMAL TRAIAN-LIC.TEH.TRAIAN,GRADINITA CU PROGRAM NORMAL TRAIAN LIC TEH TRAIAN,TRAIAN,GRĂDINIŢEI,
4364756,2161101416,,210539518,92701,92710,2161101416,IALOMIŢA,,,48,LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ FETEŞTI,LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARA FETESTI,FETEŞTI,SIRENEI,
33560721,2161101235,,210538875,94107,94116,2161101235,IALOMIŢA,,,137,"""ŞCOALA GIMNAZIALĂ """"ARHANGHELII MIHAIL ŞI GAVRIIL"""" MUNTENI-BUZĂU""",SCOALA GIMNAZIALA ARHANGHELII MIHAIL SI GAVRIIL MUNTENI BUZAU,MUNTENI-BUZĂU,PRIMĂRIEI,
33560527,2161100935,,210541547,92701,92710,2161100935,IALOMIŢA,,,1,GRĂDINIŢA CU PROGRAM PRELUNGIT FETEŞTI,GRADINITA CU PROGRAM PRELUNGIT FETESTI,FETEŞTI,CĂMINULUI,
,2162100103,2161101452,,100923,100950,2162100103,IALOMIŢA,,,1,ŞCOALA PRIMARĂ HORIA-ŞC.GIM.AXINTELE,SCOALA PRIMARA HORIA SC GIM AXINTELE,HORIA,SÎRBENI,
33561212,2161101511,,210562905,101056,101065,2161101511,IALOMIŢA,,,166,ŞCOALA GIMNAZIALĂ BĂRCĂNEŞTI,SCOALA GIMNAZIALA BARCANESTI,BĂRCĂNEŞTI,MIHAI VITEAZUL,
33557360,2161100035,,210565658,179828,104314,2161100035,IALOMIŢA,,,36,"""ŞCOALA GIMNAZIALĂ """"MAICA DOMNULUI"""" ROŞIORI""",SCOALA GIMNAZIALA MAICA DOMNULUI ROSIORI,ROŞIORI,INDEPENDENŢEI,
33558373,2161100917,,210565311,103960,103979,2161100917,IALOMIŢA,,,75,"""ŞCOALA GIMNAZIALĂ """"CĂPITAN AVIATOR CONSTANTIN M.CANTACUZINO"""" JILAVELE""",SCOALA GIMNAZIALA CAPITAN AVIATOR CONSTANTIN M CANTACUZINO JILAVELE,JILAVELE,CALEA URZICENI,
33560489,2161101131,,210538502,93600,93619,2161101131,IALOMIŢA,,,29,ŞCOALA GIMNAZIALĂ GHEORGHE DOJA,SCOALA GIMNAZIALA GHEORGHE DOJA,GHEORGHE DOJA,BISERICII,
,2162100374,2161101303,,100754,100772,2162100374,IALOMIŢA,,,135,GRĂDINIŢA CU PROGRAM NORMAL PATRU FRAŢI-ŞC.GIM.ADÂNCATA,GRADINITA CU PROGRAM NORMAL PATRU FRATI SC GIM ADANCATA,PATRU FRAŢI,PRINCIPALĂ,
4428086,2171101353,,210542826,92658,92667,2171101353,IALOMIŢA,,,120,PALATUL COPIILOR SLOBOZIA,PALATUL COPIILOR SLOBOZIA,SLOBOZIA,MATEI BASARAB,
,2162100415,2161101425,,94161,94205,2162100415,IALOMIŢA,,,28,ŞCOALA PRIMARĂ PĂLTINIŞ-ŞC.GIM.PERIEŢI,SCOALA PRIMARA PALTINIS SC GIM PERIETI,PĂLTINIŞU,CALEA BUCUREŞTI,
,2162100496,2161101511,,101056,101074,2162100496,IALOMIŢA,,,133,ŞCOALA GIMNAZIALĂ CONDEEŞTI-ŞC.GIM.BĂRCĂNEŞTI,SCOALA GIMNAZIALA CONDEESTI SC GIM BARCANESTI,CONDEEŞTI,MIHAI VITEAZUL,
23860845,2161100799,,210538796,93995,94009,2161100799,IALOMIŢA,,,22,ŞCOALA PROFESIONALĂ MIHAIL KOGĂLNICEANU,SCOALA PROFESIONALA MIHAIL KOGALNICEANU,MIHAIL KOGĂLNICEANU,ŞCOLII,
,2162100148,2161101081,,93156,93192,2162100148,IALOMIŢA,,,2,"""ŞCOALA PRIMARĂ """"PETRACHE POENARU"""" POIANA-ŞC.GIM.CIULNIŢA""",SCOALA PRIMARA PETRACHE POENARU POIANA SC GIM CIULNITA,POIANA,TUDOR VLADIMIRESCU,
33560691,2161101113,,210538174,93209,93218,2161101113,IALOMIŢA,,,2A,ŞCOALA GIMNAZIALĂ COCORA,SCOALA GIMNAZIALA COCORA,COCORA,ŞCOLII,
33476010,2161101321,,210563222,102240,102259,2161101321,IALOMIŢA,,,4,ŞCOALA GIMNAZIALĂ COŞERENI,SCOALA GIMNAZIALA COSERENI,COŞERENI,LINIA MARE,
,2162100243,2161101262,,100683,100692,2162100243,IALOMIŢA,,,25,"""ŞCOALA GIMNAZIALĂ NR.3 URZICENI-LIC.TEH.""""SF.ECATERINA"""" URZ.""",SCOALA GIMNAZIALA NR 3 URZICENI LIC TEH SF ECATERINA URZ ,URZICENI,CĂPITAN URZICĂ,
4663995,2161101497,,210569666,102749,102758,2161101497,IALOMIŢA,,,5,LICEUL TEHNOLOGIC FIERBINŢI-TÂRG,LICEUL TEHNOLOGIC FIERBINTI TARG,FIERBINŢI-TÂRG,CALEA URZICENI,
