COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
11527805,2261105979,,545957,95060,95079,2261105979,IAŞI,,,12,"""ȘCOALA GIMNAZIALĂ """"ȘTEFAN BÂRSĂNESCU"""""," IAŞI""",SCOALA GIMNAZIALA STEFAN BARSANESCU IASI,IAŞI,Zugravi,
,2262106935,2261105821,,98220,98239,2262106935,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," BOURENI""",GRADINITA CU PROGRAM NORMAL BOURENI,MOŢCA,,
7685840,2261105518,,3011763,95471,95480,2261105518,IAŞI,,,65A,"""LICEUL TEHNOLOGIC """"PETRU RAREȘ"""""," TÂRGU FRUMOS""",LICEUL TEHNOLOGIC PETRU RARES TARGU FRUMOS,TÂRGU FRUMOS,CUZA VODA,
17130366,2261102723,,553801,99968,99995,2261102723,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ"," TOPILE""",SCOALA GIMNAZIALA TOPILE,TOPILE,,
,2262101975,2261105296,547943,96254,96281,2262101975,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," DUMBRAVA""",GRADINITA CU PROGRAM NORMAL DUMBRAVA,DUMBRAVA,,
,2262103769,2261106451,549252,100317,97081,2262103769,IAŞI,,,,"""ȘCOALA PRIMARĂ NR. 2"," FÂNTÂNELE""",SCOALA PRIMARA NR 2 FANTANELE,FÂNTÂNELE,,
17179360,2261106727,,545933,95060,95079,2261106727,IAŞI,,,,"""ȘCOALA GIMNAZIALĂ """"ALEXANDRU CEL BUN"""""," IAŞI""",SCOALA GIMNAZIALA ALEXANDRU CEL BUN IASI,IAŞI,MUSATINI NR. 53,
1136210,2262104173,2261105269,,98685,98694,2262104173,IAŞI,,,,GRĂDINIȚA CU PROGRAM NORMAL RADUCĂNENI,GRADINITA CU PROGRAM NORMAL RADUCANENI,RĂDUCĂNENI,,,
,2262102284,2261105224,547383,95872,95934,2262102284,IAŞI,,,,"""ȘCOALA PRIMARĂ"," ULMI""",SCOALA PRIMARA ULMI,ULMI,,
,2262101713,2261106139,,96147,96183,2262101713,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," ZLODICA""",GRADINITA CU PROGRAM NORMAL ZLODICA,ZLODICA,,
,2262100386,2261105527,547084,95667,95685,2262100386,IAŞI,,,,"""ȘCOALA PRIMARĂ"," BUHĂIENI""",SCOALA PRIMARA BUHAIENI,BUHĂENI,,
,2262100653,2261105649,548545,96637,96646,2262100653,IAŞI,,,,"""ȘCOALA PRIMARĂ"," HEREŞTI""",SCOALA PRIMARA HERESTI,CRISTEŞTI,,
,2262104223,2261100029,969945,97919,97928,2262104223,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," MIROSLAVA""",GRADINITA CU PROGRAM NORMAL MIROSLAVA,MIROSLAVA,,
,2262103095,2261106356,549161,97009,97045,2262103095,IAŞI,,,,"""ȘCOALA PRIMARĂ NR. 2"," SPRÎNCEANA""",SCOALA PRIMARA NR 2 SPRINCEANA,SPRÂNCEANA,,
,2262102827,2261104508,551279,98435,98471,2262102827,IAŞI,,,,"""ȘCOALA PRIMARĂ """"NICOLAIE BUTESCU"""""," OBRIJENI""",SCOALA PRIMARA NICOLAIE BUTESCU OBRIJENI,OBRIJENI,,
,2262103403,2261105441,545983,95060,95079,2262103403,IAŞI,,,,"""ȘCOALA PRIMARĂ """"COSTACHE CONACHI"""""," IAŞI""",SCOALA PRIMARA COSTACHE CONACHI IASI,IAŞI,,
,2262101523,2261104811,549068,96940,96977,2262101523,IAŞI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," CHILIȘOAIA""",GRADINITA CU PROGRAM NORMAL CHILISOAIA,CHILIŞOAIA,,
,2252102894,2251105219,,98774,98783,2252102894,IAŞI,,,,CLUBUL COPIILOR RUGINOASA,CLUBUL COPIILOR RUGINOASA,RUGINOASA,,,
