COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,2362100959,2361101978,,100969,100987,2362100959,ILFOV,,,20,GRĂDINIȚA NR. 3 DUMBRAVENI,GRADINITA NR 3 DUMBRAVENI,DUMBRĂVENI,LAHOVARI,
,2362100733,2361101761,,102035,102044,2362100733,ILFOV,,,120,ȘCOALA PRIMARĂ NR. 1 CLINCENI,SCOALA PRIMARA NR 1 CLINCENI,CLINCENI,MONUMENTUL EROILOR,
,2362100819,2361102355,,101902,101920,2362100819,ILFOV,,,10,GRĂDINIȚA NR. 3 IZVORANI,GRADINITA NR 3 IZVORANI,IZVORANI,VINTILĂ BRĂTIANU,
,2362100724,2361101223,,179588,102561,2362100724,ILFOV,,,180,GRĂDINIȚA NR. 1 COPĂCENI,GRADINITA NR 1 COPACENI,COPĂCENI,PRINCIPALA,
,2362100362,2361101657,,104243,104261,2362100362,ILFOV,,,172,GRĂDINIȚA NR. 3 CĂCIULAŢI,GRADINITA NR 3 CACIULATI,CĂCIULAŢI,UNIRII,
11269080,2361101449,,400767359,179551,179560,2361101449,ILFOV,,,7,ȘCOALA GIMNAZIALĂ NR. 1 VOLUNTARI,SCOALA GIMNAZIALA NR 1 VOLUNTARI,VOLUNTARI,ANTON PANN,
13613848,2361101915,,400563600,101742,101751,2361101915,ILFOV,,,19,ȘCOALA GIMNAZIALA NR. 1 CERNICA,SCOALA GIMNAZIALA NR 1 CERNICA,CERNICA,TRAIAN,
13675069,2361102346,,400565610,104243,104252,2361102346,ILFOV,,,127,ȘCOALA GIMNAZIALĂ NR. 1 MOARA VLĂSIEI,SCOALA GIMNAZIALA NR 1 MOARA VLASIEI,MOARA VLĂSIEI,EROILOR,
14095159,2361101336,,400566391,105419,105428,2361101336,ILFOV,,,147,ȘCOALA GIMNAZIALĂ NR. 1 ŞTEFĂNEŞTI,SCOALA GIMNAZIALA NR 1 STEFANESTI,ŞTEFĂNEŞTII DE JOS,STEFĂNEŞTI,
13616780,2361101707,,400767529,179310,179329,2361101707,ILFOV,,,16,ŞCOALA GIMNAZIALA NR. 1 DOBROEŞTI,SCOALA GIMNAZIALA NR 1 DOBROESTI,DOBROEŞTI,NICOLAE BALCESCU,
27338446,2361201456,,232577564,179221,179230,2361201456,ILFOV,,,22,GRĂDINIŢA GSP BRAGADIRU,GRADINITA GSP BRAGADIRU,BRAGADIRU,VERII,
,2362100371,2361102346,,104243,104252,2362100371,ILFOV,,,279,GRĂDINIȚA NR. 2 MOARA VLĂSIEI,GRADINITA NR 2 MOARA VLASIEI,MOARA VLĂSIEI,EROILOR,
30701885,2361202398,,232685464,179551,179560,2361202398,ILFOV,,,65,"""LICEUL TEORETIC """"LITTLE LONDON PIPERA""""""",LICEUL TEORETIC LITTLE LONDON PIPERA,VOLUNTARI,IANCU NICOLAE,
20721974,2361201664,,232631396,102160,102179,2361201664,ILFOV,,,24,"""ŞCOALA PRIMARĂ """"PAINTBRUSH"""" CORBEANCA""",SCOALA PRIMARA PAINTBRUSH CORBEANCA,CORBEANCA,ZEPELINULUI,
31901571,2361202181,,231036434,179551,179560,2361202181,ILFOV,,,3D,"""GRĂDINIŢA """"LITTLE LONDON"""" VOLUNTARI""",GRADINITA LITTLE LONDON VOLUNTARI,VOLUNTARI,TUDOR ARGHEZI,
,2362101087,2361101639,,100576,100585,2362101087,ILFOV,,,52,GRĂDINIȚA NR. 5 BUFTEA,GRADINITA NR 5 BUFTEA,BUFTEA,EROILOR,
,2362100837,2361102034,,101742,101760,2362100837,ILFOV,,,14,GRĂDINIȚA NR. 4 BĂLĂCEANCA,GRADINITA NR 4 BALACEANCA,BĂLĂCEANCA,EROILOR,
4364730,2361102111,,400832075,102605,102614,2361102111,ILFOV,,,166,"""LICEUL TEHNOLOGIC """"VINTILĂ BRĂTIANU""""""",LICEUL TEHNOLOGIC VINTILA BRATIANU,DRAGOMIREŞTI-VALE,MICSUNELELOR,
4364454,2361101345,,400805254,101957,101966,2361101345,ILFOV,,,15,"""LICEUL TEHNOLOGIC """"PAMFIL ȘEICARU""""""",LICEUL TEHNOLOGIC PAMFIL SEICARU,CIOROGÂRLA,SCOLII,
,2362100353,2361100032,,104421,104467,2362100353,ILFOV,,,84,ȘCOALA PRIMARĂ NR. 2 MICŞUNEŞTII MARI,SCOALA PRIMARA NR 2 MICSUNESTII MARI,MICŞUNEŞTII MARI,ORHIDEELOR,
,2362100769,2361101752,,101957,101975,2362100769,ILFOV,,,31,ȘCOALA GIMNAZIALĂ NR. 2 DÂRVARI,SCOALA GIMNAZIALA NR 2 DARVARI,DÂRVARI,ADUNATI,
13602520,2361101494,,568806,100576,100585,2361101494,ILFOV,,,22,ȘCOALA GIMNAZIALĂ NR. 2 BUFTEA,SCOALA GIMNAZIALA NR 2 BUFTEA,BUFTEA,ŞTIRBEI VODĂ,
1106205,2361201646,,232615732,102160,102204,2361201646,ILFOV,,,6,"""GRĂDINIȚA """"HAPPY-DAYS""""""",GRADINITA HAPPY DAYS,TAMAŞI,VERONICA,
,2362101182,2361102111,,102605,102632,2362101182,ILFOV,,,42,SCOALA PRIMARA NR. 1 ZURBAUA,SCOALA PRIMARA NR 1 ZURBAUA,ZURBAUA,GHIOCEILOR,
14095116,2361102301,,4005646666,103513,103522,2361102301,ILFOV,,,136,ȘCOALA GIMNAZIALĂ NR. 1 GRUIU,SCOALA GIMNAZIALA NR 1 GRUIU,GRUIU,GRUIU-SNAGOV,
,2362102477,2361101309,,179383,179392,2362102477,ILFOV,,,1,LICEUL PENITENCIAR JILAVA,LICEUL PENITENCIAR JILAVA,JILAVA,SABARULUI,
,2362100932,2361102192,,101145,101154,2362100932,ILFOV,,,161,ȘCOALA PRIMARĂ NR. 2 BERCENI,SCOALA PRIMARA NR 2 BERCENI,BERCENI,01.mai,
13634182,2361100077,,400565983,104546,104555,2361100077,ILFOV,,,580,LICEUL TEORETIC NR. 1 PERIŞ,LICEUL TEORETIC NR 1 PERIS,PERIŞ,PRINCIPALĂ,
,2362100335,2361100032,,104421,104467,2362100335,ILFOV,,,84,GRĂDINIȚA NR. 3 MICŞUNEŞTII MARI,GRADINITA NR 3 MICSUNESTII MARI,MICŞUNEŞTII MARI,,
28236363,2361201967,,232607319,179249,179276,2361201967,ILFOV,,,91A,ȘCOALA ”KIDS CLUB MILITARI”,SCOALA KIDS CLUB MILITARI,ROŞU,REZERVELOR,
,2362100579,2361102102,,103130,103158,2362100579,ILFOV,,,2,ȘCOALA PRIMARĂ NR. 2 COZIENI,SCOALA PRIMARA NR 2 COZIENI,COZIENI,MANASTIRII,
,2362100109,2361102233,,105936,105963,2362100109,ILFOV,,,207,GRĂDINIȚA NR. 4 SINTEŞTI,GRADINITA NR 4 SINTESTI,SINTEŞTI,PRINCIPALĂ,
14095132,2361101906,,400768042,179383,179392,2361101906,ILFOV,,,266,ȘCOALA GIMNAZIALĂ NR. 1 JILAVA,SCOALA GIMNAZIALA NR 1 JILAVA,JILAVA,GIURGIULUI,
17128587,2361101684,,400768339,179249,179276,2361101684,ILFOV,,,90,"""LICEUL TEHNOLOGIC """"DOAMNA CHIAJNA""""""",LICEUL TEHNOLOGIC DOAMNA CHIAJNA,ROŞU,01.dec.18,
,2362102509,2361102301,,103513,103522,2362102509,ILFOV,,,28,GRĂDINIȚA NR. 1 GRUIU,GRADINITA NR 1 GRUIU,GRUIU,Ungureni,
4532442,2361102328,,400960523,100576,100585,2361102328,ILFOV,,,135,"""LICEUL TEHNOLOGIC """"DUMITRU DUMITRESCU""""""",LICEUL TEHNOLOGIC DUMITRU DUMITRESCU,BUFTEA,BUCUREŞTI - TÂRGOVIŞTE,
,2362100941,2361101978,,100969,100996,2362100941,ILFOV,,,78,ȘCOALA PRIMARĂ NR. 1 SĂFTICA,SCOALA PRIMARA NR 1 SAFTICA,SĂFTICA,BUCURESTI-PLOIESTI,
,2362100484,2361102301,,103513,103531,2362100484,ILFOV,,,102,GRĂDINIȚA NR. 2 LIPIA,GRADINITA NR 2 LIPIA,LIPIA,LIPIA-NUCI,
,2362100317,2361100032,,104421,104458,2362100317,ILFOV,,,23,ȘCOALA PRIMARĂ NR. 1 MERII PETCHII,SCOALA PRIMARA NR 1 MERII PETCHII,MERII PETCHII,CRINILOR,
11702388,2361202421,,403812296,179551,179560,2361202421,ILFOV,,,4A,"""ȘCOALA PRIMARĂ """"SFÂNTA MARIA""""""",SCOALA PRIMARA SFANTA MARIA,VOLUNTARI,VARTEJULUI,
,2362100127,2361101309,,105936,105945,2362100127,ILFOV,,,315,GRĂDINIȚA NR. 2 VIDRA,GRADINITA NR 2 VIDRA,VIDRA,PRICIPALĂ,
,2362101101,2361101639,,100576,100585,2362101101,ILFOV,,,52,ȘCOALA GIMNAZIALĂ NR. 3 BUFTEA,SCOALA GIMNAZIALA NR 3 BUFTEA,BUFTEA,INDEPENDENTEI,
13613856,2361101761,,400563117,102035,102044,2361101761,ILFOV,,,107,LICEUL CU PROGRAM SPORTIV CU CLASELE I - XII,LICEUL CU PROGRAM SPORTIV CU CLASELE I  XII,CLINCENI,PRINCIPALA,
,2362100466,2361102301,,103513,103559,2362100466,ILFOV,,,53,ȘCOALA GIMNAZIALĂ NR. 3 SILIŞTEA SNAGOVULUI,SCOALA GIMNAZIALA NR 3 SILISTEA SNAGOVULUI,SILIŞTEA SNAGOVULUI,ANTIM IVIREANU,
29007708,2361101535,,4000034,100576,100585,2361101535,ILFOV,,,4,"""GRĂDINIȚA """"CĂSUȚA COPILĂRIEI""""""",GRADINITA CASUTA COPILARIEI,BUFTEA,ALEEA SCOLII,
,2362100692,2361102251,,102160,102197,2362100692,ILFOV,,,24,GRĂDINIȚA NR. 1 PETREŞTI,GRADINITA NR 1 PETRESTI,PETREŞTI,UNIRII,
29812685,2361202552,,232508032,179533,179542,2361202552,ILFOV,,,32G,GRĂDINIȚA ”ROSE GARDEN KIDS” POPEȘTI LEORDENI,GRADINITA ROSE GARDEN KIDS POPESTI LEORDENI,POPEŞTI LEORDENI,OLTENIȚEI,
