COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,2462103662,2461100157,,108473,108482,2462103662,MARAMUREŞ,,,,SCOALA GIMNAZIALA NR. 3 POIENILE DE SUB MUNTE,SCOALA GIMNAZIALA NR 3 POIENILE DE SUB MUNTE,POIENILE DE SUB MUNTE,CVASNITA,,
,2462103594,2461100935,,106318,106327,2462103594,MARAMUREŞ,,,2B,GRADINITA CU PROGRAM NORMAL NR.2 BAIA MARE,GRADINITA CU PROGRAM NORMAL NR 2 BAIA MARE,BAIA MARE,Oituz,,
26691155,2461101375,,579518,106318,106327,2461101375,MARAMUREŞ,,,2A,"""SCOALA GIMNAZIALA """"VASILE ALECSANDRI"""" BAIA MARE""",SCOALA GIMNAZIALA VASILE ALECSANDRI BAIA MARE,BAIA MARE,PASUNII,,
,2462102322,2461101131,,107920,107957,2462102322,MARAMUREŞ,,,,SCOALA GIMNAZIALA LIBOTIN,SCOALA GIMNAZIALA LIBOTIN,LIBOTIN,,,
,2462101981,2461101886,,107733,107779,2462101981,MARAMUREŞ,,,,SCOALA PRIMARA COPALNIC,SCOALA PRIMARA COPALNIC,COPALNIC,,,
27030542,2461101348,,579958,106559,106568,2461101348,MARAMUREŞ,,,,"""SCOALA GIMNAZIALA """"DR. IOAN MIHALYI DE APSA"""" SIGHETU MARMATIEI""",SCOALA GIMNAZIALA DR IOAN MIHALYI DE APSA SIGHETU MARMATIEI,SIGHETU MARMAŢIEI,MIHAI VITEAZU 41,,
,2462103056,2461100659,,106684,106728,2462103056,MARAMUREŞ,,,148,SCOALA GIMNAZIALA SATU NOU DE SUS,SCOALA GIMNAZIALA SATU NOU DE SUS,SATU NOU DE SUS,,,
3694683,2461100347,,1182037,106318,106327,2461100347,MARAMUREŞ,,,7,"""COLEGIUL TEHNIC """"TRANSILVANIA"""" BAIA MARE""",COLEGIUL TEHNIC TRANSILVANIA BAIA MARE,BAIA MARE,08.mar,,
26695530,2461101832,,1090210,106318,106327,2461101832,MARAMUREŞ,,,2,SCOALA GIMNAZIALA NR. 18 BAIA MARE,SCOALA GIMNAZIALA NR 18 BAIA MARE,BAIA MARE,FILATURII,,
29151060,2461103472,,585256,109265,109283,2461103472,MARAMUREŞ,,,143,"""SCOALA GIMNAZIALA """"KOS KAROLY"""" ARDUZEL""",SCOALA GIMNAZIALA KOS KAROLY ARDUZEL,ARDUZEL,ARDUZEL,,
26983168,2461103445,,977124,106559,106568,2461103445,MARAMUREŞ,,,,GRADINITA CU PROGRAM PRELUNGIT NR. 12 SIGHETU MARMATIEI,GRADINITA CU PROGRAM PRELUNGIT NR 12 SIGHETU MARMATIEI,SIGHETU MARMAŢIEI,INDEPENDENTEI,,
25198036,2461103418,,583832,108552,108561,2461103418,MARAMUREŞ,,,,SCOALA GIMNAZIALA REMETI,SCOALA GIMNAZIALA REMETI,REMEŢI,PTRINCIPALA NR.43,,
18336462,2461101755,,581690,107314,107323,2461101755,MARAMUREŞ,,,4,"""SCOALA GIMNAZIALA """"MIRCEA VULCANESCU"""" BARSANA""",SCOALA GIMNAZIALA MIRCEA VULCANESCU BARSANA,BÂRSANA,PRINCIPALA,,
,2462102227,2461101384,,106559,106568,2462102227,MARAMUREŞ,,,45,"""GRADINITA CU PROGRAM NORMAL """"POPA LUPU"""" SIGHETU MARMATIEI""",GRADINITA CU PROGRAM NORMAL POPA LUPU SIGHETU MARMATIEI,SIGHETU MARMAŢIEI,POPA LUPU,,
,2462103106,2461100071,,108035,108099,2462103106,MARAMUREŞ,,,,SCOALA PRIMARA UNGURAS,SCOALA PRIMARA UNGURAS,UNGURAŞ,,,
28891958,2461100175,,582864,108017,108026,2461100175,MARAMUREŞ,,,149,"""SCOALA GIMNAZIALA """"LIVIU REBREANU"""" DRAGOMIRESTI""",SCOALA GIMNAZIALA LIVIU REBREANU DRAGOMIRESTI,DRAGOMIREŞTI,01.dec.18,,
,2462101936,2461100908,,109265,109336,2462101936,MARAMUREŞ,,,,SCOALA PRIMARA NR. 1 TICAU,SCOALA PRIMARA NR 1 TICAU,ŢICĂU,,,
3627447,2431100092,,995607,106318,106327,2431100092,MARAMUREŞ,,,dec.14,CASA CORPULUI DIDACTIC MARAMURES,CASA CORPULUI DIDACTIC MARAMURES,BAIA MARE,PETOFI SANDOR,,
,2462103644,2461101859,,106318,106327,2462103644,MARAMUREŞ,,,12,GRADINITA CU PROGRAM NORMAL NR. 24 BAIA MARE,GRADINITA CU PROGRAM NORMAL NR 24 BAIA MARE,BAIA MARE,Lunci,,
28675610,2461103314,,583894,108598,108605,2461103314,MARAMUREŞ,,,339,LICEUL TEHNOLOGIC REPEDEA,LICEUL TEHNOLOGIC REPEDEA,REPEDEA,BISERICII,,
23012292,2461101321,,584264,179846,108838,2461101321,MARAMUREŞ,,,35,"""SCOALA GIMNAZIALA """"PETOFI SANDOR"""" COLTAU""",SCOALA GIMNAZIALA PETOFI SANDOR COLTAU,COLTĂU,PRINCIPALA,,
26684310,2461101814,,579489,106318,106327,2461101814,MARAMUREŞ,,,56,"""SCOALA GIMNAZIALA """"OCTAVIAN GOGA"""" BAIA MARE""",SCOALA GIMNAZIALA OCTAVIAN GOGA BAIA MARE,BAIA MARE,V. LUCACIU,,
22623018,2461203773,,,106559,106568,2461203773,MARAMUREŞ,,,13,GRADINITA CU PROGRAM NORMAL TUDOR SIGHETU MARMATIEI,GRADINITA CU PROGRAM NORMAL TUDOR SIGHETU MARMATIEI,SIGHETU MARMAŢIEI,M.EMINESCU,,
,2462102702,2461103481,,108712,108776,2462102702,MARAMUREŞ,,,,SCOALA PRIMARA MOGOSESTI,SCOALA PRIMARA MOGOSESTI,MOGOŞEŞTI,,,
28086380,2461101131,,582723,107920,107939,2461101131,MARAMUREŞ,,,255,SCOALA GIMNAZIALA CUPSENI,SCOALA GIMNAZIALA CUPSENI,CUPŞENI,,,
27001407,2461100867,,579934,106559,106568,2461100867,MARAMUREŞ,,,11,SCOALA GIMNAZIALA NR. 1 SIGHETU MARMATIEI,SCOALA GIMNAZIALA NR 1 SIGHETU MARMATIEI,SIGHETU MARMAŢIEI,VALEA HOTARULUI,,
,2462103626,2461101511,,107350,107378,2462103626,MARAMUREŞ,,,,SCOALA GIMNAZIALA TISA,SCOALA GIMNAZIALA TISA,CRĂCIUNEŞTI,,,
17983223,2461100686,,995932,106461,106470,2461100686,MARAMUREŞ,,,229,"""LICEUL TEHNOLOGIC """"TRAIAN VUIA"""" TAUTII MAGHERAUS""",LICEUL TEHNOLOGIC TRAIAN VUIA TAUTII MAGHERAUS,TĂUŢII-MĂGHERĂUŞ,PRINCIPALA,,
3695263,2461103332,,1181992,106746,106755,2461103332,MARAMUREŞ,,,2,LICEUL BORSA,LICEUL BORSA,BORŞA,LAZUCI,,
58585858,2461201509,,242071134,106817,106826,2461201509,MARAMUREŞ,,,82,"""LICEUL TEORETIC """"GEORGE POP DE BASESTI"""" TARGU LAPUS""",LICEUL TEORETIC GEORGE POP DE BASESTI TARGU LAPUS,TÂRGU LĂPUŞ,01.mai,,
,2462102426,2461101574,,109096,109149,2462102426,MARAMUREŞ,,,,SCOALA PRIMARA NEGREIA,SCOALA PRIMARA NEGREIA,NEGREIA,,,
,2461101303,2461103359,581080,106979,106988,2461101303,MARAMUREŞ,,,,"""GRADINITA CU PROGRAM NORMAL """"VERONICA"""" VISEU DE SUS""",GRADINITA CU PROGRAM NORMAL VERONICA VISEU DE SUS,VIŞEU DE SUS,,,
23219736,2441103453,,7078137,106318,106327,2441103453,MARAMUREŞ,,,7:00 a.m.,CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MARAMURES,CENTRUL JUDETEAN DE RESURSE SI ASISTENTA EDUCATIONALA MARAMURES,BAIA MARE,08.mar,,
,2462102498,2461101262,,108491,108525,2462102498,MARAMUREŞ,,,,SCOALA PRIMARA BERCHEZOAIA,SCOALA PRIMARA BERCHEZOAIA,BERCHEZOAIA,PRINCIPALA,,
3694853,2461101877,,580660,106817,106826,2461101877,MARAMUREŞ,,,82,"""LICEUL TEORETIC """"PETRU RARES"""" TARGU LAPUS""",LICEUL TEORETIC PETRU RARES TARGU LAPUS,TÂRGU LĂPUŞ,"""1 MAI"," NR. 82""",
,2462102729,2461103481,,108712,108785,2462102729,MARAMUREŞ,,,,SCOALA GIMNAZIALA PRIBILESTI,SCOALA GIMNAZIALA PRIBILESTI,PRIBILEŞTI,,,
,2462102019,2461101886,,107733,107797,2462102019,MARAMUREŞ,,,,SCOALA PRIMARA CURTUIUSU MIC,SCOALA PRIMARA CURTUIUSU MIC,CURTUIUŞU MIC,,,
28916726,2461103436,,584240,179837,108829,2461103436,MARAMUREŞ,,,259,"""SCOALA GIMNAZIALA """"ION POPESCU DE COAS"""" COAS""",SCOALA GIMNAZIALA ION POPESCU DE COAS COAS,COAŞ,PRINCIPALA,,
,2462102123,2461101859,,106318,106327,2462102123,MARAMUREŞ,,,65,SCOALA GIMNAZIALA NR. 13 BAIA MARE,SCOALA GIMNAZIALA NR 13 BAIA MARE,BAIA MARE,FIRIZA,,
,2462103115,2461100071,,108035,108062,2462103115,MARAMUREŞ,,,,SCOALA GIMNAZIALA CHECHIS,SCOALA GIMNAZIALA CHECHIS,CHECHIŞ,,,
30016998,2461100849,,584927,109041,109050,2461100849,MARAMUREŞ,,,788,SCOALA GIMNAZIALA FLOREA MURESANU SUCIU DE SUS,SCOALA GIMNAZIALA FLOREA MURESANU SUCIU DE SUS,SUCIU DE SUS,PRINCIPALA,,
22623018,2461200693,,10000003,108348,108357,2461200693,MARAMUREŞ,,,1101,"""GRADINITA """"DAVID"""" MOISEI""",GRADINITA DAVID MOISEI,MOISEI,PRINCIPALA,,
26933968,2461103359,,581066,106979,106988,2461103359,MARAMUREŞ,,,1,GRADINITA CU PROGRAM PRELUNGIT NR. 1 VISEU DE SUS,GRADINITA CU PROGRAM PRELUNGIT NR 1 VISEU DE SUS,VIŞEU DE SUS,LIBERTATII,,
3694934,2461100487,,1181980,106318,106327,2461100487,MARAMUREŞ,,,1,"""COLEGIUL TEHNIC """"C.D. NENITESCU"""" BAIA MARE""",COLEGIUL TEHNIC C D NENITESCU BAIA MARE,BAIA MARE,LUMINISUKUI,,
,2462103038,2461101592,,106407,106434,2462103038,MARAMUREŞ,,,48,SCOALA GIMNAZIALA LAPUSEL,SCOALA GIMNAZIALA LAPUSEL,LĂPUŞEL,UNIRII,,
,2462102046,2461101886,,107733,107859,2462102046,MARAMUREŞ,,,,SCOALA PRIMARA VAD,SCOALA PRIMARA VAD,VAD,,,
32903015,2461100184,,581248,107083,107092,2461100184,MARAMUREŞ,,,282,SCOALA GIMNAZIALA ASUAJU DE SUS,SCOALA GIMNAZIALA ASUAJU DE SUS,ASUAJU DE SUS,PRINCIPALA,,
,2462102747,2461100849,,109041,109087,2462102747,MARAMUREŞ,,,,SCOALA GIMNAZIALA SUCIU DE JOS,SCOALA GIMNAZIALA SUCIU DE JOS,SUCIU DE JOS,,,
,2462101104,2461100053,584501,108963,108972,2462101104,MARAMUREŞ,,,2,SCOALA PRIMARA NR. 1 SEINI,SCOALA PRIMARA NR 1 SEINI,SEINI,N. BALCESCU,,
,2462102105,2461101452,,109354,109407,2462102105,MARAMUREŞ,,,,SCOALA PRIMARA MESTEACAN,SCOALA PRIMARA MESTEACAN,MESTEACĂN,,,
,2462102245,2461100962,,106782,106791,2462102245,MARAMUREŞ,,,2,SCOALA GIMNAZIALA NR. 2 CAVNIC,SCOALA GIMNAZIALA NR 2 CAVNIC,CAVNIC,independentei,,
25493184,2461101633,,584408,108892,108909,2461101633,MARAMUREŞ,,,202,"""SCOALA GIMNAZIALA """"MIHAI EMINESCU"""" SALISTEA DE SUS""",SCOALA GIMNAZIALA MIHAI EMINESCU SALISTEA DE SUS,SĂLIŞTEA DE SUS,LIVIU DORU BINDEA,,
,2462103739,2461103368,,109176,109210,2462103739,MARAMUREŞ,,,,SCOALA PRIMARA CIOLT,SCOALA PRIMARA CIOLT,CIOLT,,,
,2462102218,2461100062,,108268,108302,2462102218,MARAMUREŞ,,,4,SCOALA GIMNAZIALA LUCACESTI,SCOALA GIMNAZIALA LUCACESTI,LUCĂCEŞTI,,,
,2462103196,2461100953,,108366,108375,2462103196,MARAMUREŞ,,,,SCOALA PRIMARA OARTA DE JOS,SCOALA PRIMARA OARTA DE JOS,OARŢA DE JOS,PRINCIPALA,,
26624431,2461101113,,579520,106318,106327,2461101113,MARAMUREŞ,,,2,"""SCOALA GIMNAZIALA """"NICHITA STANESCU"""" BAIA MARE""",SCOALA GIMNAZIALA NICHITA STANESCU BAIA MARE,BAIA MARE,IZA,,
15073612,2461203271,,845723,106318,106327,2461203271,MARAMUREŞ,,,2,"""LICEUL UCECOM """"SPIRU HARET"""" BAIA MARE""",LICEUL UCECOM SPIRU HARET BAIA MARE,BAIA MARE,Garibaldi Giuseppe,,
26642900,2461103377,,995580,106318,106327,2461103377,MARAMUREŞ,,,1,"""SCOALA GIMNAZIALA """"NICOLAE BALCESCU"""" BAIA MARE""",SCOALA GIMNAZIALA NICOLAE BALCESCU BAIA MARE,BAIA MARE,Arenei,,
24897192,2461101497,,582060,107546,107555,2461101497,MARAMUREŞ,,,117,SCOALA GIMNAZIALA CALINESTI,SCOALA GIMNAZIALA CALINESTI,CĂLINEŞTI,CALINESTI,,
,2462102349,2461101497,,107546,107564,2462102349,MARAMUREŞ,,,,SCOALA GIMNAZIALA CORNESTI,SCOALA GIMNAZIALA CORNESTI,CORNEŞTI,,,
3694942,2461100709,,864315,106318,106327,2461100709,MARAMUREŞ,,,45,"""COLEGIUL ECONOMIC """"NICOLAE TITULESCU"""" BAIA MARE""",COLEGIUL ECONOMIC NICOLAE TITULESCU BAIA MARE,BAIA MARE,PROGRESULUI,,
,2462102833,2461100971,,107662,107706,2462102833,MARAMUREŞ,,,,SCOALA GIMNAZIALA ILBA,SCOALA GIMNAZIALA ILBA,ILBA,,,
3627005,2461101149,,584630,106318,106327,2461101149,MARAMUREŞ,,,43,"""COLEGIUL TEHNIC """"ANGHEL SALIGNY"""" BAIA MARE""",COLEGIUL TEHNIC ANGHEL SALIGNY BAIA MARE,BAIA MARE,PROGRESULUI,,
14311236,2461200883,,243039349,106318,106327,2461200883,MARAMUREŞ,,,8,"""LICEUL TEHNOLOGIC """"HENRI COANDA"""" BAIA MARE""",LICEUL TEHNOLOGIC HENRI COANDA BAIA MARE,BAIA MARE,REPUBLICII,,
,2462102168,2461103368,,109176,109185,2462102168,MARAMUREŞ,,,63,GRADINITA CU PROGRAM NORMAL NR. 3 SOMCUTA MARE,GRADINITA CU PROGRAM NORMAL NR 3 SOMCUTA MARE,ŞOMCUŢA MARE,B. BALCESCU,,
,2462100329,2461100686,,106461,106489,2462100329,MARAMUREŞ,,,11,"""SCOALA GIMNAZIALA """"ION SUGARIU"""" BAITA""",SCOALA GIMNAZIALA ION SUGARIU BAITA,BĂIŢA,principala,,
13862032,2471100646,,579427,106318,106327,2471100646,MARAMUREŞ,,,7A,PALATUL COPIILOR BAIA MARE,PALATUL COPIILOR BAIA MARE,BAIA MARE,CULTURII,,
,2462102593,2461101755,,107314,107323,2462102593,MARAMUREŞ,,,,SCOALA GIMNAZIALA NR. 2 BARSANA,SCOALA GIMNAZIALA NR 2 BARSANA,BÂRSANA,PRINCIPALA,,
,2462102815,2461100044,,109005,109032,2462102815,MARAMUREŞ,,,,SCOALA GIMNAZIALA SLATIOARA,SCOALA GIMNAZIALA SLATIOARA,SLĂTIOARA,,,
,2462102331,2461101497,,107546,107573,2462102331,MARAMUREŞ,,,,"""SCOALA GIMNAZIALA """"TIBERIU UTAN"""" VALENI""",SCOALA GIMNAZIALA TIBERIU UTAN VALENI,VĂLENI,,,
