COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
29138517,2561101419,,590926,111550,111569,2561101419,MEHEDINŢI,,,,ȘCOALA GIMNAZIALĂ DÂRVARI,SCOALA GIMNAZIALA DARVARI,DÂRVARI,,
28987514,2561101939,,590495,112879,112888,2561101939,MEHEDINŢI,,,240,"""ŞCOALA GIMNAZIALĂ """"CONSTANTIN TRUŞCĂ"""" PĂTULELE""",SCOALA GIMNAZIALA CONSTANTIN TRUSCA PATULELE,PĂTULELE,ZILELE RECUNOȘTINȚEI,
,2562100169,2561101704,,111097,111177,2562100169,MEHEDINŢI,,,58,SCOALA PRIMARA POIANA,SCOALA PRIMARA POIANA,POIANA,PRINCIPALĂ,
,2562100825,2561101758,589836,110688,110731,2562100825,MEHEDINŢI,,,,ȘCOALA PRIMARĂ PÂRLAGELE,SCOALA PRIMARA PARLAGELE,PÂRLAGELE,,
,2562100965,2561100029,588648,112469,112487,2562100965,MEHEDINŢI,,,,GRĂDINIȚA CU PROGRAM NORMAL BALOTEȘTI,GRADINITA CU PROGRAM NORMAL BALOTESTI,BALOTEŞTI,,
29143343,2561102388,,590184,111916,111925,2561102388,MEHEDINŢI,,,120,ȘCOALA GIMNAZIALĂ GRECI,SCOALA GIMNAZIALA GRECI,GRECI,PRINCIPALĂ,
29283142,2561102004,,590990,113607,113616,2561102004,MEHEDINŢI,,,,ȘCOALA GIMNAZIALĂ SVINIȚA,SCOALA GIMNAZIALA SVINITA,SVINIŢA,,
,2562100305,2561101645,590366,112548,112575,2562100305,MEHEDINŢI,,,,ŞCOALA GIMNAZIALĂ DĂNCEU,SCOALA GIMNAZIALA DANCEU,DĂNCEU,,
,2562102542,2561102126,,109773,109782,2562102542,MEHEDINŢI,,,6,GRĂDINIȚA CU PROGRAM NORMAL NR.25 DROBETA TURNU SEVERIN,GRADINITA CU PROGRAM NORMAL NR 25 DROBETA TURNU SEVERIN,DROBETA-TURNU SEVERIN,Kogălniceanu Mihail,
,2562100323,2561101645,590378,112548,112584,2562100323,MEHEDINŢI,,,,ŞCOALA PRIMARĂ JIANA MARE,SCOALA PRIMARA JIANA MARE,JIANA MARE,,
4337573,2561102144,,779924,109773,109782,2561102144,MEHEDINŢI,,,7,"""COLEGIUL TEHNIC """"DOMNUL TUDOR""""""",COLEGIUL TEHNIC DOMNUL TUDOR,DROBETA-TURNU SEVERIN,I.C.BRATIANU,
28997488,2561102248,,590299,112263,112272,2561102248,MEHEDINŢI,,,294,ȘCOALA GIMNAZIALĂ ILOVĂȚ,SCOALA GIMNAZIALA ILOVAT,ILOVĂŢ,PRINCIPALĂ,
29013149,2561101663,,591281,109773,109782,2561101663,MEHEDINŢI,,,3,GRĂDINIȚA CU PROGRAM PRELUNGIT NR.21 DROBETA TURNU SEVERIN,GRADINITA CU PROGRAM PRELUNGIT NR 21 DROBETA TURNU SEVERIN,DROBETA-TURNU SEVERIN,PETRE SERGESCU,
291695459,2561101817,,590392,112600,112619,2561101817,MEHEDINŢI,,,,ȘCOALA GIMNAZIALĂ LIVEZILE,SCOALA GIMNAZIALA LIVEZILE,LIVEZILE,,
29024547,2561101586,,591176,109773,109782,2561101586,MEHEDINŢI,,,26A,GRĂDINIȚA CU PROGRAM PRELUNGIT NR.7 DROBETA-TR SEVERIN,GRADINITA CU PROGRAM PRELUNGIT NR 7 DROBETA TR SEVERIN,DROBETA-TURNU SEVERIN,SINCAI,
,2562100879,2561101853,589197,113518,113581,2562100879,MEHEDINŢI,,,,ȘCOALA PRIMARĂ SATU MARE,SCOALA PRIMARA SATU MARE,SATU MARE,PRINCIPALĂ,
29013874,2561102515,,590859,109773,109782,2561102515,MEHEDINŢI,,,55,ȘCOALA GIMNAZIALĂ NR.6 DROBETA TURNU SEVERIN,SCOALA GIMNAZIALA NR 6 DROBETA TURNU SEVERIN,DROBETA-TURNU SEVERIN,KISELEFF,
29175191,2561101645,,590342,112548,112557,2561101645,MEHEDINŢI,,,,ŞCOALA GIMNAZIALĂ JIANA,SCOALA GIMNAZIALA JIANA,JIANA,,
29134744,2561102307,,589484,109773,109782,2561102307,MEHEDINŢI,,,5,ȘCOALA GIMNAZIALĂ NR.5 DROBETA TURNU SEVERIN,SCOALA GIMNAZIALA NR 5 DROBETA TURNU SEVERIN,DROBETA-TURNU SEVERIN,VIRCIOROVEI,
29162124,2561102343,,590110,111685,111694,2561102343,MEHEDINŢI,,,89,ȘCOALA GIMNAZIALĂ FLOREȘTI,SCOALA GIMNAZIALA FLORESTI,FLOREŞTI,PRINCIPALĂ,
29156246,2561102221,,589848,110740,110759,2561102221,MEHEDINŢI,,,,ȘCOALA GIMNAZIALĂ BREZNIȚA-MOTRU,SCOALA GIMNAZIALA BREZNITA MOTRU,BREZNIŢA-MOTRU,PRINCIPALA,
,2562101428,2561101871,590512,112904,112931,2562101428,MEHEDINŢI,,,,ȘCOALA PRIMARĂ DUBOVA,SCOALA PRIMARA DUBOVA,DUBOVA,,
,2562102551,2561101396,589874,110820,110848,2562102551,MEHEDINŢI,,,,ȘCOALA GIMNAZIALĂ JIDOȘTIȚA,SCOALA GIMNAZIALA JIDOSTITA,JIDOŞTIŢA,,
