COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
5054842,4081103492,,1146576,179132,179150,4081103492,MUNICIPIUL BUCUREŞTI,,,07.sep,Clubul Sportiv Școlar ”Dinamo”,CLUBUL SPORTIV SCOLAR DINAMO,BUCUREŞTI SECTORUL 2,Ştefan cel Mare,
31312886,4061207222,,,179132,179169,4061207222,MUNICIPIUL BUCUREŞTI,,,26,"""Şcoala Primară """"Castelul Fermecat Olimpia""""""",SCOALA PRIMARA CASTELUL FERMECAT OLIMPIA,BUCUREŞTI SECTORUL 3,Mureşana,
28188509,4061206655,,407877488,179132,179178,4061206655,MUNICIPIUL BUCUREŞTI,,,117,"""Grădiniţa """"Arici Pogonici""""""",GRADINITA ARICI POGONICI,BUCUREŞTI SECTORUL 4,Perşu Aurel,
26113968,4061205663,,234185121,179132,179141,4061205663,MUNICIPIUL BUCUREŞTI,,,40,"""Grădiniţa """"Lui Matei""""""",GRADINITA LUI MATEI,BUCUREŞTI SECTORUL 1,Ionescu-Şiseşti Gheorghe,
10181982,4061207475,,403643982,179132,179169,4061207475,MUNICIPIUL BUCUREŞTI,,,206-208,"""Şcoala Primară """"Sincron""""""",SCOALA PRIMARA SINCRON,BUCUREŞTI SECTORUL 3,calea vitan,
20769387,4061101815,,766800,179132,179141,4061101815,MUNICIPIUL BUCUREŞTI,,,37,Grădiniţa nr. 206,GRADINITA NR 206,BUCUREŞTI SECTORUL 1,"""Dissescu Constantin"," jr."""
10405052,4061204608,,406307149,179132,179169,4061204608,MUNICIPIUL BUCUREŞTI,,,16 BIS,"""Grădiniţa """"Bambi""""""",GRADINITA BAMBI,BUCUREŞTI SECTORUL 3,Teodorescu Gh. Dem.,
4340625,4061100963,,765674,179132,179178,4061100963,MUNICIPIUL BUCUREŞTI,,,31,"""Şcoala Gimnazială Specială """"Sf. Nicolae""""""",SCOALA GIMNAZIALA SPECIALA SF NICOLAE,BUCUREŞTI SECTORUL 4,"""Enache Ion"," sold."""
33323520,4061102653,,768078,179132,179187,4061102653,MUNICIPIUL BUCUREŞTI,,,12,Şcoala Gimnazială nr. 126,SCOALA GIMNAZIALA NR 126,BUCUREŞTI SECTORUL 5,Lereşti,
33143600,4061103247,,2002272,179132,179196,4061103247,MUNICIPIUL BUCUREŞTI,,,137 B,Grădiniţa M.Ap.N. nr. 1,GRADINITA M AP N NR 1,BUCUREŞTI SECTORUL 6,Plevnei,
4695440,4061103256,,964658,179132,179169,4061103256,MUNICIPIUL BUCUREŞTI,,,37,"""Grădinița """"Brândușa""""""",GRADINITA BRANDUSA,BUCUREŞTI SECTORUL 3,Brânduşelor,
,4082106925,4061102766,,179132,179141,4082106925,MUNICIPIUL BUCUREŞTI,,,1,"""CSS - Colegiul Naţional """"Aurel Vlaicu""""""",CSS  COLEGIUL NATIONAL AUREL VLAICU,BUCUREŞTI SECTORUL 1,"""Roth Stephan Ludwig"," ist."""
4316635,4051100438,,765753,179132,179178,4051100438,MUNICIPIUL BUCUREŞTI,,,12,Clubul Copiilor Sector 4,CLUBUL COPIILOR SECTOR 4,BUCUREŞTI SECTORUL 4,Fagetului,
32368575,4061101661,,767787,179132,179178,4061101661,MUNICIPIUL BUCUREŞTI,,,1,"""Şcoala Gimnazială """"Emil Racoviţă""""""",SCOALA GIMNAZIALA EMIL RACOVITA,BUCUREŞTI SECTORUL 4,Racoviţă Emil,
,4082106952,4061100122,,179132,179141,4082106952,MUNICIPIUL BUCUREŞTI,,,10,"""CSS - Colegiul Tehnic Feroviar """"Mihai I""""""",CSS  COLEGIUL TEHNIC FEROVIAR MIHAI I,BUCUREŞTI SECTORUL 1,Butuceni,
33327743,4061103993,,1131648,179132,179187,4061103993,MUNICIPIUL BUCUREŞTI,,,4A,Şcoala Gimnazială nr. 134,SCOALA GIMNAZIALA NR 134,BUCUREŞTI SECTORUL 5,Baciului,
32579882,4061103333,,768664,179132,179169,4061103333,MUNICIPIUL BUCUREŞTI,,,2,Școala Gimnazială nr. 195,SCOALA GIMNAZIALA NR 195,BUCUREŞTI SECTORUL 3,Lunca Bradului,
33687734,4051101023,,765777,179132,179196,4051101023,MUNICIPIUL BUCUREŞTI,,,7,Clubul Copiilor Sector 6,CLUBUL COPIILOR SECTOR 6,BUCUREŞTI SECTORUL 6,BERZEI,
24358279,4061105181,,402080963,179132,179169,4061105181,MUNICIPIUL BUCUREŞTI,,,9,Grădinița nr. 71,GRADINITA NR 71,BUCUREŞTI SECTORUL 3,Fuiorului,
