COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,2662107401,2661105394,,114319,114328,2662107401,MUREŞ,,,1,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"PARADISUL COPILĂRIEI"""" TÎRGU MUREȘ""",GRADINITA CU PROGRAM PRELUNGIT PARADISUL COPILARIEI TIRGU MURES,TÎRGU MUREŞ,PROGRESULUI,
,2662101838,2661104027,,118281,118325,2662101838,MUREŞ,,,80,"""ȘCOALA PRIMARĂ """"IOAN IACOB"""" LĂURENI""",SCOALA PRIMARA IOAN IACOB LAURENI,LĂURENI,PRINCIPALA,
29028255,2661108447,,603199,116395,116420,2661108447,MUREŞ,,,53,ȘCOALA GIMNAZIALĂ ȘEULIA DE MUREȘ,SCOALA GIMNAZIALA SEULIA DE MURES,ŞEULIA DE MUREŞ,PRINCIPALA,
,2662102441,2661105195,,115771,115815,2662102441,MUREŞ,,,17,GRĂDINIȚA CU PROGRAM NORMAL OZD,GRADINITA CU PROGRAM NORMAL OZD,OZD,PRINCIPALĂ,
,2662103098,2661105304,,118575,118628,2662103098,MUREŞ,,,88,GRĂDINIȚA CU PROGRAM NORMAL VAIDEIU,GRADINITA CU PROGRAM NORMAL VAIDEIU,VAIDEIU,PRINCIPALA,
,2662101761,2661105313,,116938,116947,2662101761,MUREŞ,,,293,ȘCOALA PRIMARĂ SEUCA,SCOALA PRIMARA SEUCA,GĂNEŞTI,PRINCIPALA,
,2662107152,2661104615,601074,119723,119732,2662107152,MUREŞ,,,140,GRĂDINIȚA CU PROGRAM NORMAL SUSENI,GRADINITA CU PROGRAM NORMAL SUSENI,SUSENI,PRINCIPALA,
,2662102156,2661108411,,114382,114408,2662102156,MUREŞ,,,149,ȘCOALA GIMNAZIALĂ NAZNA,SCOALA GIMNAZIALA NAZNA,NAZNA,PRINCIPALĂ,
,2662101494,2661103917,,116867,116910,2662101494,MUREŞ,,,41,ȘCOALA PRIMARĂ MAIAD,SCOALA PRIMARA MAIAD,MAIAD,PRINCIPALĂ,
,2662103406,2661103944,,120174,120209,2662103406,MUREŞ,,,8,ȘCOALA PRIMARĂ SĂLAȘURI,SCOALA PRIMARA SALASURI,SĂLAŞURI,VIILOR,
,2662106929,2661103894,,114514,114523,2662106929,MUREŞ,,,45,GRĂDINIȚA CU PROGRAM PRELUNGIT NR.01 SIGHIȘOARA,GRADINITA CU PROGRAM PRELUNGIT NR 01 SIGHISOARA,SIGHIŞOARA,TARNAVEI,
23346373,2661105281,,603371,116652,116661,2661105281,MUREŞ,,,152,"""ȘCOALA GIMNAZIALĂ """"APAFI MIHALY"""" ERNEI""",SCOALA GIMNAZIALA APAFI MIHALY ERNEI,ERNEI,PRINCIPALA,
4578032,2661104859,,605018,118931,118940,2661104859,MUREŞ,,,52,ȘCOALA GIMNAZIALĂ RĂSTOLIȚA,SCOALA GIMNAZIALA RASTOLITA,RĂSTOLIŢA,PRINCIPALA,
,2662100172,2661105245,,116723,116778,2662100172,MUREŞ,,,121,GRĂDINIȚA CU PROGRAM NORMAL POARTA,GRADINITA CU PROGRAM NORMAL POARTA,POARTA,PRINCIPALA,
29028360,2661108239,,605850,120076,120085,2661108239,MUREŞ,,,117,ȘCOALA GIMNAZIALĂ VĂRGATA,SCOALA GIMNAZIALA VARGATA,VĂRGATA,PRINCIPALA,
,2662106133,2661108307,,117042,117104,2662106133,MUREŞ,,,474,ȘCOALA GIMNAZIALĂ TREI SATE,SCOALA GIMNAZIALA TREI SATE,TREI SATE,PRINCIPALĂ,
29034737,2661108162,,791817,114809,114818,2661108162,MUREŞ,,,1,GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4 REGHIN,GRADINITA CU PROGRAM PRELUNGIT NR 4 REGHIN,REGHIN,SALCAMILOR,
,2662101413,2661108162,,114809,114818,2662101413,MUREŞ,,,26,GRĂDINIȚA CU PROGRAM PRELUNGIT NR.3 REGHIN,GRADINITA CU PROGRAM PRELUNGIT NR 3 REGHIN,REGHIN,IERNUTENI,
29029935,2661104321,,602810,115824,115833,2661104321,MUREŞ,,,133,ȘCOALA GIMNAZIALĂ BOGATA,SCOALA GIMNAZIALA BOGATA,BOGATA,PRINCIPALA,
28233383,2661104669,,603254,116493,116509,2661104669,MUREŞ,,,429,"""ȘCOALA GIMNAZIALĂ """"CORNEL REGMAN"""" DANEȘ""",SCOALA GIMNAZIALA CORNEL REGMAN DANES,DANEŞ,CRISULUI,
18160365,2661104434,,605654,119894,119901,2661104434,MUREŞ,,,107,"""ȘCOALA GIMNAZIALĂ """"EMIL DRĂGAN"""" UNGHENI""",SCOALA GIMNAZIALA EMIL DRAGAN UNGHENI,UNGHENI,PRINCIPALA,
,2662107342,2661105073,,115575,115593,2662107342,MUREŞ,,,426,ȘCOALA GIMNAZIALA DELENI,SCOALA GIMNAZIALA DELENI,DELENII,PRINCIPALA,
,2662102382,2661105209,,114854,114863,2662102382,MUREŞ,,,29,GRĂDINIȚA CU PROGRAM PRELUNGIT NR.1 SOVATA,GRADINITA CU PROGRAM PRELUNGIT NR 1 SOVATA,SOVATA,BISERICII,
,2662101354,2661104886,,117319,117346,2662101354,MUREŞ,,,179,ŞCOALA PRIMARĂ CAŞVA,SCOALA PRIMARA CASVA,CAŞVA,PRINCIPALĂ,
4323438,2661108429,,1182154,114319,114328,2661108429,MUREŞ,,,15,"""LICEUL TEORETIC """"GHEORGHE MARINESCU"""" TÎRGU MUREȘ""",LICEUL TEORETIC GHEORGHE MARINESCU TIRGU MURES,TÎRGU MUREŞ,GHEORGHE MARINESCU,
29032655,2661105177,,601995,114603,114612,2661105177,MUREŞ,,,119,ȘCOALA GIMNAZIALĂ ALBEȘTI,SCOALA GIMNAZIALA ALBESTI,ALBEŞTI,LUNGĂ,
4376009,2661104886,,792366,117319,117328,2661104886,MUREŞ,,,4,COLEGIUL SILVIC GURGHIU,COLEGIUL SILVIC GURGHIU,GURGHIU,REPUBLICII,
,2662102943,2661104624,,119974,119983,2662102943,MUREŞ,,,177,GRĂDINIȚA CU PROGRAM NORMAL VALEA LARGĂ,GRADINITA CU PROGRAM NORMAL VALEA LARGA,VALEA LARGĂ,PRINCIPALA,
,2662107672,2661104737,,114514,114550,2662107672,MUREŞ,,,12,ȘCOALA PRIMARĂ RORA,SCOALA PRIMARA RORA,RORA,PRINCIPALA,
,2662107844,2661105299,,116046,116091,2662107844,MUREŞ,,,22,ȘCOALA PRIMARĂ GRINDENI,SCOALA PRIMARA GRINDENI,GRINDENI,PRINCIPALA,
,2662100819,2661105322,,114970,115030,2662100819,MUREŞ,,,93,ȘCOALA GIMNAZIALĂ ROTENI,SCOALA GIMNAZIALA ROTENI,ROTENI,PRINCIPALA,
,2662100778,2661105322,,114970,115067,2662100778,MUREŞ,,,101,ȘCOALA PRIMARĂ VĂLENII,SCOALA PRIMARA VALENII,VĂLENII,PRINCIPALA,
,2662105738,2661104253,,115637,115664,2662105738,MUREŞ,,,395,GRĂDINIȚA CU PROGRAM NORMAL CHENDU NR.2,GRADINITA CU PROGRAM NORMAL CHENDU NR 2,CHENDU,PRINCIPALĂ,
4322300,2671103967,,606359,114319,114328,2671103967,MUREŞ,,,93,PALATUL COPIILOR TÎRGU MUREȘ,PALATUL COPIILOR TIRGU MURES,TÎRGU MUREŞ,01.dec.18,
,2662103356,2661103971,,114417,114426,2662103356,MUREŞ,,,111,"""GRĂDINIȚA CU PROGRAM PRELUNGIT """"BAMBI"""" SÂNGEORGIU DE MUREȘ""",GRADINITA CU PROGRAM PRELUNGIT BAMBI SANGEORGIU DE MURES,SÂNGEORGIU DE MUREŞ,PETKI DAVID,
,2662101535,2661103917,,116867,116929,2662101535,MUREŞ,,,176,GRĂDINIȚA CU PROGRAM NORMAL TROIŢA,GRADINITA CU PROGRAM NORMAL TROITA,TROIŢA,PRINCIPALA,
