COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,2762101081,2761102679,619239,123013,123022,2762101081,NEAMŢ,,,1,"""ȘCOALA GIMNAZIALĂ"," COMUNA ICUŞEŞTI""",SCOALA GIMNAZIALA COMUNA ICUSESTI,ICUŞEŞTI,PRINCIPALĂ,
,2762103409,2761101981,,123371,123406,2762103409,NEAMŢ,,,43,"""ȘCOALA GIMNAZIALĂ NR. 1", SAT RĂDENI," COMUNA PĂSTRĂVENI""",SCOALA GIMNAZIALA NR 1 SAT RADENI COMUNA PASTRAVENI,RĂDENI,PRINCIPALĂ
2614287,2781101747,,1324037,121055,121064,2781101747,NEAMŢ,,,88,"""CLUBUL SPORTIV ȘCOLAR"," ORAȘ TÂRGU NEAMȚ""",CLUBUL SPORTIV SCOLAR ORAS TARGU NEAMT,TÂRGU NEAMŢ,ȘTEFAN CEL MARE,
,2762100813,2761102019,,123521,123549,2762100813,NEAMŢ,,,200,"""ȘCOALA GIMNAZIALĂ NR. 1", SAT BOBOIEŞTI," COMUNA PIPIRIG""",SCOALA GIMNAZIALA NR 1 SAT BOBOIESTI COMUNA PIPIRIG,BOBOIEŞTI,OZANEI
,2762101497,2761102521,613883,120860,120879,2762101497,NEAMŢ,,,183,"""ȘCOALA GIMNAZIALĂ """"CAROL I"""""," MUNICIPIUL ROMAN""",SCOALA GIMNAZIALA CAROL I MUNICIPIUL ROMAN,ROMAN,BOGDAN DRAGOS,
,2762100365,2761100089,,124661,124689,2762100365,NEAMŢ,,,28,"""ȘCOALA GIMNAZIALĂ DUMBRAVA"," COMUNA TIMIȘEȘTI""",SCOALA GIMNAZIALA DUMBRAVA COMUNA TIMISESTI,DUMBRAVA,îNV. ALEXANDRESCU,
17474386,2761102503,,984579,120726,120735,2761102503,NEAMŢ,,,46,"""ȘCOALA GIMNAZIALĂ NR. 11"," MUNICIPIUL PIATRA-NEAMȚ""",SCOALA GIMNAZIALA NR 11 MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,GAVRIIL GALINESCU,
2613290,2761102842,,612968,120726,120735,2761102842,NEAMŢ,,,19,"""COLEGIUL NAȚIONAL """"CALISTRAT HOGAȘ"""""," MUNICIPIUL PIATRA-NEAMȚ""",COLEGIUL NATIONAL CALISTRAT HOGAS MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,ALEXANDRU CEL BUN,
18282664,2761101642,,622597,124563,124572,2761101642,NEAMŢ,,,1,"""ȘCOALA GIMNAZIALĂ """"VASILE MITRU"""""," COMUNA TAȘCA""",SCOALA GIMNAZIALA VASILE MITRU COMUNA TASCA,TAŞCA,ALEXANDRU CEL BUN,
,2762103427,2761102584,,123228,123246,2762103427,NEAMŢ,,,7BIS,"""GRĂDINIȚA CU PROGRAM NORMAL HOCIUNGI"," COMUNA MOLDOVENI""",GRADINITA CU PROGRAM NORMAL HOCIUNGI COMUNA MOLDOVENI,HOCIUNGI,PRINCIPALĂ,
2613923,2761100184,,843012,120860,120879,2761100184,NEAMŢ,,,9,"""COLEGIUL TEHNIC """"DANUBIANA"""""," MUNICIPIUL ROMAN""",COLEGIUL TEHNIC DANUBIANA MUNICIPIUL ROMAN,ROMAN,ENERGIEI,
,2762103273,2761100098,,120824,120833,2762103273,NEAMŢ,,,34,"""GRĂDINIȚA CU PROGRAM PRELUNGIT"," COMUNA SĂVINEȘTI-COLONIE""",GRADINITA CU PROGRAM PRELUNGIT COMUNA SAVINESTI COLONIE,SĂVINEŞTI,str. Dornelor,
17637254,2761102697,,622028,124233,124242,2761102697,NEAMŢ,,,83,"""ȘCOALA GIMNAZIALĂ"," COMUNA SECUIENI""",SCOALA GIMNAZIALA COMUNA SECUIENI,SECUIENI,PRINCIPALĂ,
,2762100695,2761101782,,124885,124910,2762100695,NEAMŢ,,,9,"""ȘCOALA PRIMARĂ GIURGENI"," COMUNA VALEA URSULUI""",SCOALA PRIMARA GIURGENI COMUNA VALEA URSULUI,GIURGENI,PRINCIPALĂ,
17954422,2761102376,,639058,120726,120735,2761102376,NEAMŢ,,,165,"""SEMINARUL TEOLOGIC ORTODOX """"SFINȚII ÎMPARAȚI CONSTANTIN ȘI ELENA"""""," MUNICIPIUL PIATRA-NEAMȚ""",SEMINARUL TEOLOGIC ORTODOX SFINTII IMPARATI CONSTANTIN SI ELENA MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,TRAIAN,
,2762100347,2761101823,623333,124849,124867,2762100347,NEAMŢ,,,,"""ȘCOALA GIMNAZIALĂ INGĂREŞTI"," COMUNA URECHENI""",SCOALA GIMNAZIALA INGARESTI COMUNA URECHENI,INGĂREŞTI,PRINCIPALĂ,
,2762100433,2761102806,,120968,120977,2762100433,NEAMŢ,,,5,"""GRĂDINIȚA CU PROGRAM NORMAL DODENI"," ORAȘ BICAZ""",GRADINITA CU PROGRAM NORMAL DODENI ORAS BICAZ,BICAZ,PĂLTINIŞ,
2613249,2761102471,,1324063,120726,120735,2761102471,NEAMŢ,,,15,"""LICEUL CU PROGRAM SPORTIV"," MUNICIPIUL PIATRA-NEAMȚ""",LICEUL CU PROGRAM SPORTIV MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,DRAGOS VODA,
