COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
25299189,2861101057,,628096,126148,126157,2861101057,OLT,,,143,"""LICEUL TEHNOLOGIC """"ION POPESCU-CILIENI"""" CILIENI""",LICEUL TEHNOLOGIC ION POPESCU CILIENI CILIENI,CILIENI,GENERAL MARCEL OLTEANU,
,2862102664,2861104553,,127983,128043,2862102664,OLT,,,,GRADINITA CU PROGRAM NORMAL TOMENI,GRADINITA CU PROGRAM NORMAL TOMENI,TOMENI,,
,2862103647,2861100739,,125542,125551,2862103647,OLT,,,,"""SCOALA GIMNAZIALA """"DUMITRU BUZDUN"""" CORABIA""",SCOALA GIMNAZIALA DUMITRU BUZDUN CORABIA,CORABIA,,
25330535,2861104467,,629076,128436,128445,2861104467,OLT,,,,SCOALA GIMNAZIALA PRISEACA,SCOALA GIMNAZIALA PRISEACA,PRISEACA,,
,2862104327,2861100499,,128864,128873,2862104327,OLT,,,,GRADINITA CU PROGRAM NORMAL SEACA,GRADINITA CU PROGRAM NORMAL SEACA,SEACA,,
4394684,2861104598,,777691,125347,125356,2861104598,OLT,,,,COLEGIUL TEHNIC METALURGIC SLATINA,COLEGIUL TEHNIC METALURGIC SLATINA,SLATINA,,
25306197,2861100965,,628723,130348,127581,2861100965,OLT,,,,SCOALA GIMNAZIALA IPOTESTI,SCOALA GIMNAZIALA IPOTESTI,IPOTEŞTI,,
25594618,2861101143,,627901,125659,125668,2861101143,OLT,,,107,"""SCOALA GIMNAZIALA """"MIHAI VITEAZUL"""" BABICIU""",SCOALA GIMNAZIALA MIHAI VITEAZUL BABICIU,BĂBICIU,CARACAL,
25299219,2861104517,,628838,127750,127769,2861104517,OLT,,,,SCOALA GIMNAZIALA OBIRSIA,SCOALA GIMNAZIALA OBIRSIA,OBÂRŞIA,,
,2862103796,2861104494,,129629,129638,2862103796,OLT,,,,GRADINITA CU PROGRAM NORMAL URZICA,GRADINITA CU PROGRAM NORMAL URZICA,URZICA,,
,2862102967,2861101333,,127563,127572,2862102967,OLT,,,,GRADINITA CU PROGRAM NORMAL ULMI,GRADINITA CU PROGRAM NORMAL ULMI,ULMI,,
,2862104336,2861100902,,127493,127518,2862104336,OLT,,,,SCOALA GIMNAZIALA BALANESTI,SCOALA GIMNAZIALA BALANESTI,BĂLĂNEŞTI,,
,2862102474,2861100911,,128221,128230,2862102474,OLT,,,,GRADINITA CU PROGRAM NORMAL PLESOIU,GRADINITA CU PROGRAM NORMAL PLESOIU,PLEŞOIU,,
,2862103249,2861104562,,127812,127821,2862103249,OLT,,,,GRADINITA CU PROGRAM NORMAL OBOGA DE JOS,GRADINITA CU PROGRAM NORMAL OBOGA DE JOS,OBOGA,,
,2862101862,2861101197,,125347,125356,2862101862,OLT,,,,GRADINITA CU PROGRAM NORMAL NR.14 SLATINA,GRADINITA CU PROGRAM NORMAL NR 14 SLATINA,SLATINA,,
,2862101785,2861100305,,125999,126013,2862101785,OLT,,,,GRADINITA CU PROGRAM NORMAL TEIUSU,GRADINITA CU PROGRAM NORMAL TEIUSU,TEIUŞU,,
,2862103258,2861100196,,125374,125383,2862103258,OLT,,,,GRADINITA CU PROGRAM NORMAL SLATIOARA,GRADINITA CU PROGRAM NORMAL SLATIOARA,SLĂTIOARA,,
,2862102786,2861100481,,126978,127000,2862102786,OLT,,,,GRADINITA CU PROGRAM NORMAL CIOROIU,GRADINITA CU PROGRAM NORMAL CIOROIU,CIOROIU,,
,2862100775,2861104508,629997,125347,125356,2862100775,OLT,,,,GRADINITA CU PROGRAM NORMAL NR 6 SLATINA,GRADINITA CU PROGRAM NORMAL NR 6 SLATINA,SLATINA,,
25299057,2861100757,,628589,127322,127331,2861100757,OLT,,,,SCOALA GIMNAZIALA ICOANA,SCOALA GIMNAZIALA ICOANA,ICOANA,,
,2862104069,2861104467,,128436,128445,2862104069,OLT,,,,GRADINITA CU PROGRAM NORMAL NR.2 PRISEACA,GRADINITA CU PROGRAM NORMAL NR 2 PRISEACA,PRISEACA,,
25306219,2861101333,,982507,127563,127590,2861101333,OLT,,,,SCOALA GIMNAZIALA MILCOVU DIN DEAL,SCOALA GIMNAZIALA MILCOVU DIN DEAL,MILCOVU DIN DEAL,,
,2862104838,2861100902,,127493,127509,2862104838,OLT,,,,GRADINITA CU PROGRAM NORMAL VIISOARA,GRADINITA CU PROGRAM NORMAL VIISOARA,MĂRUNŢEI,,
25323066,2861100178,,628905,127938,127947,2861100178,OLT,,,,SCOALA GIMNAZIALA ORLEA,SCOALA GIMNAZIALA ORLEA,ORLEA,,
,2862101663,2861100644,,128711,128766,2862101663,OLT,,,,GRADINITA CU PROGRAM NORMAL CONSTANTINESTI,GRADINITA CU PROGRAM NORMAL CONSTANTINESTI,CONSTANTINEŞTI,,
,2862104164,2861100721,,129987,129996,2862104164,OLT,,,,GRADINITA CU PROGRAM NORMAL VILCELE,GRADINITA CU PROGRAM NORMAL VILCELE,VÂLCELE,,
,2862102058,2861101084,,130357,126834,2862102058,OLT,,,,GRADINITA CU PROGRAM NORMAL OSICA DE JOS,GRADINITA CU PROGRAM NORMAL OSICA DE JOS,OSICA DE JOS,,
,2862102316,2861100409,,125347,125356,2862102316,OLT,,,,GRADINITA CU PROGRAM NORMAL NR.1 SLATINA,GRADINITA CU PROGRAM NORMAL NR 1 SLATINA,SLATINA,,
25361175,2861101075,,629375,130320,129219,2861101075,OLT,,,,"""SCOALA GIMNAZIALA """"NEDA MARINESCU"""" GRADINILE""",SCOALA GIMNAZIALA NEDA MARINESCU GRADINILE,GRĂDINILE,,
25523170,2861104535,,628814,130295,127830,2861104535,OLT,,,1,SCOALA GIMNAZIALA CALUI,SCOALA GIMNAZIALA CALUI,CĂLUI,EROILOR,
,2862104318,2861100698,,126825,126898,2862104318,OLT,,,,GRADINITA CU PROGRAM NORMAL ULMET,GRADINITA CU PROGRAM NORMAL ULMET,ULMET,,
,2862102587,2861101012,,126718,126745,2862102587,OLT,,,,GRADINITA CU PROGRAM NORMAL POTOPINU,GRADINITA CU PROGRAM NORMAL POTOPINU,POTOPINU,,
,2862102411,2861100974,,125347,125356,2862102411,OLT,,,2,GRADINITA CU PROGRAM NORMAL NR.11 SLATINA,GRADINITA CU PROGRAM NORMAL NR 11 SLATINA,SLATINA,ARCULUI,
,2862103231,2861104562,,127812,127821,2862103231,OLT,,,,GRADINITA CU PROGRAM NORMAL OBOGA,GRADINITA CU PROGRAM NORMAL OBOGA,OBOGA,,
,2862101505,2861104716,,129111,129120,2862101505,OLT,,,,GRADINITA CU PROGRAM NORMAL STOICANESTI,GRADINITA CU PROGRAM NORMAL STOICANESTI,STOICĂNEŞTI,,
,2862103864,2861101161,,126585,126610,2862103864,OLT,,,,GRADINITA CU PROGRAM NORMAL CIOFLANU,GRADINITA CU PROGRAM NORMAL CIOFLANU,CIOFLANU,,
25306170,2861100196,,627872,125374,125383,2861100196,OLT,,,,SCOALA GIMNAZIALA SLATIOARA,SCOALA GIMNAZIALA SLATIOARA,SLĂTIOARA,,
,2862101595,2861100092,,129040,129059,2862101595,OLT,,,,SCOALA PRIMARA SPRINCENATA SAT,SCOALA PRIMARA SPRINCENATA SAT,SPRÂNCENATA,,
,2862104101,2861101039,,127689,127698,2862104101,OLT,,,,GRADINITA CU PROGRAM NORMAL MOVILENI,GRADINITA CU PROGRAM NORMAL MOVILENI,MOVILENI,,
4394757,2861100992,,629765,125418,125427,2861100992,OLT,,,1,SCOALA GIMAZIALA SPECIALA BALS,SCOALA GIMAZIALA SPECIALA BALS,BALŞ,PLOPULUI,
,2862101713,2861100282,,127064,127082,2862101713,OLT,,,,SCOALA GIMNAZIALA DRANOVATU,SCOALA GIMNAZIALA DRANOVATU,DRANOVĂŢU,,
,2862102334,2861104734,,129460,129488,2862102334,OLT,,,,GRADINITA CU PROGRAM NORMAL DOANCA,GRADINITA CU PROGRAM NORMAL DOANCA,DOANCA,,
,2862102628,2861104449,,128711,128757,2862102628,OLT,,,,GRADINITA CU PROGRAM NORMAL CHITEASCA,GRADINITA CU PROGRAM NORMAL CHITEASCA,CHIŢEASCA,,
,2862102153,2861100852,,130231,130268,2862102153,OLT,,,,GRADINITA CU PROGRAM NORMAL VALEA LUI ALB,GRADINITA CU PROGRAM NORMAL VALEA LUI ALB,VALEA LUI ALB,,
4491130,2861100585,,844432,125472,125481,2861100585,OLT,,,104,"""COLEGIUL AGRICOL """"DIMITRIE PETRESCU"""" CARACAL""",COLEGIUL AGRICOL DIMITRIE PETRESCU CARACAL,CARACAL,VASILE ALECSANDRI,
25554397,2861100499,,629246,128864,128873,2861100499,OLT,,,,SCOALA GIMNAZIALA SEACA,SCOALA GIMNAZIALA SEACA,SEACA,,
25306251,2861104734,,633704,129460,129479,2861104734,OLT,,,,"""SCOALA GIMNAZIALA """"LEONIDA MARINEANU"""" TIA MARE""",SCOALA GIMNAZIALA LEONIDA MARINEANU TIA MARE,TIA MARE,,
