COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,2962104918,2961101666,640850,131069,131087,2962104918,PRAHOVA,,,32A,"""GRĂDINIȚA CU PROGRAM NORMAL SECIU"," ORAȘUL BOLDEȘTI-SCĂENI""",GRADINITA CU PROGRAM NORMAL SECIU ORASUL BOLDESTI SCAENI,SECIU,PRINCIPALĂ,
29165406,2961101951,,641206,131443,131452,2961101951,PRAHOVA,,,20C,"""GRĂDINIȚA CU PROGRAM NORMAL ȘI PROGRAM PRELUNGIT """"FRUNZA DE STEJAR"""""," ORAȘUL PLOPENI""",GRADINITA CU PROGRAM NORMAL SI PROGRAM PRELUNGIT FRUNZA DE STEJAR ORASUL PLOPENI,PLOPENI,REPUBLICII,
14374579,2961102708,,640317,130534,130543,2961102708,PRAHOVA,,,46,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 23"," MUNICIPIUL PLOIEȘTI""",GRADINITA CU PROGRAM PRELUNGIT NR 23 MUNICIPIUL PLOIESTI,PLOIEŞTI,RÂȘNOVENILOR,
,2962106029,2961100181,642846,135020,135075,2962106029,PRAHOVA,,,85,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT GOGA," COMUNA RÎFOV""",GRADINITA CU PROGRAM NORMAL SAT GOGA COMUNA RIFOV,GOGA,PRINCIPALA
29144683,2961107084,,636809,131620,131639,2961107084,PRAHOVA,,,1,"""ȘCOALA GIMNAZIALĂ """"CANUȚĂ IONESCU"""""," ORAȘUL URLAȚI""",SCOALA GIMNAZIALA CANUTA IONESCU ORASUL URLATI,URLAŢI,VIITOR,
29168607,2961107012,,635738,130534,130543,2961107012,PRAHOVA,,,3,"""ȘCOALA GIMNAZIALĂ """"RAREȘ VODĂ"""""," MUNICIPIUL PLOIEȘTI""",SCOALA GIMNAZIALA RARES VODA MUNICIPIUL PLOIESTI,PLOIEŞTI,VORNICUL BOLDUR,
29070594,2961100362,,639461,136278,135333,2961100362,PRAHOVA,,,93,"""ȘCOALA GIMNAZIALĂ"," COMUNA BĂTRÎNI""",SCOALA GIMNAZIALA COMUNA BATRINI,BĂTRÂNI,PRINCIPALĂ,
,2962103695,2961102925,638663,134096,134121,2962103695,PRAHOVA,,,50,"""ȘCOALA PRIMARĂ NR. 2", SAT CHICIURENI," COMUNA MĂNECIU""",SCOALA PRIMARA NR 2 SAT CHICIURENI COMUNA MANECIU,CHICIURENI,PRINCIPALA
29128262,2961101544,,636184,130847,130856,2961101544,PRAHOVA,,,116,"""ȘCOALA GIMNAZIALĂ """"TOMA T. SOCOLESCU"""""," COMUNA PĂULEȘTI""",SCOALA GIMNAZIALA TOMA T SOCOLESCU COMUNA PAULESTI,PĂULEŞTI,PRINCIPALĂ,
,2962100891,2961101829,639071,134755,134835,2962100891,PRAHOVA,,,57,"""ȘCOALA GIMNAZIALĂ", SAT VITIOARA DE SUS," COMUNA PREDEAL SĂRARI""",SCOALA GIMNAZIALA SAT VITIOARA DE SUS COMUNA PREDEAL SARARI,VITIOARA DE SUS,PRINCIPALĂ
29168941,2961102934,,635714,130534,130543,2961102934,PRAHOVA,,,25,"""ȘCOALA GIMNAZIALĂ """"CANDIANO POPESCU"""""," MUNICIPIUL PLOIEȘTI""",SCOALA GIMNAZIALA CANDIANO POPESCU MUNICIPIUL PLOIESTI,PLOIEŞTI,Nucilor,
29038860,2961107039,,642080,133161,133170,2961107039,PRAHOVA,,,635,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2"," COMUNA FILIPEȘTII DE PĂDURE""",GRADINITA CU PROGRAM PRELUNGIT NR 2 COMUNA FILIPESTII DE PADURE,FILIPEŞTII DE PĂDURE,GĂRII,
2843965,2961100136,,636940,131835,131844,2961100136,PRAHOVA,,,197,"""ȘCOALA GIMNAZIALĂ"," COMUNA GURA VITIOAREI""",SCOALA GIMNAZIALA COMUNA GURA VITIOAREI,GURA VITIOAREI,PRINCIPALĂ,
,2962106929,2961107428,967703,135547,135565,2962106929,PRAHOVA,,,166,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT LUNCA MARE," COMUNA ȘOTRILE""",GRADINITA CU PROGRAM NORMAL SAT LUNCA MARE COMUNA SOTRILE,LUNCA MARE,PRINCIPALĂ
,2962105964,2961100127,2903907,133795,133811,2962105964,PRAHOVA,,,40A,"""ȘCOALA PRIMARĂ", SAT CERNEȘTI," COMUNA IZVOARELE""",SCOALA PRIMARA SAT CERNESTI COMUNA IZVOARELE,CERNEŞTI,CERNEȘTI
,2962101399,2961101838,642200,133330,133385,2962101399,PRAHOVA,,,404,"""GRĂDINIȚA CU PROGRAM NORMAL", SAT NOVĂCEȘTI," COMUNA FLOREȘTI""",GRADINITA CU PROGRAM NORMAL SAT NOVACESTI COMUNA FLORESTI,NOVĂCEŞTI,PRINCIPALĂ
,2962101069,2961100204,643072,135725,135734,2962101069,PRAHOVA,,,160,"""GRĂDINIȚA CU PROGRAM NORMAL"," COMUNA TEIȘANI""",GRADINITA CU PROGRAM NORMAL COMUNA TEISANI,TEIŞANI,PRINCIPALĂ,
,2962103831,2961107265,640329,130534,130543,2962103831,PRAHOVA,,,12,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 24"," MUNICIPIUL PLOIEȘTI""",GRADINITA CU PROGRAM NORMAL NR 24 MUNICIPIUL PLOIESTI,PLOIEŞTI,Radu de la Afumaţi,
,2962105783,2961102468,639198,134942,134960,2962105783,PRAHOVA,,,333,"""ȘCOALA PRIMARĂ", SAT MIROSLAVEȘTI," COMUNA PUCHENII MARI""",SCOALA PRIMARA SAT MIROSLAVESTI COMUNA PUCHENII MARI,MIROSLĂVEŞTI,MIROSLĂVEȘTI
29170984,2961101716,,635855,130534,130543,2961101716,PRAHOVA,,,19,"""ȘCOALA GIMNAZIALĂ """"SFÂNTA VINERI"""""," MUNICIPIUL PLOIEȘTI""",SCOALA GIMNAZIALA SFANTA VINERI MUNICIPIUL PLOIESTI,PLOIEŞTI,POȘTEI,
2844405,2961102405,,973001,131210,131229,2961102405,PRAHOVA,,,1,"""COLEGIUL """"ION KALINDERU"""""," ORAȘUL BUȘTENI""",COLEGIUL ION KALINDERU ORASUL BUSTENI,BUŞTENI,ALPINIȘTILOR,
,2962104434,2961101526,642535,136241,134247,2962104434,PRAHOVA,,,211,"""GRĂDINIȚA CU PROGRAM NORMAL"," COMUNA COCORĂȘTII COLȚ""",GRADINITA CU PROGRAM NORMAL COMUNA COCORASTII COLT,COCORĂŞTII COLŢ,PRINCIPALĂ,
29006346,2961102545,,637114,132075,132084,2961102545,PRAHOVA,,,96,"""ȘCOALA GIMNAZIALĂ"," COMUNA ARICEȘTII RAHTIVANI""",SCOALA GIMNAZIALA COMUNA ARICESTII RAHTIVANI,ARICEŞTII RAHTIVANI,ARICEȘTII-RAHTIVANI,
