COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,3162102808,3161100792,,142373,142408,3162102808,SĂLAJ,,,65,GRĂDINIȚA CU PROGRAM NORMAL GOSTILA,GRADINITA CU PROGRAM NORMAL GOSTILA,GOSTILA,Principală,
,3162100218,3161100738,,141535,141562,3162100218,SĂLAJ,,,495,ȘCOALA GIMNAZIALĂ STÎRCIU,SCOALA GIMNAZIALA STIRCIU,STÂRCIU,Principală,
,3162101481,3161104448,,141580,141599,3162101481,SĂLAJ,,,6,GRĂDINIȚA CU PROGRAM NORMAL ILEANDA,GRADINITA CU PROGRAM NORMAL ILEANDA,ILEANDA,Avram Iancu,
,3162102505,3161104389,,140379,140397,3162102505,SĂLAJ,,,68,GRĂDINIȚA CU PROGRAM NORMAL BODIA,GRADINITA CU PROGRAM NORMAL BODIA,BODIA,Principală,
33768650,3161100973,,661608,140084,140093,3161100973,SĂLAJ,,,265,ȘCOALA GIMNAZIALĂ NR.1 BĂBENI,SCOALA GIMNAZIALA NR 1 BABENI,BĂBENI,PRINCIPALĂ,
21643521,3161100521,,661763,140280,140299,3161100521,SĂLAJ,,,81A,"""ȘCOALA GIMNAZIALĂ """"GHEORGHE ȘINCAI"""" BOBOTA""",SCOALA GIMNAZIALA GHEORGHE SINCAI BOBOTA,BOBOTA,Principală,
,3162101427,3161100937,,141447,141492,3162101427,SĂLAJ,,,45,ȘCOALA PRIMARĂ RACÎȘ,SCOALA PRIMARA RACIS,RACÂŞ,Principală,
,3162104145,3161104466,,139740,139786,3162104145,SĂLAJ,,,129,ȘCOALA PRIMARĂ NADIȘ,SCOALA PRIMARA NADIS,NADIŞ,Principală,
,3162101436,3161100937,,141447,141526,3162101436,SĂLAJ,,,76,GRĂDINIȚA CU PROGRAM NORMAL TRESTIA,GRADINITA CU PROGRAM NORMAL TRESTIA,TRESTIA,Pincipală,
,3162103691,3161100349,,140583,140618,3162103691,SĂLAJ,,,239,ȘCOALA PRIMARĂ CHILIOARA,SCOALA PRIMARA CHILIOARA,CHILIOARA,Principală,
,3162102012,3161104362,,142881,142907,3162102012,SĂLAJ,,,64,"""ȘCOALA PRIMARĂ """"ILASVAI SELYMES PETER"""" ILIȘUA""",SCOALA PRIMARA ILASVAI SELYMES PETER ILISUA,ILIŞUA,Principală,
4494799,3161100747,,1315440,139704,139713,3161100747,SĂLAJ,,,15A,"""LICEUL PEDAGOGIC """"GHEORGHE ȘINCAI"""" ZALĂU""",LICEUL PEDAGOGIC GHEORGHE SINCAI ZALAU,ZALĂU,Crişan,
4494950,3161100679,,664519,139811,139820,3161100679,SĂLAJ,,,3,"""LICEUL TEHNOLOGIC """"OCTAVIAN GOGA"""" JIBOU""",LICEUL TEHNOLOGIC OCTAVIAN GOGA JIBOU,JIBOU,WESSELENYI,
4566550,3161101029,,664375,139704,139713,3161101029,SĂLAJ,,,3,"""ȘCOALA GIMNAZIALĂ """"SIMION BĂRNUȚIU"""" ZALĂU""",SCOALA GIMNAZIALA SIMION BARNUTIU ZALAU,ZALĂU,Mihai Viteazul,
,3162103058,3161100114,,141232,141296,3162103058,SĂLAJ,,,68,ȘCOALA PRIMARĂ POPTELEAC,SCOALA PRIMARA POPTELEAC,POPTELEAC,Principală,
11132791,3161100082,,3085623,139704,139713,3161100082,SĂLAJ,,,15A,"""LICEUL ORTODOX """"SF.NICOLAE"""" ZALĂU""",LICEUL ORTODOX SF NICOLAE ZALAU,ZALĂU,CRIȘAN,
,3162102401,3161100661,,141081,141116,3162102401,SĂLAJ,,,33,ȘCOALA PRIMARĂ FILDU DE SUS,SCOALA PRIMARA FILDU DE SUS,FILDU DE SUS,Principală,
,3162103732,3161100625,,142079,142097,3162103732,SĂLAJ,,,163 B,GRĂDINIȚA CU PROGRAM NORMAL AGHIREȘ,GRADINITA CU PROGRAM NORMAL AGHIRES,AGHIREŞ,Principală,
18900838,3161100806,,663412,142177,142186,3161100806,SĂLAJ,,,369,"""ȘCOALA GIMNAZIALĂ """"TRAIAN CREȚU"""" NĂPRADEA""",SCOALA GIMNAZIALA TRAIAN CRETU NAPRADEA,NĂPRADEA,Principală,
,3162103836,3161100806,,142177,142211,3162103836,SĂLAJ,,,134,GRĂDINIȚA CU PROGRAM NORMAL TRANIȘ,GRADINITA CU PROGRAM NORMAL TRANIS,TRANIŞ,Principală,
,3162102871,3161100566,,140324,140360,3162102871,SĂLAJ,,,29,GRĂDINIȚA CU PROGRAM NORMAL SĂLĂJENI,GRADINITA CU PROGRAM NORMAL SALAJENI,SĂLĂJENI,Gării,
,3162102075,3161104362,,142881,142916,3162102075,SĂLAJ,,,51,"""ȘCOALA GIMNAZIALĂ """"ADY ENDRE"""" LOMPIRT""",SCOALA GIMNAZIALA ADY ENDRE LOMPIRT,LOMPIRT,Principală,
