COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
3897327,3061102651,,99386,136483,136492,3061102651,SATU MARE,,,1,"""COLEGIUL TEHNIC DE TRANSPORTURI ȘI TELECOMUNICAȚII """"ION I. C. BRĂTIANU"""" SATU MARE""",COLEGIUL TEHNIC DE TRANSPORTURI SI TELECOMUNICATII ION I C BRATIANU SATU MARE,SATU MARE,VASILE LUCACIU,
,3062100527,3061101424,,136768,136786,3062100527,SATU MARE,,,201,ȘCOALA PRIMARĂ DINDEȘTI,SCOALA PRIMARA DINDESTI,DINDEŞTI,SCOLII,
4038903,3061101686,,978477,136483,136492,3061101686,SATU MARE,,,4,GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13 SATU MARE,GRADINITA CU PROGRAM PRELUNGIT NR 13 SATU MARE,SATU MARE,MILCOV,
,3042100603,3041101477,,136483,136492,3042100603,SATU MARE,,,6,CENTRUL JUDEȚEAN DE ASISTENȚĂ PSIHOPEDAGOGICĂ SATU MARE,CENTRUL JUDETEAN DE ASISTENTA PSIHOPEDAGOGICA SATU MARE,SATU MARE,01.dec.18,
17322809,3061102461,,1244225,136483,136492,3061102461,SATU MARE,,,64,"""ȘCOALA GIMNAZIALĂ """"DR. VASILE LUCACIU"""" SATU MARE""",SCOALA GIMNAZIALA DR VASILE LUCACIU SATU MARE,SATU MARE,RODNEI,
17344173,3061102511,,1182362,136483,136492,3061102511,SATU MARE,,,1,ȘCOALA POSTLICEALĂ SANITARĂ SATU MARE,SCOALA POSTLICEALA SANITARA SATU MARE,SATU MARE,PACIICRISAN,
17286820,3061101591,,6640814,136483,136492,3061101591,SATU MARE,,,2,"""LICEUL TEOLOGIC ROMANO-CATOLIC """"HAM JANOS"""" SATU MARE""",LICEUL TEOLOGIC ROMANO CATOLIC HAM JANOS SATU MARE,SATU MARE,01.dec.18,
17344106,3061100102,,655025,136483,136492,3061100102,SATU MARE,,,2,"""ȘCOALA GIMNAZIALĂ """"BĂLCESCU-PETOFI"""" SATU MARE""",SCOALA GIMNAZIALA BALCESCU PETOFI SATU MARE,SATU MARE,TROTUSULUI,
,3062100269,3061101917,,138208,138271,3062100269,SATU MARE,,,,ȘCOALA PRIMARĂ SÂNMICLĂUȘ,SCOALA PRIMARA SANMICLAUS,SÂNMICLĂUŞ,PRINCIPALA,
,3062100848,3061102529,,136848,136875,3062100848,SATU MARE,,,34,GRĂDINIȚA CU PROGRAM NORMAL BABA NOVAC,GRADINITA CU PROGRAM NORMAL BABA NOVAC,BABA NOVAC,PRINCIPALĂ,
3897475,3061102633,,655221,136483,136492,3061102633,SATU MARE,,,2,"""COLEGIUL NATIONAL """"KOLCSEY FERENC"""" SATU MARE""",COLEGIUL NATIONAL KOLCSEY FERENC SATU MARE,SATU MARE,PACII,
,3062102918,3061101564,,139394,139438,3062102918,SATU MARE,,,,ȘCOALA PRIMARĂ TĂTĂRESTI,SCOALA PRIMARA TATARESTI,TĂTĂREŞTI,PRINCIPALA,
17344300,3061100129,,1006544,136599,136606,3061100129,SATU MARE,,,1,GRĂDINIȚA CU PROGRAM PRELUNGIT NR.7 NEGREȘTI-OAȘ,GRADINITA CU PROGRAM PRELUNGIT NR 7 NEGRESTI OAS,NEGREŞTI-OAŞ,VILTORII,
