COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,3362101736,3361108119,,148097,148104,3362101736,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL DOLHESTII MARI,GRADINITA CU PROGRAM NORMAL DOLHESTII MARI,DOLHEŞTII-MARI,,
,3362101225,3361103227,,149753,149762,3362101225,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL PALTINOASA,GRADINITA CU PROGRAM NORMAL PALTINOASA,PĂLTINOASA,,
,3362102556,3361102841,,146860,146879,3362102556,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NR. 2 ARBORE,GRADINITA CU PROGRAM NORMAL NR 2 ARBORE,ARBORE,,
4244865,3321100095,,682614,146263,146272,3321100095,SUCEAVA,,,15,INSPECTORATUL ȘCOLAR JUDEȚEAN SUCEAVA,INSPECTORATUL SCOLAR JUDETEAN SUCEAVA,SUCEAVA,Calea Unirii,
,3362107597,3361104083,,147134,147152,3362107597,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL CUMPARATURA,GRADINITA CU PROGRAM NORMAL CUMPARATURA,CUMPĂRĂTURA,,
14503541,3361102719,,6892522,146628,146637,3361102719,SUCEAVA,,,227,"""SCOALA GIMNAZIALA SPECIALA """"SF. STELIAN"""" RADAUTI""",SCOALA GIMNAZIALA SPECIALA SF STELIAN RADAUTI,RĂDĂUŢI,PUTNEI,
14094536,3361103001,,690099,150196,150203,3361103001,SUCEAVA,,,,SCOALA GIMNAZIALA SATU MARE,SCOALA GIMNAZIALA SATU MARE,SATU MARE,,
,3362104481,3361103955,,149049,149076,3362104481,SUCEAVA,,,,SCOALA PRIMARA NR. 1 BRADATEL,SCOALA PRIMARA NR 1 BRADATEL,BRĂDĂŢEL,,
,3362100907,3361107932,,150294,150301,3362100907,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NR. 3 STRAJA,GRADINITA CU PROGRAM NORMAL NR 3 STRAJA,STRAJA,,
,3362101763,3361108119,,148097,148122,3362101763,SUCEAVA,,,,SCOALA PRIMARA VALEA BOUREI,SCOALA PRIMARA VALEA BOUREI,VALEA BOUREI,,
,3362107163,3361102669,,149370,149389,3362107163,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL MANASTIREA HUMORULUI,GRADINITA CU PROGRAM NORMAL MANASTIREA HUMORULUI,MĂNĂSTIREA HUMORULUI,,
18283678,3361104065,,336765872,148612,148630,3361104065,SUCEAVA,,,,SCOALA GIMNAZIALA BUCSOAIA,SCOALA GIMNAZIALA BUCSOAIA,BUCŞOAIA,,
,3362105505,3361107905,,151077,151086,3362105505,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NR. 1 VICOVU DE JOS,GRADINITA CU PROGRAM NORMAL NR 1 VICOVU DE JOS,VICOVU DE JOS,,
,3362102081,3361103765,,148765,148818,3362102081,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL COLACU,GRADINITA CU PROGRAM NORMAL COLACU,COLACU,,
10282235,3331100105,,1132288,146263,146272,3331100105,SUCEAVA,,,10,"""CASA CORPULUI DIDACTIC """"GEORGE TOFAN"""" SUCEAVA""",CASA CORPULUI DIDACTIC GEORGE TOFAN SUCEAVA,SUCEAVA,ALEEA NUCULUI,
,3362106483,3361104196,,146931,146940,3362106483,SUCEAVA,,,,SCOALA GIMNAZIALA BADEUTI,SCOALA GIMNAZIALA BADEUTI,BĂDEUŢI,,
,3362106361,3361103937,,149682,149717,3362106361,SUCEAVA,,,,SCOALA PRIMARA COVERCA,SCOALA PRIMARA COVERCA,COVERCA,,
,3362106646,3361102633,,149584,149593,3362106646,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL BAINET,GRADINITA CU PROGRAM NORMAL BAINET,BAINEŢ,,
14061474,3351103882,,6949117,146502,146511,3351103882,SUCEAVA,,,8,CLUBUL COPIILOR CAMPULUNG MOLDOVENESC,CLUBUL COPIILOR CAMPULUNG MOLDOVENESC,CÂMPULUNG MOLDOVENESC,I. HALAUCEANU,
,3362100934,3361100206,,150258,150285,3362100934,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL HERLA,GRADINITA CU PROGRAM NORMAL HERLA,HERLA,,
,3362104522,3361103955,,149049,149085,3362104522,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL MIHAIESTI,GRADINITA CU PROGRAM NORMAL MIHAIESTI,MIHĂIEŞTI,,
16093820,3361102841,,330687028,146860,146879,3361102841,SUCEAVA,,,687,"""SCOALA GIMNAZIALA """"LUCA ARBURE"""" ARBORE""",SCOALA GIMNAZIALA LUCA ARBURE ARBORE,ARBORE,,
28413031,3361208379,,2351685,146263,146272,3361208379,SUCEAVA,,,148,GRĂDINIȚA CU PROGRAM PRELUNGIT ”TRIKI RIKI” SUCEAVA,GRADINITA CU PROGRAM PRELUNGIT TRIKI RIKI SUCEAVA,SUCEAVA,Calea Burdujeni,
,3362104902,3361108205,,150702,150757,3362104902,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NISIPITU,GRADINITA CU PROGRAM NORMAL NISIPITU,NISIPITU,,
,3362106569,3361107923,,149227,149254,3362106569,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL ROSCANI,GRADINITA CU PROGRAM NORMAL ROSCANI,ROŞCANI,,
18238065,3361108295,,6947418,146263,146272,3361108295,SUCEAVA,,,4A,SCOALA GIMNAZIALA NR. 10 SUCEAVA,SCOALA GIMNAZIALA NR 10 SUCEAVA,SUCEAVA,Baladei,
,3362102538,3361102841,,146860,146879,3362102538,SUCEAVA,,,,SCOALA GIMNAZIALA NR. 2 ARBORE,SCOALA GIMNAZIALA NR 2 ARBORE,ARBORE,,
,3362106628,3361102823,,147241,147303,3362106628,SUCEAVA,,,,SCOALA GIMNAZIALA FALCAU,SCOALA GIMNAZIALA FALCAU,FALCĂU,,
18252370,3361102868,,1016393,146628,146637,3361102868,SUCEAVA,,,37,"""GRADINITA CU PROGRAM PRELUNGIT """"PRICHINDELUL"""" RADAUTI""",GRADINITA CU PROGRAM PRELUNGIT PRICHINDELUL RADAUTI,RĂDĂUŢI,GEN IACOB ZADIK,
14162851,3361100278,,691445,147072,147081,3361100278,SUCEAVA,,,,"""SCOALA GIMNAZIALA """"VASILE TOMEGEA"""" BOROAIA""",SCOALA GIMNAZIALA VASILE TOMEGEA BOROAIA,BOROAIA,,
,3362104843,3361104029,,146370,146398,3362104843,SUCEAVA,,,,SCOALA PRIMARA ”DIACONU CONSTANTIN” MERENI,SCOALA PRIMARA DIACONU CONSTANTIN MERENI,MERENI,,
14079609,3361107923,,691483,149227,149236,3361107923,SUCEAVA,,,2,"""LICEUL TEHNOLOGIC """"IORGU VIRNAV LITEANU"""" LITENI""",LICEUL TEHNOLOGIC IORGU VIRNAV LITEANU LITENI,LITENI,MIHAIL SADOVEANU,
14117583,3361102737,,336765834,147937,147946,3361102737,SUCEAVA,,,FN,SCOALA GIMNAZIALA MARITEI,SCOALA GIMNAZIALA MARITEI,MĂRIŢEI,PRINCIPALA,
14173095,3361108033,,336765731,146904,146913,3361108033,SUCEAVA,,,,"""SCOALA GIMNAZIALA """"NICOLAE STOLERU"""" BAIA""",SCOALA GIMNAZIALA NICOLAE STOLERU BAIA,BAIA,,
,3362101745,3361108119,,148097,148113,3362101745,SUCEAVA,,,,SCOALA GIMNAZIALA DOLHESTII MICI,SCOALA GIMNAZIALA DOLHESTII MICI,DOLHEŞTII MICI,,
,3362106316,3361103634,,151120,151139,3362106316,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL VOLOVAT,GRADINITA CU PROGRAM NORMAL VOLOVAT,VOLOVĂŢ,,
,3362105767,3361108309,,148729,148747,3362105767,SUCEAVA,,,,SCOALA PRIMARA DEIA,SCOALA PRIMARA DEIA,DEIA,,
,3362105523,3361103313,687559,147358,147376,3362105523,SUCEAVA,,,,SCOALA PRIMARA COTARGASI,SCOALA PRIMARA COTARGASI,COTÂRGAŞI,,
,3362101139,3361103141,,149968,149977,3362101139,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NR. 1 PREUTESTI,GRADINITA CU PROGRAM NORMAL NR 1 PREUTESTI,PREUTEŞTI,,
16037847,3361103367,,690312,150445,150454,3361103367,SUCEAVA,,,,SCOALA GIMNAZIALA NEAGRA SARULUI,SCOALA GIMNAZIALA NEAGRA SARULUI,NEAGRA ŞARULUI,,
,3362104721,3361103498,,150310,150347,3362104721,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL ZAHARESTI,GRADINITA CU PROGRAM NORMAL ZAHARESTI,ZAHAREŞTI,,
,3362107389,3361107968,,146502,146511,3362107389,SUCEAVA,,,206,GRADINITA CU PROGRAM NORMAL NR. 2 CAMPULUNG MOLDOVENESC,GRADINITA CU PROGRAM NORMAL NR 2 CAMPULUNG MOLDOVENESC,CÂMPULUNG MOLDOVENESC,CALEA BUCOVINEI,
,3362106705,3361103973,,151549,150016,3362106705,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL NR. 2 HARTOP,GRADINITA CU PROGRAM NORMAL NR 2 HARTOP,HÂRTOP,,
,3362105093,3361103001,,150196,150203,3362105093,SUCEAVA,,,,GRADINITA CU PROGRAM NORMAL SATU MARE,GRADINITA CU PROGRAM NORMAL SATU MARE,SATU MARE,,
17637270,3361103824,,688278,151576,148346,3361103824,SUCEAVA,,,,SCOALA GIMNAZIALA BERCHISESTI,SCOALA GIMNAZIALA BERCHISESTI,BERCHIŞEŞTI,,
4244857,3361200032,,437899,146263,146272,3361200032,SUCEAVA,,,48,"""SCOALA POSTLICEALA SANITARA """"CHRISTIANA"""" SUCEAVA""",SCOALA POSTLICEALA SANITARA CHRISTIANA SUCEAVA,SUCEAVA,UNIVERSITATII,
