COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
4568039,3461100091,,832178,151790,151807,3461100091,TELEORMAN,,,69,"""LICEUL TEHNOLOGIC """"NICOLAE BĂLCESCU"""" ALEXANDRIA""",LICEUL TEHNOLOGIC NICOLAE BALCESCU ALEXANDRIA,ALEXANDRIA,LIBERTĂȚII,,
,3462101888,3461101246,,154852,154898,3462101888,TELEORMAN,,,,GRĂDINIȚA CU PROGRAM NORMAL NR. 2 DULCEANCA,GRADINITA CU PROGRAM NORMAL NR 2 DULCEANCA,DULCEANCA,,,
,3462102871,3461101332,,153696,153730,3462102871,TELEORMAN,,,121,GRĂDINIȚA CU PROGRAM NORMAL NR. 4 CĂTUNU,GRADINITA CU PROGRAM NORMAL NR 4 CATUNU,CĂTUNU,ȘOS. PITEȘTI,,
,3462103474,3461103637,,152350,152396,3462103474,TELEORMAN,,,,GRĂDINIȚA CU PROGRAM NORMAL NR. 3 LICURICIU,GRADINITA CU PROGRAM NORMAL NR 3 LICURICIU,LICURICIU,,,
,3462101757,3461100209,,154068,154077,3462101757,TELEORMAN,,,,GRĂDINIȚA CU PROGRAM NORMAL NR. 1 SCURTU MARE,GRADINITA CU PROGRAM NORMAL NR 1 SCURTU MARE,SCURTU MARE,,,
,3462102256,3461100123,,154184,154200,3462102256,TELEORMAN,,,,GRĂDINIȚA CU PROGRAM NORMAL NR. 3 OLTEANCA,GRADINITA CU PROGRAM NORMAL NR 3 OLTEANCA,OLTEANCA,,,
4652716,3461100037,,244137,151870,151889,3461100037,TELEORMAN,,,15,"""COLEGIUL TEHNIC """"ANGHEL SALIGNY"""" ROȘIORI DE VEDE""",COLEGIUL TEHNIC ANGHEL SALIGNY ROSIORI DE VEDE,ROSIORI DE VEDE,RENAȘTERII,,
18990598,3461100521,,699150,153277,153286,3461100521,TELEORMAN,,,2,ȘCOALA GIMNAZIALĂ NR. 1 MĂLDĂENI,SCOALA GIMNAZIALA NR 1 MALDAENI,MĂLDĂENI,ȘCOLII Nr.1,,
12504885,3481100992,,3008481,151870,151889,3481100992,TELEORMAN,,,19,CLUBUL SPORTIV ȘCOLAR ROȘIORI DE VEDE,CLUBUL SPORTIV SCOLAR ROSIORI DE VEDE,ROSIORI DE VEDE,MIHAI EMINESCU,,
,3462103049,3461100711,,153623,153632,3462103049,TELEORMAN,,,,GRĂDINIȚA CU PROGRAM NORMAL NR. 1 PLOPII SLĂVITEȘTI,GRADINITA CU PROGRAM NORMAL NR 1 PLOPII SLAVITESTI,PLOPII-SLĂVITEŞTI,,,
4253715,3461101029,,1182659,151683,151692,3461101029,TELEORMAN,,,2,"""COLEGIUL TEHNIC """"G-RAL D. PRAPORGESCU"""" TURNU MĂGURELE""",COLEGIUL TEHNIC G RAL D PRAPORGESCU TURNU MAGURELE,TURNU MĂGURELE,TABEREI,,
19073488,3461103786,,698194,151790,151807,3461103786,TELEORMAN,,,292,"""ȘCOALA GIMNAZIALĂ """"ALEXANDRU COLFESCU"""" ALEXANDRIA""",SCOALA GIMNAZIALA ALEXANDRU COLFESCU ALEXANDRIA,ALEXANDRIA,DUNĂRII,,
19001511,3461100046,,699590,154166,154175,3461100046,TELEORMAN,,,,ȘCOALA GIMNAZIALĂ SFINȚEȘTI,SCOALA GIMNAZIALA SFINTESTI,SFINŢEŞTI,,,
13896256,3471100458,,3400043,151790,151807,3471100458,TELEORMAN,,,18-20,PALATUL COPIILOR ALEXANDRIA,PALATUL COPIILOR ALEXANDRIA,ALEXANDRIA,AV. ALEXANDRU COLFESCU,,
18999821,3461100209,,699552,154068,154077,3461100209,TELEORMAN,,,,ȘCOALA GIMNAZIALĂ SCURTU MARE,SCOALA GIMNAZIALA SCURTU MARE,SCURTU MARE,,,
