COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
29169165,3561100949,,35714053,158608,158617,3561100949,TIMIŞ,,,71,SCOALA PRIMARA COM.SECAS,SCOALA PRIMARA COM SECAS,SECAŞ,,
,3562104564,3561101751,,155591,155608,3562104564,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL COM.BANLOC,GRADINITA CU PROGRAM NORMAL COM BANLOC,BANLOC,,
35522384,3561200201,,352159233,155243,155252,3561200201,TIMIŞ,,,27,GRADINITA CORDIANA TIMISOARA,GRADINITA CORDIANA TIMISOARA,TIMIŞOARA,GLAD,
29147485,3561100732,,714390,159035,159044,3561100732,TIMIŞ,,,285,SCOALA GIMNAZIALA COM.TORMAC,SCOALA GIMNAZIALA COM TORMAC,TORMAC,,
,3562105167,3561100967,,158653,158671,3562105167,TIMIŞ,,,69,SCOALA GIMNAZIALA CARANI COM.SANANDREI,SCOALA GIMNAZIALA CARANI COM SANANDREI,CARANI,,
,3562104121,3561101561,,156669,156696,3562104121,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL ROVINITA MARE COM. DENTA,GRADINITA CU PROGRAM NORMAL ROVINITA MARE COM DENTA,ROVINIŢA MARE,,
,3562105303,3561101855,,155350,155378,3562105303,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL NR.9 MAGURI MUN.LUGOJ,GRADINITA CU PROGRAM NORMAL NR 9 MAGURI MUN LUGOJ,MĂGURI,,
,3562102295,3561102137,,158181,158216,3562102295,TIMIŞ,,,,SCOALA GIMNAZIALA BENCECU DE SUS COM.PISCHIA,SCOALA GIMNAZIALA BENCECU DE SUS COM PISCHIA,BENCECU DE SUS,,
,3562103744,3561102033,,155243,155252,3562103744,TIMIŞ,,,,GRADINITA CU PROGRAM PRELUNGIT NR.29 MUN.TIMISOARA,GRADINITA CU PROGRAM PRELUNGIT NR 29 MUN TIMISOARA,TIMIŞOARA,,
,3562102431,3561106322,,155546,155555,3562102431,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL COM. BALINT,GRADINITA CU PROGRAM NORMAL COM BALINT,BALINŢ,,
,3562103527,3561101846,,158136,158145,3562103527,TIMIŞ,,,98,GRADINITA CU PROGRAM NORMAL COM.PIETROASA,GRADINITA CU PROGRAM NORMAL COM PIETROASA,PIETROASA,PRINCIPALA,
352542973,3561206641,,352542973,155243,155252,3561206641,TIMIŞ,,,29,"""GRADINITA CU PROGRAM PRELUNGIT """"PLANETA PITICILOR"""" TIMISOARA""",GRADINITA CU PROGRAM PRELUNGIT PLANETA PITICILOR TIMISOARA,TIMIŞOARA,TEBEA,
,3562104175,3561106512,,157031,157059,3562104175,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL JENA COM.GAVOJDIA,GRADINITA CU PROGRAM NORMAL JENA COM GAVOJDIA,JENA,,
,3562105805,3561101638,,158528,158537,3562105805,TIMIŞ,,,,GRADINITA CU PROGRAM NORMAL COM.SATCHINEZ,GRADINITA CU PROGRAM NORMAL COM SATCHINEZ,SATCHINEZ,,
,3562103364,3561101611,,157362,157399,3562103364,TIMIŞ,,,,SCOALA PRIMARA FERENDIA COM. JAMU MARE,SCOALA PRIMARA FERENDIA COM JAMU MARE,FERENDIA,,
29126164,3561101466,,1260968,155243,155252,3561101466,TIMIŞ,,,10A,LICEUL TEOLOGIC PENTICOSTAL LOGOS MUN.TIMISOARA,LICEUL TEOLOGIC PENTICOSTAL LOGOS MUN TIMISOARA,TIMIŞOARA,Str. Transilvania,
29122090,3561100578,,714429,159071,159133,3561100578,TIMIŞ,,,32A,SCOALA GIMNAZIALA SUDRIAS COM.TRAIAN VUIA,SCOALA GIMNAZIALA SUDRIAS COM TRAIAN VUIA,TRAIAN VUIA,PRINCIPALA,
,3562102598,3561102119,,156623,156632,3562102598,TIMIŞ,,,,SCOALA PRIMARA SACOSU MARE COM.DAROVA,SCOALA PRIMARA SACOSU MARE COM DAROVA,DAROVA,,
