COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,3662100925,3661100762,,159883,159918,3662100925,TULCEA,,,10,ȘCOALA PRIMARĂ LETEA,SCOALA PRIMARA LETEA,LETEA,Școlii,
4508754,3661101537,,8374890,159614,159623,3661101537,TULCEA,,,146,"""COLEGIUL """"BRAD SEGAL"""" TULCEA""",COLEGIUL BRAD SEGAL TULCEA,TULCEA,Babadag,
,3662100138,3661101406,,160644,160671,3662100138,TULCEA,,,39,ȘCOALA GIMNAZIALĂ SĂLCIOARA,SCOALA GIMNAZIALA SALCIOARA,SĂLCIOARA,Principală,
26573265,3661101501,,718487,159614,159623,3661101501,TULCEA,,,33,"""ŞCOALA GIMNAZIALĂ """"NIFON BĂLĂŞESCU"""" TULCEA""",SCOALA GIMNAZIALA NIFON BALASESCU TULCEA,TULCEA,Bălcescu Nicolae,
,3662101243,3661100771,,160993,161017,3662101243,TULCEA,,,,ȘCOALA GIMNAZIALĂ NICOLAE BĂLCESCU,SCOALA GIMNAZIALA NICOLAE BALCESCU,NICOLAE BĂLCESCU,,
,3662100111,3661100296,,160127,160154,3662100111,TULCEA,,,1,ȘCOALA PRIMARĂ MIRCEA VODĂ,SCOALA PRIMARA MIRCEA VODA,MIRCEA VODĂ,Tulcei,
24697294,3661100599,,718671,159847,159856,3661100599,TULCEA,,,19,ŞCOALA GIMNAZIALĂ BEIDAUD,SCOALA GIMNAZIALA BEIDAUD,BEIDAUD,Primăriei,
28697367,3661100043,,719833,161482,161491,3661100043,TULCEA,,,26,ȘCOALA GIMNAZIALĂ VALEA NUCARILOR,SCOALA GIMNAZIALA VALEA NUCARILOR,VALEA NUCARILOR,I.G. Duca,
,3662100961,3661100848,,161384,161446,3662100961,TULCEA,,,15,ȘCOALA PRIMARĂ MĂGURELE,SCOALA PRIMARA MAGURELE,MĂGURELE,Colinelor,
,3662101184,3661100477,,160831,160868,3662101184,TULCEA,,,89,ȘCOALA GIMNAZIALĂ TURDA,SCOALA GIMNAZIALA TURDA,TURDA,Morii,
,3662101374,3661100599,,159847,159874,3662101374,TULCEA,,,7,ȘCOALA GIMNAZIALĂ SARIGHIOL DE DEAL,SCOALA GIMNAZIALA SARIGHIOL DE DEAL,SARIGHIOL DE DEAL,Școlii,
28658678,3661100694,,719687,161286,161295,3661100694,TULCEA,,,96,"""ȘCOALA GIMNAZIALĂ """"MAIOR IOAN MURGESCU"""" SMÎRDAN""",SCOALA GIMNAZIALA MAIOR IOAN MURGESCU SMIRDAN,SMÂRDAN,Preot Ștefan Cârlan,
28624802,3661100803,,719651,161231,161240,3661100803,TULCEA,,,26,ȘCOALA GIMNAZIALĂ SFÂNTU GHEORGHE,SCOALA GIMNAZIALA SFANTU GHEORGHE,SFÂNTU GHEORGHE,A 10-A,
