COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
29027837,3861105289,,740820,173533,173542,3861105289,VÂLCEA,,,,SCOALA GIMNAZIALA CAPITAN MARASANU STROESTI,SCOALA GIMNAZIALA CAPITAN MARASANU STROESTI,STROEŞTI,,,
,3862103102,3861105262,,168755,168773,3862103102,VÂLCEA,,,,SCOALA PRIMARA BUMBUESTI,SCOALA PRIMARA BUMBUESTI,BUMBUEŞTI,,,
,3862101778,3861100646,,171021,171049,3862101778,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL,GRADINITA CU PROGRAM NORMAL,CIUNGETU,,,
,3862102128,3861105072,,173855,173882,3862102128,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL,GRADINITA CU PROGRAM NORMAL,BUDELE,,,
,3862100465,3861105357,,172992,173043,3862100465,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL,GRADINITA CU PROGRAM NORMAL,POPEŞTI,,,
,3862104876,3861100117,,173230,173249,3862104876,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL,GRADINITA CU PROGRAM NORMAL,STOENEŞTI,,,
,3862101801,3861101204,,168602,168657,3862101801,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL NR 3,GRADINITA CU PROGRAM NORMAL NR 3,TÂRGU GÂNGULEŞTI,,,
2541231,3861100994,,1182788,167473,167482,3861100994,VÂLCEA,,,,"""LICEUL TEHNOLOGIC """"GENERAL MAGHERU"""" RM. VALCEA""",LICEUL TEHNOLOGIC GENERAL MAGHERU RM VALCEA,RÂMNICU VÂLCEA,,,
,3862101267,3861101258,745155,167473,167482,3862101267,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL MICUL PRINT,GRADINITA CU PROGRAM NORMAL MICUL PRINT,RÂMNICU VÂLCEA,,,
,3862104894,3861105339,,174156,174165,3862104894,VÂLCEA,,,,GRADINITA CU PROGRAM PRELUNGIT,GRADINITA CU PROGRAM PRELUNGIT,VLĂDEŞTI,,,
,3862102363,3861100723,,168675,168719,3862102363,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL,GRADINITA CU PROGRAM NORMAL,DÂNGEŞTI,,,
,3862104098,3861101005,746135,169039,169048,3862104098,VÂLCEA,,,,GRADINITA CU PROGRAM NORMAL,GRADINITA CU PROGRAM NORMAL,ARMĂŞEŞTI,,,
,3862102191,3861100515,,167473,167598,3862102191,VÂLCEA,,,,SCOALA GIMNAZIALA GORANU,SCOALA GIMNAZIALA GORANU,GORANU,,,
15094178,3861105018,,1153672,167473,167482,3861105018,VÂLCEA,,,,SCOALA GIMNAZIALA COLONIE RM. VALCEA,SCOALA GIMNAZIALA COLONIE RM VALCEA,RÂMNICU VÂLCEA,,,
29878434,3861100126,,741939,174496,172260,3861100126,VÂLCEA,,,,SCOALA GIMNAZIALA TITESTI,SCOALA GIMNAZIALA TITESTI,TITEŞTI,,,
