COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,3762101169,3761104882,,166529,166547,3762101169,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ"," SAT BĂDEANA""",SCOALA GIMNAZIALA SAT BADEANA,BĂDEANA,
,3762102898,3761104602,,164393,164446,3762102898,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT BUSCATA""",GRADINITA CU PROGRAM NORMAL SAT BUSCATA,BUSCATA,
,3762105476,3761104267,,166315,166324,3762105476,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT TĂTĂRĂNI""",GRADINITA CU PROGRAM NORMAL SAT TATARANI,TĂTĂRĂNI,
19221940,3761104516,,1118713,161794,161801,3761104516,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ """"STROE S. BELLOESCU"""""," MUN. BÂRLAD""",SCOALA GIMNAZIALA STROE S BELLOESCU MUN BARLAD,BÂRLAD,
123,3761104846,,728456,167222,162103,3761104846,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ NR. 1"," SAT IBĂNEȘTI""",SCOALA GIMNAZIALA NR 1 SAT IBANESTI,IBĂNEŞTI,
,3762101594,3761104109,,164339,164375,3762101594,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT SILIȘTEA""",GRADINITA CU PROGRAM NORMAL SAT SILISTEA,SILIŞTEA,
,3762101784,3761104724,,167277,163422,3762101784,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT FÂSTÂCI""",GRADINITA CU PROGRAM NORMAL SAT FASTACI,FÂSTÂCI,
,3762106373,3761104308,,161794,161801,3762106373,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL NR. 7"," MUN. BÂRLAD""",GRADINITA CU PROGRAM NORMAL NR 7 MUN BARLAD,BÂRLAD,
30205288,3761200017,,372026591,161794,161801,3761200017,VASLUI,,,9,"""LICEUL TEORETIC """"NICOLAE IORGA"""""," MUN. BÂRLAD""",LICEUL TEORETIC NICOLAE IORGA MUN BARLAD,BÂRLAD,POPA  ŞAPCĂ
,3762103438,3761104403,,163486,163510,3762103438,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT BELZENI""",GRADINITA CU PROGRAM NORMAL SAT BELZENI,BELZENI,
,3762106156,3761104683,,161945,161990,3762106156,VASLUI,,,,"""ȘCOALA PRIMARĂ"," LOC. REDIU-VASLUI""",SCOALA PRIMARA LOC REDIU VASLUI,REDIU,
,3762107207,3761104294,,164062,164124,3762107207,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT TROHAN""",GRADINITA CU PROGRAM NORMAL SAT TROHAN,TROHAN,
4359598,3761105101,,1006635,161945,161954,3761105101,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 15"," MUN. VASLUI""",GRADINITA CU PROGRAM PRELUNGIT NR 15 MUN VASLUI,VASLUI,
,3762102211,3761104335,,164981,165041,3762102211,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT RAIU""",GRADINITA CU PROGRAM NORMAL SAT RAIU,RAIU,
,3762103931,3761104421,,162194,162238,3762103931,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT MICLEȘTI""",GRADINITA CU PROGRAM NORMAL SAT MICLESTI,MICLEŞTI,
28300679,3761100177,,729527,163253,163262,3761100177,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ """"GRIGORE T. POPA"""""," SAT DĂNEȘTI""",SCOALA GIMNAZIALA GRIGORE T POPA SAT DANESTI,DĂNEŞTI,
,3762106233,3761104715,,167311,166592,3762106233,VASLUI,,,,"""ȘCOALA PRIMARĂ"," SAT POCHIDIA""",SCOALA PRIMARA SAT POCHIDIA,POCHIDIA,
,3762105295,3761104448,,163903,163912,3762105295,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT GĂGEȘTI""",GRADINITA CU PROGRAM NORMAL SAT GAGESTI,GĂGEŞTI,
,3762102645,3761104819,,165416,165452,3762102645,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ"," SAT MĂSCUREI""",SCOALA GIMNAZIALA SAT MASCUREI,MĂSCUREI,
,3762103976,3761104421,,162194,162247,3762103976,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT MITOC""",GRADINITA CU PROGRAM NORMAL SAT MITOC,MITOC,
3337729,3761105006,,370729187,162871,162880,3761105006,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ NR. 1"," SAT BOȚEȘTI""",SCOALA GIMNAZIALA NR 1 SAT BOTESTI,BOŢEŞTI,
,3762101852,3761104172,,162498,162522,3762101852,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ"," SAT RÂNCENI""",SCOALA GIMNAZIALA SAT RANCENI,RÂNCENI,
,3762106527,3761105223,,163002,163039,3762106527,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ"," SAT PRIBEȘTI""",SCOALA GIMNAZIALA SAT PRIBESTI,PRIBEŞTI,
32062982,3761207693,,,161829,161838,3761207693,VASLUI,,,6,"""ŞCOALA POSTLICEALĂ SANITARĂ """"MIHAI RALEA"""""," MUN. HUŞI""",SCOALA POSTLICEALA SANITARA MIHAI RALEA MUN HUSI,HUŞI,I. AL. ANGHELUŞ
28368291,3761104801,,370728444,162069,162078,3761104801,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ """"ALEXANDRU VLAHUȚĂ"""""," SAT ALEXANDRU VLAHUȚĂ""",SCOALA GIMNAZIALA ALEXANDRU VLAHUTA SAT ALEXANDRU VLAHUTA,ALEXANDRU VLAHUŢĂ,
,3762103515,3761107478,,163618,163663,3762103515,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ"," SAT RÂȘEȘTI""",SCOALA GIMNAZIALA SAT RASESTI,RÂŞEŞTI,
,3762102473,3761104222,,161856,161918,3762102473,VASLUI,,,,"""ȘCOALA PRIMARĂ"," SAT POIANA""",SCOALA PRIMARA SAT POIANA,POIANA,
,3762105318,3761104448,,163903,163921,3762105318,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ """"MIHAI BOTEZ"""""," SAT GIURCANI""",SCOALA GIMNAZIALA MIHAI BOTEZ SAT GIURCANI,GIURCANI,
19221924,3761107406,,1315763,161794,161801,3761107406,VASLUI,,,,"""ȘCOALA GIMNAZIALĂ DE ARTE """"N.N. TONITZA"""""," MUN. BÂRLAD""",SCOALA GIMNAZIALA DE ARTE N N TONITZA MUN BARLAD,BÂRLAD,
,3762101739,3761104959,,163137,163182,3762101739,VASLUI,,,,"""GRĂDINIȚA CU PROGRAM NORMAL"," SAT PUNTIȘENI""",GRADINITA CU PROGRAM NORMAL SAT PUNTISENI,PUNTIŞENI,
