COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata
,3962103661,3961100988,,177236,177245,3962103661,VRANCEA,,,1,SCOALA PRIMARA BOSTANESTI,SCOALA PRIMARA BOSTANESTI,PĂUNEŞTI,Principala,
14007947,3961100423,,1124126,174744,174753,3961100423,VRANCEA,,,8,"""SCOALA GIMNAZIALA """"ANGHEL SALIGNY"""" FOCSANI""",SCOALA GIMNAZIALA ANGHEL SALIGNY FOCSANI,FOCŞANI,Moldova,
,3962101546,3961100753,,177879,177904,3962101546,VRANCEA,,,1,SCOALA PRIMARA COSTISA,SCOALA PRIMARA COSTISA,COSTIŞA,Principala,
,3962101935,3961100866,,178910,178153,3962101935,VRANCEA,,,31,SCOALA PRIMARA PAULESTI FUNDATURA,SCOALA PRIMARA PAULESTI FUNDATURA,HĂULIŞCA,Unirii,
,3962102719,3961100979,,178689,178714,3962102719,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL FARAOANELE,GRADINITA CU PROGRAM NORMAL FARAOANELE,FARAOANELE,Domneasca,
26787463,3961100934,,758841,178279,178288,3961100934,VRANCEA,,,5,SCOALA GIMNAZIALA URECHESTI,SCOALA GIMNAZIALA URECHESTI,URECHEŞTI,Zorilor,
,3962104386,3961100803,,178750,178769,3962104386,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL VRINCIOAIA,GRADINITA CU PROGRAM NORMAL VRINCIOAIA,VRÂNCIOAIA,Principala,
,3962104888,3961100174,,177469,177520,3962104888,VRANCEA,,,1,SCOALA PRIMARA NR.2 SINDRILARI,SCOALA PRIMARA NR 2 SINDRILARI,ŞINDRILARI,Principala,
,3962101908,3961100866,,178910,178153,3962101908,VRANCEA,,,31,GRADINITA CU PROGRAM NORMAL PAULESTI FUNDATURA,GRADINITA CU PROGRAM NORMAL PAULESTI FUNDATURA,HĂULIŞCA,Unirii,
,3962104463,3961105324,,177600,177637,3962104463,VRANCEA,,,67,SCOALA PRIMARA CAIATA,SCOALA PRIMARA CAIATA,CĂIATA,Primaverii,
,3962103227,3961101035,,177842,177851,3962103227,VRANCEA,,,87,SCOALA GIMNAZIALA DIMACI,SCOALA GIMNAZIALA DIMACI,SURAIA,Principala,
,3962101858,3961100708,,175732,175769,3962101858,VRANCEA,,,1,"""SCOALA PRIMARA """"EPISCOP MITROFAN"""" BONTESTI""",SCOALA PRIMARA EPISCOP MITROFAN BONTESTI,BONŢEŞTI,Principala,
,3962105152,3961100762,,178377,178457,3962105152,VRANCEA,,,1,SCOALA PRIMARA VIISOARA,SCOALA PRIMARA VIISOARA,VIIŞOARA,Principala,
,3962103747,3961100925,,176212,176249,3962103747,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL CIUSLEA,GRADINITA CU PROGRAM NORMAL CIUSLEA,CIUŞLEA,Principala,
,3962105057,3961105428,,175260,175340,3962105057,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL PRISECANI,GRADINITA CU PROGRAM NORMAL PRISECANI,PRISECANI,Principala,
,3962105116,3961101103,,176944,176971,3962105116,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL CHIRICARI,GRADINITA CU PROGRAM NORMAL CHIRICARI,CHIRICANI,Principala,
,3962102384,3961100097,,174860,174879,3962102384,VRANCEA,,,36,GRADINITA CU PROGRAM NORMAL NR.1 ADJUD,GRADINITA CU PROGRAM NORMAL NR 1 ADJUD,ADJUD,01.mai,
35011134,3981103201,,390000489,174860,174879,3981103201,VRANCEA,,,24,CLUBUL SPORTIV SCOLAR ADJUD,CLUBUL SPORTIV SCOLAR ADJUD,ADJUD,LIBERTATII,
,3962104115,3961105387,,178475,178484,3962104115,VRANCEA,,,22,"""GRADINITA CU PROGRAM NORMAL """"GARGARITA RITA"""" VINTILEASCA""",GRADINITA CU PROGRAM NORMAL GARGARITA RITA VINTILEASCA,VINTILEASCA,Principala,
,3962104721,3961100762,,178377,178402,3962104721,VRANCEA,,,1,GRADINITA CU PROGRAM NORMAL IRESTI,GRADINITA CU PROGRAM NORMAL IRESTI,IREŞTI,Principala,
23815933,3961100821,,758774,178947,178064,3961100821,VRANCEA,,,366,SCOALA GIMNAZIALA OBREJITA,SCOALA GIMNAZIALA OBREJITA,OBREJIŢA,Scolii,
,3962102773,3961100088,,176748,176757,3962102773,VRANCEA,,,2,GRADINITA CU PROGRAM NORMAL MILCOVUL,GRADINITA CU PROGRAM NORMAL MILCOVUL,MILCOVUL,Principala,
19016253,3961100916,,757902,175439,175448,3961100916,VRANCEA,,,1,SCOALA GIMNAZIALA BORDESTI,SCOALA GIMNAZIALA BORDESTI,BORDEŞTI,Principala,
,3962104187,3961105229,,178607,178643,3962104187,VRANCEA,,,1,SCOALA GIMNAZIALA MIRCESTII NOI,SCOALA GIMNAZIALA MIRCESTII NOI,MIRCEŞTII NOI,Vrancei,
